axis	context	left_surface	right_surface	same_line_loci	triple_stable_same_line_loci	example_loci	stable_example_loci
THERMAL_K_T	BARE:ch:e0:d0	kchy	tchy	2	1	f11v.3|f19r.9	f11v.3
THERMAL_K_T	BARE:ch:e0:d1	kchdy	tchdy	1	0	f86v3.19	NONE
THERMAL_K_T	BARE:ch:e1:d0	kchey	tchey	2	2	f42v.2|f80v.7	f42v.2|f80v.7
THERMAL_K_T	BARE:ch:e1:d1	kchedy	tchedy	1	1	f85r1.5	f85r1.5
THERMAL_K_T	BARE:sh:e0:d0	kshy	tshy	0	0	NONE	NONE
THERMAL_K_T	BARE:sh:e0:d1	kshdy	tshdy	0	0	NONE	NONE
THERMAL_K_T	BARE:sh:e1:d0	kshey	tshey	0	0	NONE	NONE
THERMAL_K_T	BARE:sh:e1:d1	kshedy	tshedy	0	0	NONE	NONE
MOISTURE_CH_SH	BARE:k:e0:d0	kchy	kshy	1	0	f14v.7	NONE
MOISTURE_CH_SH	BARE:k:e0:d1	kchdy	kshdy	0	0	NONE	NONE
MOISTURE_CH_SH	BARE:k:e1:d0	kchey	kshey	0	0	NONE	NONE
MOISTURE_CH_SH	BARE:k:e1:d1	kchedy	kshedy	0	0	NONE	NONE
MOISTURE_CH_SH	BARE:t:e0:d0	tchy	tshy	0	0	NONE	NONE
MOISTURE_CH_SH	BARE:t:e0:d1	tchdy	tshdy	0	0	NONE	NONE
MOISTURE_CH_SH	BARE:t:e1:d0	tchey	tshey	0	0	NONE	NONE
MOISTURE_CH_SH	BARE:t:e1:d1	tchedy	tshedy	0	0	NONE	NONE
E_INSERTION	BARE:k:ch:d0	kchy	kchey	0	0	NONE	NONE
E_INSERTION	BARE:k:ch:d1	kchdy	kchedy	0	0	NONE	NONE
D_INSERTION	BARE:k:ch:e0	kchy	kchdy	0	0	NONE	NONE
D_INSERTION	BARE:k:ch:e1	kchey	kchedy	0	0	NONE	NONE
E_INSERTION	BARE:k:sh:d0	kshy	kshey	0	0	NONE	NONE
E_INSERTION	BARE:k:sh:d1	kshdy	kshedy	0	0	NONE	NONE
D_INSERTION	BARE:k:sh:e0	kshy	kshdy	0	0	NONE	NONE
D_INSERTION	BARE:k:sh:e1	kshey	kshedy	0	0	NONE	NONE
E_INSERTION	BARE:t:ch:d0	tchy	tchey	0	0	NONE	NONE
E_INSERTION	BARE:t:ch:d1	tchdy	tchedy	0	0	NONE	NONE
D_INSERTION	BARE:t:ch:e0	tchy	tchdy	0	0	NONE	NONE
D_INSERTION	BARE:t:ch:e1	tchey	tchedy	1	0	f86v3.31	NONE
E_INSERTION	BARE:t:sh:d0	tshy	tshey	0	0	NONE	NONE
E_INSERTION	BARE:t:sh:d1	tshdy	tshedy	0	0	NONE	NONE
D_INSERTION	BARE:t:sh:e0	tshy	tshdy	0	0	NONE	NONE
D_INSERTION	BARE:t:sh:e1	tshey	tshedy	0	0	NONE	NONE
THERMAL_K_T	o:ch:e0:d0	okchy	otchy	2	2	f13v.8|f94v.4	f13v.8|f94v.4
THERMAL_K_T	o:ch:e0:d1	okchdy	otchdy	0	0	NONE	NONE
THERMAL_K_T	o:ch:e1:d0	okchey	otchey	0	0	NONE	NONE
THERMAL_K_T	o:ch:e1:d1	okchedy	otchedy	0	0	NONE	NONE
THERMAL_K_T	o:sh:e0:d0	okshy	otshy	0	0	NONE	NONE
THERMAL_K_T	o:sh:e0:d1	okshdy	otshdy	0	0	NONE	NONE
THERMAL_K_T	o:sh:e1:d0	okshey	otshey	1	1	f79r.21	f79r.21
THERMAL_K_T	o:sh:e1:d1	okshedy	otshedy	0	0	NONE	NONE
MOISTURE_CH_SH	o:k:e0:d0	okchy	okshy	0	0	NONE	NONE
MOISTURE_CH_SH	o:k:e0:d1	okchdy	okshdy	0	0	NONE	NONE
MOISTURE_CH_SH	o:k:e1:d0	okchey	okshey	0	0	NONE	NONE
MOISTURE_CH_SH	o:k:e1:d1	okchedy	okshedy	0	0	NONE	NONE
MOISTURE_CH_SH	o:t:e0:d0	otchy	otshy	0	0	NONE	NONE
MOISTURE_CH_SH	o:t:e0:d1	otchdy	otshdy	0	0	NONE	NONE
MOISTURE_CH_SH	o:t:e1:d0	otchey	otshey	1	1	f85r1.18	f85r1.18
MOISTURE_CH_SH	o:t:e1:d1	otchedy	otshedy	0	0	NONE	NONE
E_INSERTION	o:k:ch:d0	okchy	okchey	0	0	NONE	NONE
E_INSERTION	o:k:ch:d1	okchdy	okchedy	0	0	NONE	NONE
D_INSERTION	o:k:ch:e0	okchy	okchdy	1	0	f85r1.19	NONE
D_INSERTION	o:k:ch:e1	okchey	okchedy	0	0	NONE	NONE
E_INSERTION	o:k:sh:d0	okshy	okshey	0	0	NONE	NONE
E_INSERTION	o:k:sh:d1	okshdy	okshedy	0	0	NONE	NONE
D_INSERTION	o:k:sh:e0	okshy	okshdy	0	0	NONE	NONE
D_INSERTION	o:k:sh:e1	okshey	okshedy	0	0	NONE	NONE
