exemplar_id	page	locus	forms	all_forms_triple_token_stable	zl3b_line	it2a_line	rf1b_line	working_contrast_de
STATE_EDY_CH_SH	f104r	f104r.7	shedy|chedy	1	dchodees sheos odaiin otchedy qodain shedy chedy qodain okar ar okaim	dchodees sheos odaiin otchedy qodain shedy chedy qodain okar ar okaim	dchodees sheos odaiin otchedy qodain shedy chedy qodain okar ar okaim	feuchter ↔ trockener markierter Zustand
ODY_CH_SH_CAUTION	f86v5	f86v5.36	shody|chody	1	shody qoty chody ytody olkey otoloty oltal oky dam	shody qoty chody ytody olkey otoloty oltal oky dam	shody qoty chody ytody olkey otoloty oltal oky dam	formaler Gegenpol; shody-Inhalt bleibt offen
EODY_CH_SH	f88v	f88v.16	sheody|cheody	1	ysheod sheo sheody qokeody qoky chees cheody qokeody dal	ysheod sheo sheody qokeody qoky chees cheody qokeody dal	ysheod sheo sheody qokeody qoky chees cheody qokeody dal	markierte feucht/trocken-Variante
THERMAL_EY	f42v	f42v.2	kchey|tchey	1	dshey tchey y kchey chtchy y dan dain otol daiin	dshey tchey y kchey chtchy cphy dan dain otol daiin	dshey tchey y kchey chtchy y dan dain otol daiin	heiß-trocken ↔ kalt-trocken; markierte Stufe
THERMAL_EDY	f85r1	f85r1.5	tchedy|kchedy	1	tchedy kchedy qodaiin olkeedy oraiin olshedy okchy kedy tedy tdam	tchedy kchedy qodaiin olkeedy oraiin olshedy okchy kedy tedy tdam	tchedy kchedy qodaiin olkeedy oraiin olshedy kchy kedy te y tdam	kalt-trockener ↔ heiß-trockener Zustand; markierte Stufe
WRAPPER_O_QO	f107v	f107v.38	okchey|qokchey	1	dain okchey qokchey qokaiin olkeey qokol oteey oteey lkain	dain okchey qokchey qokaiin olkeey qokol oteey oteey lkain	dain okchey qokchey qokaiin olkeey qokol oteey oteey lkain	derselbe heiß-trockene Kern unter o/qo-Rahmen
E_LENGTH_SH	f116r	f116r.10	shdy|shedy|sheedy	1	chdin checkhy dar shedy qokeedy shdy rain sheedy cphol r teol chcpham	chdain checkhy dar shedy qokeedy shdy rain sheedy cphol rteol chcpham	chd in checkhy d r shedy qokeedy shdy rain sheedy cphol r teol chcpham	feuchte Zustandsreihe mit drei e-Längen
E_INSERTION	f20r	f20r.12	otchy|otchey	1	shoiin cheody otchey otchy tchy qoteey daiin dar	shoiin cheody otchey otchy tchy qoteey daiin dar	shoiin cheody otchey otchy tchy qoteey daiin dar	kalt-trocken unmarkiert ↔ markierte Stufe
D_INSERTION	f105v	f105v.9	otchey|otchedy	1	lcheey qoeees y daiin okairy otchedy ockhedy otchey daiin or r ail l okam	lcheey qoeees y daiin okairy otchedy ockhedy otchey daiin or r ain ookam	lcheey qoeees y daiin okairy otchedy ockhe otchey daiin or r ail l okam	kalt-trocken markiert ↔ Zustands-/Ergebnisform
FOUR_CORNERS_ONE_PAGE	f79r	f79r.21|f79r.24|f79r.37	okchey|okshey|otchey|otshey	1	PAGE_BUNDLE	PAGE_BUNDLE	PAGE_BUNDLE	alle vier heiß/kalt × trocken/feucht-Ecken im o-Rahmen
