surface	family	predicted_reading_de	status
ksheedy	QUALITY_COMPOUND_DIRECT	heiß und feucht am Ende des Grades, abgeschlossen	ABSENT_PREDICTION_HOLD
tcheedy	QUALITY_COMPOUND_DIRECT	kalt und trocken am Ende des Grades, abgeschlossen	ABSENT_PREDICTION_HOLD
tsheedy	QUALITY_COMPOUND_DIRECT	kalt und feucht am Ende des Grades, abgeschlossen	ABSENT_PREDICTION_HOLD
okcheedy	QUALITY_COMPOUND_O_CARRIER	heiß-trockener Ansatz am Ende des Grades, abgeschlossen	ABSENT_PREDICTION_HOLD
oksheey	QUALITY_COMPOUND_O_CARRIER	heiß-feuchter Ansatz am Ende des Grades	ABSENT_PREDICTION_HOLD
oksheedy	QUALITY_COMPOUND_O_CARRIER	heiß-feuchter Ansatz am Ende des Grades, abgeschlossen	ABSENT_PREDICTION_HOLD
otsheey	QUALITY_COMPOUND_O_CARRIER	kalt-feuchter Ansatz am Ende des Grades	ABSENT_PREDICTION_HOLD
otsheedy	QUALITY_COMPOUND_O_CARRIER	kalt-feuchter Ansatz am Ende des Grades, abgeschlossen	ABSENT_PREDICTION_HOLD
qoksheey	QUALITY_COMPOUND_QO_CARRIER	heiß und feucht am Ende des Grades	ABSENT_PREDICTION_HOLD
qotsheey	QUALITY_COMPOUND_QO_CARRIER	kalt und feucht am Ende des Grades	ABSENT_PREDICTION_HOLD
qotsheedy	QUALITY_COMPOUND_QO_CARRIER	kalt und feucht am Ende des Grades, abgeschlossen	ABSENT_PREDICTION_HOLD
kdy	TEMPERATURE_QUALITY_DIRECT	heiß am Anfang des Grades, abgeschlossen	ABSENT_PREDICTION_HOLD
tdy	TEMPERATURE_QUALITY_DIRECT	kalt am Anfang des Grades, abgeschlossen	ABSENT_PREDICTION_HOLD
