page	locus	section	changed_surfaces	newly_known_positions	meaning_revisions	complete_before	complete_after	strict_complete_after	zl3b_line	old_translation_de	new_translation_de
f100r	f100r.12	P	sheey	0	1	0	0	0	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	[pcheol:?] | [sheod:?] | [qocpheeckhy:?] | [shodol:?] | [da:?] | [oto:?] | [choos:?] | feucht, Bindungsstufe II | [cho:?] | [s:?]	[pcheol:?] | [sheod:?] | [qocpheeckhy:?] | [shodol:?] | [da:?] | [oto:?] | [choos:?] | feucht am Ende des Grades | [cho:?] | [s:?]
f100r	f100r.13	P	qokeey|oteey	2	0	0	0	0	dsheor cthey qokeey oteey ykeeodain rorarydaiin daiin deeomchol	[dsheor:?] | CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | [qokeey:?] | [oteey:?] | [ykeeodain:?] | [rorarydaiin:?] | Grad-/Maßwert III | [deeomchol:?]	[dsheor:?] | CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | heiß am Ende des Grades | kalter Ansatz am Ende des Grades | [ykeeodain:?] | [rorarydaiin:?] | Grad-/Maßwert III | [deeomchol:?]
f100r	f100r.14	P	qoteey	0	1	0	0	0	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo	Blüten-/Fruchtstand; reproduktiver Teil | [chkeey:?] | kalt, Bindungsstufe II | [qokeody:?] | [qoteold:?] | [qokeol:?] | [so:?] | Wurzel, Typ/Charge III | Ansatz aus kaltem Rohstoff, Form I | [ykeeeo:?]	Blüten-/Fruchtstand; reproduktiver Teil | [chkeey:?] | kalt am Ende des Grades | [qokeody:?] | [qoteold:?] | [qokeol:?] | [so:?] | Wurzel, Typ/Charge III | Ansatz aus kaltem Rohstoff, Form I | [ykeeeo:?]
f100r	f100r.22	P	shey	0	1	0	0	0	folshody choldaiin fchod ycheol cphol qotees shey aseso alcfhy	[folshody:?] | trocken, Grad III | [fchod:?] | [ycheol:?] | [cphol:?] | [qotees:?] | feucht, attributiv gebunden | [aseso:?] | [alcfhy:?]	[folshody:?] | trocken, Grad III | [fchod:?] | [ycheol:?] | [cphol:?] | [qotees:?] | feucht in der Mitte des Grades | [aseso:?] | [alcfhy:?]
f100r	f100r.23	P	keey	1	0	0	0	0	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam	Samen/Saatgutzubereitung, Form III | trocken; nominal trockenes Gut/Material | [cphol:?] | feucht; nominal feuchtes Gut/Material | feucht; nominal feuchtes Gut/Material | [qockhol:?] | Pflanzen-/Reproduktionsteil | trocken; nominal trockenes Gut/Material | feuchter Ansatz | [keey:?] | [y:?] | [ykeeam:?]	Samen/Saatgutzubereitung, Form III | trocken; nominal trockenes Gut/Material | [cphol:?] | feucht; nominal feuchtes Gut/Material | feucht; nominal feuchtes Gut/Material | [qockhol:?] | Pflanzen-/Reproduktionsteil | trocken; nominal trockenes Gut/Material | feuchter Ansatz | heiß am Ende des Grades | [y:?] | [ykeeam:?]
f100r	f100r.24	P	sheey	0	1	0	0	0	saiichor sheor qockhody odeor yk sheey cholsheody sai cheol raiin	[saiichor:?] | [sheor:?] | [qockhody:?] | [odeor:?] | [yk:?] | feucht, Bindungsstufe II | [cholsheody:?] | [sai:?] | trockener Drogenstoff | Wurzel, Typ/Charge III	[saiichor:?] | [sheor:?] | [qockhody:?] | [odeor:?] | [yk:?] | feucht am Ende des Grades | [cholsheody:?] | [sai:?] | trockener Drogenstoff | Wurzel, Typ/Charge III
f100v	f100v.14	P	oteey	1	0	0	0	0	deey sheocphy qoteody ckhoor ar chor oteey daiin qokomo	[deey:?] | [sheocphy:?] | [qoteody:?] | [ckhoor:?] | [ar:?] | Pflanzen-/Reproduktionsteil | [oteey:?] | Grad-/Maßwert III | [qokomo:?]	[deey:?] | [sheocphy:?] | [qoteody:?] | [ckhoor:?] | [ar:?] | Pflanzen-/Reproduktionsteil | kalter Ansatz am Ende des Grades | Grad-/Maßwert III | [qokomo:?]
f100v	f100v.15	P	cheey|cheey	2	0	0	0	0	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	Samenportion | [cheey:?] | [dair:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockener Drogenstoff | [qoolkeey:?] | trocken; nominal trockenes Gut/Material | [cheey:?] | [qokeol:?] | [chotol:?] | [s:?]	Samenportion | trocken am Ende des Grades | [dair:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockener Drogenstoff | [qoolkeey:?] | trocken; nominal trockenes Gut/Material | trocken am Ende des Grades | [qokeol:?] | [chotol:?] | [s:?]
f100v	f100v.16	P	chey	1	0	0	0	0	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	[ykeeol:?] | trocken; nominal trockenes Gut/Material | [chey:?] | [eeoseeo:?] | [s:?] | [sheeo:?] | [okeol:?] | [ches:?] | [okeor:?] | [okeol:?] | [dy:?]	[ykeeol:?] | trocken; nominal trockenes Gut/Material | trocken in der Mitte des Grades | [eeoseeo:?] | [s:?] | [sheeo:?] | [okeol:?] | [ches:?] | [okeor:?] | [okeol:?] | [dy:?]
f100v	f100v.20	P	qokeey	1	0	0	0	0	ycheoky shokeesy qokeey chokeol saraloaly cheor ol chockhar	[ycheoky:?] | [shokeesy:?] | [qokeey:?] | [chokeol:?] | [saraloaly:?] | trockener Drogenteil | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [chockhar:?]	[ycheoky:?] | [shokeesy:?] | heiß am Ende des Grades | [chokeol:?] | [saraloaly:?] | trockener Drogenteil | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [chockhar:?]
f102r1	f102r1.11	P	sheey	0	1	0	0	0	dcheo qockhy sol sheey okeody qokeodol shockhey oleeol	[dcheo:?] | [qockhy:?] | Samenmaterial/Saatgut | feucht, Bindungsstufe II | [okeody:?] | [qokeodol:?] | [shockhey:?] | [oleeol:?]	[dcheo:?] | [qockhy:?] | Samenmaterial/Saatgut | feucht am Ende des Grades | [okeody:?] | [qokeodol:?] | [shockhey:?] | [oleeol:?]
f102r1	f102r1.13	P	qokey|okshey	2	0	0	0	0	teesody qoeol olcheor qokey okshey qokeol sheofoly	[teesody:?] | [qoeol:?] | [olcheor:?] | [qokey:?] | [okshey:?] | [qokeol:?] | [sheofoly:?]	[teesody:?] | [qoeol:?] | [olcheor:?] | heiß in der Mitte des Grades | heiß-feuchter Ansatz in der Mitte des Grades | [qokeol:?] | [sheofoly:?]
f102r1	f102r1.14	P	shey	0	1	0	0	0	doeey keeol qokeo daor shey qoteol okol chos s or oeeaiin	[doeey:?] | [keeol:?] | [qokeo:?] | [daor:?] | feucht, attributiv gebunden | [qoteol:?] | [okol:?] | [chos:?] | [s:?] | Teil-/Nominalträger; genaue Basisbedeutung offen | [oeeaiin:?]	[doeey:?] | [keeol:?] | [qokeo:?] | [daor:?] | feucht in der Mitte des Grades | [qoteol:?] | [okol:?] | [chos:?] | [s:?] | Teil-/Nominalträger; genaue Basisbedeutung offen | [oeeaiin:?]
f102r1	f102r1.15	P	sheey	0	1	0	0	0	or chol daiin dykeor sheey qokeody dor os ykeeykam	Teil-/Nominalträger; genaue Basisbedeutung offen | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | [dykeor:?] | feucht, Bindungsstufe II | [qokeody:?] | [dor:?] | [os:?] | [ykeeykam:?]	Teil-/Nominalträger; genaue Basisbedeutung offen | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | [dykeor:?] | feucht am Ende des Grades | [qokeody:?] | [dor:?] | [os:?] | [ykeeykam:?]
f102r1	f102r1.9	P	qokshdy	1	0	0	0	0	daiin orsheoldy qokeol oteeody lshodykeodal qokshdy sy	Grad-/Maßwert III | [orsheoldy:?] | [qokeol:?] | [oteeody:?] | [lshodykeodal:?] | [qokshdy:?] | Saatgut in Grundform	Grad-/Maßwert III | [orsheoldy:?] | [qokeol:?] | [oteeody:?] | [lshodykeodal:?] | heiß und feucht am Anfang des Grades, abgeschlossen | Saatgut in Grundform
f102v1	f102v1.10	P	sheey|shey|qokey	1	2	0	0	0	kochor ol ydaiin choraiin sheey ykeey kor shey qokey dy	[kochor:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [ydaiin:?] | Blüten-/Pflanzenteil, Menge/Klasse III | feucht, Bindungsstufe II | [ykeey:?] | [kor:?] | feucht, attributiv gebunden | [qokey:?] | [dy:?]	[kochor:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [ydaiin:?] | Blüten-/Pflanzenteil, Menge/Klasse III | feucht am Ende des Grades | [ykeey:?] | [kor:?] | feucht in der Mitte des Grades | heiß in der Mitte des Grades | [dy:?]
f102v1	f102v1.11	P	chey	1	0	0	0	0	sol chol qooiin qokol cheol chey kolcheey daiin cheody dy	Samenmaterial/Saatgut | trocken; nominal trockenes Gut/Material | [qooiin:?] | [qokol:?] | trockener Drogenstoff | [chey:?] | [kolcheey:?] | Grad-/Maßwert III | getrockneter Ansatz | [dy:?]	Samenmaterial/Saatgut | trocken; nominal trockenes Gut/Material | [qooiin:?] | [qokol:?] | trockener Drogenstoff | trocken in der Mitte des Grades | [kolcheey:?] | Grad-/Maßwert III | getrockneter Ansatz | [dy:?]
f102v1	f102v1.13	P	cheey	1	0	0	0	0	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim	[toiin:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Qualitätsgrad III | [qkol:?] | trockener Drogenstoff | Qualitätsgrad III | heiße Portion | Ansatzmenge III | [cheey:?] | Samendroge: Mengenklasse III	[toiin:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Qualitätsgrad III | [qkol:?] | trockener Drogenstoff | Qualitätsgrad III | heiße Portion | Ansatzmenge III | trocken am Ende des Grades | Samendroge: Mengenklasse III
