page	locus	strict_complete	enabled_by_surfaces	zl3b_line	working_translation_de
f105v	f105v.38	0	okshey	cheody oaiir ain okshey	getrockneter Ansatz | Zubereitung, Teil-/Sortierklasse III | Menge-/Klassenwert II | heiß-feuchter Ansatz in der Mitte des Grades
f19r	f19r.5	0	otchy|tchy	otchy tchy qoky daiin	kalt-trockener Ansatz am Anfang des Grades | kalt und trocken am Anfang des Grades | heiß am Anfang des Grades | Grad-/Maßwert III
f26r	f26r.6	0	qokedy	rchedy qokedy	getrocknete Wurzel | heiß in der Mitte des Grades, abgeschlossen
f35r	f35r.8	0	qokeey|ky	qokeey ky kaiin daiin	heiß am Ende des Grades | heiß am Anfang des Grades | heiß, Grad III | Grad-/Maßwert III
f47v	f47v.14	0	chey	chol chey	trocken; nominal trockenes Gut/Material | trocken in der Mitte des Grades
f47v	f47v.9	0	qotcheey	qotcheey chety chol chol dain	kalt und trocken am Ende des Grades | trocken-kalte gebundene Form | trocken; nominal trockenes Gut/Material | trocken; nominal trockenes Gut/Material | Qualitätsgrad II
f75r	f75r.47	0	okeedy	sal okeedy	Saat-Rohstoff I | heißer Ansatz am Ende des Grades, abgeschlossen
f75v	f75v.66	0	sheedy|qoteedy	okal sheedy qoteedy qokchy ly	Ansatz aus heißem Rohstoff, Form I | feucht am Ende des Grades, abgeschlossen | kalt am Ende des Grades, abgeschlossen | heiß und trocken am Anfang des Grades | rohes Drogenholz
f76r	f76r.56	0	shedy|qokeey|shdy	qokaiin ol shedy qokeey or shdy	heiß, Grad III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | feucht in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | Teil-/Nominalträger; genaue Basisbedeutung offen | feucht am Anfang des Grades, abgeschlossen
f77r	f77r.27	0	shedy|qotedy	solchedy qokain okaiin shedy qokeedy qotedy	getrockneter Samen/Saatgutstoff/-ansatz | heiß, Grad II | heiß, Grad III, im Ansatzrahmen | feucht in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | kalt in der Mitte des Grades, abgeschlossen
f78r	f78r.38	0	oteedy	sar aiin oteedy ol aiin chedy	Samenfraktion I | Menge III | kalter Ansatz am Ende des Grades, abgeschlossen | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Menge III | trocken in der Mitte des Grades, abgeschlossen
f81r	f81r.10	0	cheey	chol dain otedy cheey qotain ly	trocken; nominal trockenes Gut/Material | Qualitätsgrad II | kalter Ansatz in der Mitte des Grades, abgeschlossen | trocken am Ende des Grades | kalt im qo-Rahmen, Grad II | rohes Drogenholz
f83r	f83r.32	0	qokchedy|qokey	cheol qokchedy lchedy qokey	trockener Drogenstoff | heiß und trocken in der Mitte des Grades, abgeschlossen | getrocknetes Drogenholz | heiß in der Mitte des Grades
f85r1	f85r1.6	0	qokeey|shedy	roraiin shey pchey qokeey chor ol shedy	Wurzelportion III | feucht in der Mitte des Grades | Pulver, trocken gebunden, Form I | heiß am Ende des Grades | Pflanzen-/Reproduktionsteil | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | feucht in der Mitte des Grades, abgeschlossen
f95r1	f95r1.2	0	chdy|shdy	ol chdy chdy qokaiin shdy qokaiin chdy kol chdy qoty oky dan	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken am Anfang des Grades, abgeschlossen | trocken am Anfang des Grades, abgeschlossen | heiß, Grad III | feucht am Anfang des Grades, abgeschlossen | heiß, Grad III | trocken am Anfang des Grades, abgeschlossen | heiß; nominal heißes Gut/Material | trocken am Anfang des Grades, abgeschlossen | kalt am Anfang des Grades | heißer Ansatz am Anfang des Grades | Grad-/Maßwert I
f99r	f99r.47	0	keey	tol keey ctheey	kalt; nominal kaltes Gut/Material | heiß am Ende des Grades | CTH-Drogenmaterial, Form II
