surface	working_meaning_de	source	strength	scope_state	priority
aiiin	Menge-/Klassenwert IV	V13:VALUE_MINIM_SERIES	CONTEXTUAL_EXACT_SERIES	KNOWN_CONTEXT_LICENSED	55
aiin	Menge III	V13:TARGET_SURFACE_DEFAULT	NEW_V11_TARGET_DEFAULT	KNOWN_EXACT_WHOLE	80
ain	Menge-/Klassenwert II	V13:VALUE_MINIM_SERIES	CONTEXTUAL_EXACT_SERIES	KNOWN_CONTEXT_LICENSED	55
an	Menge-/Klassenwert I	V13:VALUE_MINIM_SERIES	CONTEXTUAL_EXACT_SERIES	KNOWN_CONTEXT_LICENSED	55
chaiiin	trocken, Grad IV	V13:QUALITY_DEGREE_SERIES	PRODUCTIVE_EXACT_SERIES	KNOWN_CONTEXT_LICENSED	70
chaiin	trocken, Grad III	V13:QUALITY_DEGREE_SERIES	PRODUCTIVE_EXACT_SERIES	KNOWN_CONTEXT_LICENSED	70
chain	trocken, Grad II	V13:QUALITY_DEGREE_SERIES	PRODUCTIVE_EXACT_SERIES	KNOWN_CONTEXT_LICENSED	70
chan	trocken, Grad I	V13:QUALITY_DEGREE_SERIES	PRODUCTIVE_EXACT_SERIES	KNOWN_CONTEXT_LICENSED	70
chcthy	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	V13:DRY_CTH_MATERIAL	NEW_PRIMARY_WORKING_WORD__SEMANTIC_PROVISIONAL	KNOWN_CONTEXT_LICENSED	60
chdy	trocken am Anfang des Grades, abgeschlossen	GDT647:FAMILY_MIGRATION	EXACT_QUALITY_SUBDEGREE_FAMILY	KNOWN_EXACT_WHOLE	130
cheaiin	trocken im dritten Grad	GDT645:ROUND_04	EXACT_ZL3B_WHOLE_DOWNSTREAM_COMPLETION	KNOWN_EXACT_WHOLE	125
chear	trockene Fraktion I	GDT639:ROUND_05	EXACT_WHOLE_SURFACE_COMPONENT_REPAIR	KNOWN_EXACT_WHOLE	120
checthy	trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut	V13:DRY_BOUND_CTH_MATERIAL	REVISED_V10_CONCRETE_DEFAULT	KNOWN_CONTEXT_LICENSED	60
chedy	trocken in der Mitte des Grades, abgeschlossen	GDT647:FAMILY_MIGRATION	EXACT_QUALITY_SUBDEGREE_FAMILY	KNOWN_EXACT_WHOLE	130
cheecthy	trockenes Blatt-/Krautgut mit erweiterter Bindungsstufe II	V13:DRY_EXTENDED_BOUND_CTH	NEW_V10_CONCRETE_DEFAULT	KNOWN_CONTEXT_LICENSED	60
cheedy	trocken am Ende des Grades, abgeschlossen	GDT647:FAMILY_MIGRATION	EXACT_QUALITY_SUBDEGREE_FAMILY	KNOWN_EXACT_WHOLE	130
cheey	trocken am Ende des Grades	GDT647:FAMILY_MIGRATION	EXACT_QUALITY_SUBDEGREE_FAMILY	KNOWN_EXACT_WHOLE	130
cheo	trocken angesetzte Zubereitung	V13:TARGET_SURFACE_DEFAULT	NEW_V11_TARGET_DEFAULT	KNOWN_EXACT_WHOLE	80
cheocthey	trockene Drogenzubereitung, Form I	V13:TARGET_SURFACE_DEFAULT	NEW_V11_TARGET_DEFAULT	KNOWN_EXACT_WHOLE	80
cheocthy	attributiv trockene CTH-Drogenzubereitung	V13:DRY_BOUND_CTH_PREPARATION	REVISED_V10_CONCRETE_DEFAULT	KNOWN_CONTEXT_LICENSED	60
cheodain	Trockenansatz, Dosis II	GDT643:ROUND_01	EXACT_ZL3B_WHOLE_EXPOSED_HOLE	KNOWN_EXACT_WHOLE	124
cheody	getrockneter Ansatz	V13:TARGET_SURFACE_DEFAULT	NEW_V11_TARGET_DEFAULT	KNOWN_EXACT_WHOLE	80
cheol	trockener Drogenstoff	GDT642:ROUND_01	EXACT_WHOLE_E_OL_OR_CARRIER	KNOWN_EXACT_WHOLE	123
cheor	trockener Drogenteil	GDT642:ROUND_02	EXACT_WHOLE_E_OL_OR_CARRIER	KNOWN_EXACT_WHOLE	123
chep	trockenes Pulver	V13:TARGET_SURFACE_DEFAULT	NEW_V11_TARGET_DEFAULT	KNOWN_EXACT_WHOLE	80
chetchy	getrocknete Droge; kalt-trocken, Grundform	GDT641:ROUND_02	EXACT_WHOLE_SURFACE_TCH_COMPLETION	KNOWN_EXACT_WHOLE	122
chety	trocken-kalte gebundene Form	V13:TARGET_SURFACE_DEFAULT	NEW_V11_TARGET_DEFAULT	KNOWN_EXACT_WHOLE	80
chey	trocken in der Mitte des Grades	GDT647:FAMILY_MIGRATION	EXACT_QUALITY_SUBDEGREE_FAMILY	KNOWN_EXACT_WHOLE	130
chkaiin	heiß-trocken, Grad III	GDT638:ROUND_08	EXACT_WHOLE_SURFACE_PROMOTION	KNOWN_EXACT_WHOLE	110
chocthy	trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung	V13:DRY_CTH_PREPARATION	REVISED_V10_CONCRETE_DEFAULT	KNOWN_CONTEXT_LICENSED	60
choiin	trockene Zubereitungsform III	GDT638:ROUND_02	EXACT_WHOLE_SURFACE_PROMOTION	KNOWN_EXACT_WHOLE	110
chokchy	Trockenansatz: heiß-trockene Grundform	GDT644:ROUND_03	EXACT_ZL3B_WHOLE_DOWNSTREAM_COMPLETION	KNOWN_EXACT_WHOLE	125
choky	heiß-trockene Zubereitung, Grundform	GDT643:ROUND_03	EXACT_ZL3B_WHOLE_EXPOSED_HOLE	KNOWN_EXACT_WHOLE	124
chol	trocken; nominal trockenes Gut/Material	V13:DRY_OL_FORM	NEW_PRIMARY_DEFAULT	KNOWN_CONTEXT_LICENSED	60
cholaiin	trocken, Grad III	V13:DIRECT_QUALITY_VALUE	NEW_CONCRETE_READING	KNOWN_CONTEXT_LICENSED	60
choldaiin	trocken, Grad III	V13:FUSED_FREE_VALUE	NEW_CONCRETE_READING	KNOWN_CONTEXT_LICENSED	60
chor	Pflanzen-/Reproduktionsteil	V13:PART_OR_FORM	INHERITED_CONTEXT_SPLIT	KNOWN_CONTEXT_LICENSED	60
choraiin	Blüten-/Pflanzenteil, Menge/Klasse III	V13:PART_VALUE_SERIES	PRODUCTIVE_EXACT_SERIES	KNOWN_CONTEXT_LICENSED	70
chorain	Blüten-/Pflanzenteil, Menge/Klasse II	V13:PART_VALUE_SERIES	PRODUCTIVE_EXACT_SERIES	KNOWN_CONTEXT_LICENSED	70
chotaiin	trockene Zubereitung: kalt, Grad III	GDT639:ROUND_03	EXACT_WHOLE_SURFACE_COMPONENT_REPAIR	KNOWN_EXACT_WHOLE	120
chotcheol	Trockenansatz aus kalt-trockenem Drogenstoff	GDT640:ROUND_04	EXACT_WHOLE_SURFACE_DOWNSTREAM_PREDICTION	KNOWN_EXACT_WHOLE	121
chtain	kalt-trocken, Grad II	GDT638:ROUND_09	EXACT_WHOLE_SURFACE_PROMOTION	KNOWN_EXACT_WHOLE	110
chy	trocken am Anfang des Grades	GDT647:FAMILY_MIGRATION	EXACT_QUALITY_SUBDEGREE_FAMILY	KNOWN_EXACT_WHOLE	130
