cell_id	family	surface	composition	old_meaning_de	new_meaning_de	decision	zl3b_occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	reader_variant_occurrences	reader_anchor
G647-C01	QUALITY_COMPOUND_DIRECT	kchy	k+ch+y	UNKNOWN_SURFACE	heiß und trocken am Anfang des Grades	ADD_V24_EXACT_WHOLE	31	26	21	21	10	ALL_READER_EXACT
G647-C02	QUALITY_COMPOUND_DIRECT	kchey	k+ch+e+y	UNKNOWN_SURFACE	heiß und trocken in der Mitte des Grades	ADD_V24_EXACT_WHOLE	18	18	17	17	1	ALL_READER_EXACT
G647-C03	QUALITY_COMPOUND_DIRECT	kcheey	k+ch+ee+y	UNKNOWN_SURFACE	heiß und trocken am Ende des Grades	ADD_V24_EXACT_WHOLE	4	3	3	3	1	ALL_READER_EXACT
G647-C04	QUALITY_COMPOUND_DIRECT	kchdy	k+ch+d+y	UNKNOWN_SURFACE	heiß und trocken am Anfang des Grades, abgeschlossen	ADD_V24_EXACT_WHOLE	17	15	10	10	7	ALL_READER_EXACT
G647-C05	QUALITY_COMPOUND_DIRECT	kchedy	k+ch+e+d+y	UNKNOWN_SURFACE	heiß und trocken in der Mitte des Grades, abgeschlossen	ADD_V24_EXACT_WHOLE	22	18	9	9	13	ALL_READER_EXACT
G647-C06	QUALITY_COMPOUND_DIRECT	kcheedy	k+ch+ee+d+y	heiß-trockene gebundene Abschlussform, Bindungsstufe II	heiß und trocken am Ende des Grades, abgeschlossen	REVISE_V23_READER_WARNING_WHOLE	1	1	0	0	1	ZL3B_READER_VARIANT_ONLY
G647-C07	QUALITY_COMPOUND_DIRECT	kshy	k+sh+y	UNKNOWN_SURFACE	heiß und feucht am Anfang des Grades	ADD_V24_EXACT_WHOLE	6	5	3	3	3	ALL_READER_EXACT
G647-C08	QUALITY_COMPOUND_DIRECT	kshey	k+sh+e+y	UNKNOWN_SURFACE	heiß und feucht in der Mitte des Grades	ADD_V24_EXACT_WHOLE	6	6	5	5	1	ALL_READER_EXACT
G647-C09	QUALITY_COMPOUND_DIRECT	ksheey	k+sh+ee+y	UNKNOWN_SURFACE	heiß und feucht am Ende des Grades	ADD_V24_EXACT_WHOLE	1	1	1	1	0	ALL_READER_EXACT
G647-C10	QUALITY_COMPOUND_DIRECT	kshdy	k+sh+d+y	UNKNOWN_SURFACE	heiß und feucht am Anfang des Grades, abgeschlossen	ADD_V24_EXACT_WHOLE	4	4	1	1	3	ALL_READER_EXACT
G647-C11	QUALITY_COMPOUND_DIRECT	kshedy	k+sh+e+d+y	UNKNOWN_SURFACE	heiß und feucht in der Mitte des Grades, abgeschlossen	ADD_V24_EXACT_WHOLE	5	5	1	1	4	ALL_READER_EXACT
G647-C12	QUALITY_COMPOUND_DIRECT	tchy	t+ch+y	UNKNOWN_SURFACE	kalt und trocken am Anfang des Grades	ADD_V24_EXACT_WHOLE	27	24	15	15	12	ALL_READER_EXACT
G647-C13	QUALITY_COMPOUND_DIRECT	tchey	t+ch+e+y	UNKNOWN_SURFACE	kalt und trocken in der Mitte des Grades	ADD_V24_EXACT_WHOLE	18	16	16	16	2	ALL_READER_EXACT
G647-C14	QUALITY_COMPOUND_DIRECT	tcheey	t+ch+ee+y	kalt und trocken am Ende des Grades	kalt und trocken am Ende des Grades	RETAIN_IDENTICAL_V23	6	6	6	6	0	ALL_READER_EXACT
G647-C15	QUALITY_COMPOUND_DIRECT	tchdy	t+ch+d+y	UNKNOWN_SURFACE	kalt und trocken am Anfang des Grades, abgeschlossen	ADD_V24_EXACT_WHOLE	12	10	8	8	4	ALL_READER_EXACT
G647-C16	QUALITY_COMPOUND_DIRECT	tchedy	t+ch+e+d+y	UNKNOWN_SURFACE	kalt und trocken in der Mitte des Grades, abgeschlossen	ADD_V24_EXACT_WHOLE	33	25	24	24	9	ALL_READER_EXACT
G647-C17	QUALITY_COMPOUND_DIRECT	tshy	t+sh+y	UNKNOWN_SURFACE	kalt und feucht am Anfang des Grades	ADD_V24_EXACT_WHOLE	3	3	2	2	1	ALL_READER_EXACT
G647-C18	QUALITY_COMPOUND_DIRECT	tshey	t+sh+e+y	UNKNOWN_SURFACE	kalt und feucht in der Mitte des Grades	ADD_V24_EXACT_WHOLE	8	8	6	6	2	ALL_READER_EXACT
G647-C19	QUALITY_COMPOUND_DIRECT	tsheey	t+sh+ee+y	UNKNOWN_SURFACE	kalt und feucht am Ende des Grades	ADD_V24_EXACT_WHOLE	1	1	1	1	0	ALL_READER_EXACT
G647-C20	QUALITY_COMPOUND_DIRECT	tshdy	t+sh+d+y	UNKNOWN_SURFACE	kalt und feucht am Anfang des Grades, abgeschlossen	ADD_V24_EXACT_WHOLE	5	5	3	3	2	ALL_READER_EXACT
G647-C21	QUALITY_COMPOUND_DIRECT	tshedy	t+sh+e+d+y	UNKNOWN_SURFACE	kalt und feucht in der Mitte des Grades, abgeschlossen	ADD_V24_EXACT_WHOLE	10	9	5	5	5	ALL_READER_EXACT
G647-C22	QUALITY_COMPOUND_O_CARRIER	okchy	o+k+ch+y	UNKNOWN_SURFACE	heiß-trockener Ansatz am Anfang des Grades	ADD_V24_EXACT_WHOLE	22	20	20	20	2	ALL_READER_EXACT
G647-C23	QUALITY_COMPOUND_O_CARRIER	okchey	o+k+ch+e+y	UNKNOWN_SURFACE	heiß-trockener Ansatz in der Mitte des Grades	ADD_V24_EXACT_WHOLE	29	26	26	26	3	ALL_READER_EXACT
G647-C24	QUALITY_COMPOUND_O_CARRIER	okcheey	o+k+ch+ee+y	UNKNOWN_SURFACE	heiß-trockener Ansatz am Ende des Grades	ADD_V24_EXACT_WHOLE	5	5	5	5	0	ALL_READER_EXACT
G647-C25	QUALITY_COMPOUND_O_CARRIER	okchdy	o+k+ch+d+y	UNKNOWN_SURFACE	heiß-trockener Ansatz am Anfang des Grades, abgeschlossen	ADD_V24_EXACT_WHOLE	16	14	10	10	6	ALL_READER_EXACT
G647-C26	QUALITY_COMPOUND_O_CARRIER	okchedy	o+k+ch+e+d+y	UNKNOWN_SURFACE	heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen	ADD_V24_EXACT_WHOLE	23	16	13	14	9	ALL_READER_EXACT
G647-C27	QUALITY_COMPOUND_O_CARRIER	okshy	o+k+sh+y	UNKNOWN_SURFACE	heiß-feuchter Ansatz am Anfang des Grades	ADD_V24_EXACT_WHOLE	10	9	9	9	1	ALL_READER_EXACT
G647-C28	QUALITY_COMPOUND_O_CARRIER	okshey	o+k+sh+e+y	UNKNOWN_SURFACE	heiß-feuchter Ansatz in der Mitte des Grades	ADD_V24_EXACT_WHOLE	9	8	5	5	4	ALL_READER_EXACT
G647-C29	QUALITY_COMPOUND_O_CARRIER	okshdy	o+k+sh+d+y	UNKNOWN_SURFACE	heiß-feuchter Ansatz am Anfang des Grades, abgeschlossen	ADD_V24_EXACT_WHOLE	1	1	1	1	0	ALL_READER_EXACT
G647-C30	QUALITY_COMPOUND_O_CARRIER	okshedy	o+k+sh+e+d+y	UNKNOWN_SURFACE	heiß-feuchter Ansatz in der Mitte des Grades, abgeschlossen	ADD_V24_EXACT_WHOLE	4	4	1	1	3	ALL_READER_EXACT
G647-C31	QUALITY_COMPOUND_O_CARRIER	otchy	o+t+ch+y	UNKNOWN_SURFACE	kalt-trockener Ansatz am Anfang des Grades	ADD_V24_EXACT_WHOLE	40	32	36	36	4	ALL_READER_EXACT
G647-C32	QUALITY_COMPOUND_O_CARRIER	otchey	o+t+ch+e+y	UNKNOWN_SURFACE	kalt-trockener Ansatz in der Mitte des Grades	ADD_V24_EXACT_WHOLE	26	21	23	23	3	ALL_READER_EXACT
G647-C33	QUALITY_COMPOUND_O_CARRIER	otcheey	o+t+ch+ee+y	UNKNOWN_SURFACE	kalt-trockener Ansatz am Ende des Grades	ADD_V24_EXACT_WHOLE	3	3	2	2	1	ALL_READER_EXACT
G647-C34	QUALITY_COMPOUND_O_CARRIER	otchdy	o+t+ch+d+y	UNKNOWN_SURFACE	kalt-trockener Ansatz am Anfang des Grades, abgeschlossen	ADD_V24_EXACT_WHOLE	24	21	10	10	14	ALL_READER_EXACT
G647-C35	QUALITY_COMPOUND_O_CARRIER	otchedy	o+t+ch+e+d+y	UNKNOWN_SURFACE	kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen	ADD_V24_EXACT_WHOLE	34	21	18	18	16	ALL_READER_EXACT
