page	locus	line_state	assessment	migrated_surfaces	zl3b_line	tokenwise_translation_de	scoped_reading_de	audit_note
f13v	f13v.5	COMPLETE_V24	STRONG	qoky	qoky daiin	heiß am Anfang des Grades | Grad-/Maßwert III	heiß am Anfang des dritten Grades	Saubere Verbindung aus qoky-Subgradposition und unmittelbar folgendem daiin-Gradwert.
f35r	f35r.14	COMPLETE_V24	STRONG	qotchy	cthol chol aiin qotchy otchor daiin shol qotaiin	CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | trocken; nominal trockenes Gut/Material | Menge III | kalt und trocken am Anfang des Grades | kalt-trockene Drogenportion im Ansatz | Menge/Portion III | feucht; nominal feuchtes Gut/Material | kalt, Grad III	kalt und trocken am Anfang des dritten Grades; dazwischen Drogenportion, Ansatz und Menge III	qotchy und qotaiin teilen den sichtbaren qo+t-Kopf; der lokale Scope ist eng.
f32r	f32r.5	COMPLETE_V24	STRONG	qotchy|qokchy	qotchy qokchy daiin	kalt und trocken am Anfang des Grades | heiß und trocken am Anfang des Grades | Grad-/Maßwert III	Am Anfang des dritten Grades: kalt und trocken; heiß und trocken.	Direkter k/t-Kontrast im gleichen qo- und y-Rahmen vor daiin.
f36v	f36v.13	COMPLETE_V24	STRONG	oky|oty	oky she cthol oty	heißer Ansatz am Anfang des Grades | feucht, attributiv gebunden | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | kalter Ansatz am Anfang des Grades	Am Anfang des Grades: heißer Ansatz; kalter Ansatz.	oky und oty zeigen, dass der o-Rahmen die Positionsachse bewahrt.
f80r	f80r.18	COMPLETE_V24	STRONG	qokeedy	paiin sheol qokain chety qokeedy qokar shcthy qotol shecthy qokain olkam	Pulver, Typ/Charge III | feuchtes Material | heiß, Grad II | trocken-kalte gebundene Form | heiß am Ende des Grades, abgeschlossen | heiße Portion | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | kaltes Material | feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut | heiß, Grad II | heißes Material [terminal-M]	heiß im zweiten Grad; am Gradende heiß und abgeschlossen; erneut heiß im zweiten Grad	Derselbe qo+k-Kopf trägt getrennt Gradnummer und Subgradposition.
f83r	f83r.36	COMPLETE_V24	STRONG	shy|shey|qoky	sor aiin shy shey lshedy qoky	Samenportion | Menge III | feucht am Anfang des Grades | feucht in der Mitte des Grades | eingeweichtes Drogenholz | heiß am Anfang des Grades	Feuchte vom Gradanfang bis zur Gradmitte; außerdem heiß am Gradanfang.	Sichtbare shy→shey Anfang-Mitte-Folge, gefolgt von qoky.
f85r1	f85r1.21	COMPLETE_V24	STRONG	otedy|chedy	daiir cheody oraiin ol okaiin cheocthey olor otedy qotaiin chor chedy	Maß III | getrockneter Ansatz | Portion III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiß, Grad III, im Ansatzrahmen | trockene Drogenzubereitung, Form I | Zutat | kalter Ansatz in der Mitte des Grades, abgeschlossen | kalt, Grad III | Pflanzen-/Reproduktionsteil | trocken in der Mitte des Grades, abgeschlossen	In der Gradmitte abgeschlossen: kalter Ansatz und trockener Zustand; kalt im dritten Grad.	otedy und chedy teilen e+d+y; qotaiin liefert getrennt den Gradwert.
f75v	f75v.51	COMPLETE_V24	STRONG	okeey	okeey lol	heißer Ansatz am Ende des Grades | Holzstoff	Heißer Ansatz am Gradende; Holzstoff.	Kurze, widerspruchsfreie o+k+ee+y-Passage.
f79v	f79v.4	COMPLETE_V24	STRONG_WITH_SCOPE	qokeedy|chedy|qoky	qokeedy qokeedy qotain sol chedy rchey qoky lchedy	heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | kalt im qo-Rahmen, Grad II | Samenmaterial/Saatgut | trocken in der Mitte des Grades, abgeschlossen | Wurzel/Wurzeldroge, trocken gebunden, Form I | heiß am Anfang des Grades | getrocknetes Drogenholz	Am Gradende, abgeschlossen: zweimal heiß. In der Gradmitte, abgeschlossen: trocken. Außerdem heiß am Gradanfang.	Wiederholte Position wird einmal lokal gescopet statt tokenweise verdoppelt.
f29r	f29r.1	COMPLETE_V24	SCOPE_COMPRESSION_REQUIRED	oty|chy|qotchy|qoty	posaiin she aiin chep oty chy qotchy qoty cheecthy	Salzpulver-Zubereitung III | feucht, attributiv gebunden | Menge III | trockenes Pulver | kalter Ansatz am Anfang des Grades | trocken am Anfang des Grades | kalt und trocken am Anfang des Grades | kalt am Anfang des Grades | trockenes Blatt-/Krautgut mit erweiterter Bindungsstufe II	Am Gradanfang: kalter Ansatz, trocken, kalt-trocken und kalt.	Vier gleiche Positionsmarker sind als lokale Liste lesbar, tokenweise aber schlechte Prosa.
f49v	f49v.12	COMPLETE_V24	MIXED_OLD_NEW_TERMS	qotchy	qotchy chokchy choky	kalt und trocken am Anfang des Grades | Trockenansatz: heiß-trockene Grundform | heiß-trockene Zubereitung, Grundform	Am Gradanfang: kalt-trocken; danach Trockenansatz und heiß-trockene Zubereitung in noch alter Grundform-Terminologie.	qotchy migriert; chokchy/choky sind umgestellte Ganzwörter außerhalb des Scopes.
f15v	f15v.4	COMPLETE_V24	MIXED_OLD_NEW_TERMS	qoky	doiin choky shol qoky qotchod	Zubereitungsmaß, Form III | heiß-trockene Zubereitung, Grundform | feucht; nominal feuchtes Gut/Material | heiß am Anfang des Grades | kalt-trockene Zubereitung, fertig gebunden	heiß am Gradanfang neben heiß-trockener Zubereitung in alter Grundform-Terminologie	Kein Gegenbeleg; choky darf hier aber nicht stillschweigend mitmigrieren.
f28v	f28v.8	ONE_HOLE_V24	OWNER_SCOPE_OPEN	chy	okain chan chain cthor dain yk chy daiin cthol	heiß im Zubereitungsrahmen, Grad II | trocken, Grad I | trocken, Grad II | Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge | Menge/Portion II | [yk:?] | trocken am Anfang des Grades | Grad-/Maßwert III | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge	trocken am Gradanfang; getrennt davon Grad-/Mengenwerte II und III	Ohne gesicherten Eigentümer darf die Position nicht automatisch an einen Zahlenwert gebunden werden.
f114v	f114v.33	COMPLETE_V24	HARD_WARNING	sheey|qoteey	kaiin sheey oaiin sheol qoteey qokeeedy cheo ctheey qokeeo lkealy	heiß, Grad III | feucht am Ende des Grades | Ansatzmenge III | feuchtes Material | kalt am Ende des Grades | heißer Zustand, Bindungsstufe III | trocken angesetzte Zubereitung | CTH-Drogenmaterial, Form II | heißer Ansatz, Bindungsstufe II | erwärmte Flüssigkeit	Gradende-Werte neben qokeeedy und qokeeo mit noch offener, anderer E-Länge	Schlimmste Mischzeile; EEE und terminales o bleiben ausdrücklich außerhalb der Achse.
