surface	page	locus	zl3b_line	it2a_line	rf1b_line	reader_support	new_meaning_de	decision
kchy	f103r	f103r.48	polarar lshedy qotolaiin qokeey qokeey shkchy opchealol kchy sam	polarar lshedy qotolaiin qokeey qokeey shkchy opchealol kchy sam	polarar lshe y qotolaiin qokeey qokchy shkchy opcheal l keey sam	READER_VARIANT	heiß und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchy	f14v	f14v.7	oy kshy cho ty dydy odyd otchy o kchy dshy dardy	oykshy choty dydy odyd otchy okchy dshy dardy	oyky choty dydy odyd otchy o kchy dshy dardy	READER_VARIANT	heiß und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchy	f16r	f16r.12	dy cho kchy shcthy shtshy sho tchokyd	dychokchy shcthy shtshy sho tchokyd	dychokchy shcthy shtshy sho tchokyd	READER_VARIANT	heiß und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchy	f16v	f16v.3	ykchy dy choy qoty chy kchy koshet	ykchy dy choy qoty chy kchy koshet	ykchy dy choy qoty chykchy koshet	READER_VARIANT	heiß und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchy	f19r	f19r.9	qotchor dy dor y tchy kchy shdaiin	qotchor dy dor y tchykchy shdaiin	qotchor dy dor y tchykchy shdaiin	READER_VARIANT	heiß und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchy	f19v	f19v.1	pochaiin cthor chpcheos opchey py kchy	pochaiin cthor chpcheos opchey py kchy	pochaiin cthor chpcheos opchey pykchy	READER_VARIANT	heiß und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchy	f22r	f22r.3	qokol dykaiin o kchy daiin cthol ctholo dar shain	qokol dykaiin okchy daiin cthol ctholo dar shain	qokol dykaiin o kchy daiin cthol ctholo dar shain	READER_VARIANT	heiß und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchy	f34r	f34r.2	ytar sheody o lam octhedy otedy chdain oltey kchy ty	ytar sheody olam octhede otedy chdain oltey kchy ty	ytar sheo y olam octhedy ote y ch ain oltey chyty	READER_VARIANT	heiß und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchy	f49r	f49r.1	pychol dy shor shol shtchy shorpchor opchor shor kchy	poshol dy shor shol shtchy shorpchor opchor shorkchy	p chol dy shor shol shtchy shorpchor opchor shorkchy	READER_VARIANT	heiß und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchy	f56v	f56v.10	ol kchy ksho shy ytol chotor y dy	ol kchy ksho shy ytol chotor ydy	olkchy ksho shy ytol chotor ydy	READER_VARIANT	heiß und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchey	f113r	f113r.39	pcheockhy l kchey qofsheeey lkeody kcheodaiin por shed qopoeey pokeey rair aly	pcheockhy lkchey qofsheeey lkeody kcheodaiin por sheed qopoeey pokeey rair aly	pcheockhy lkchey qopsheeey lkeody kcheodaiin por ed qopoeey pokeey rair aly	READER_VARIANT	heiß und trocken in der Mitte des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kcheey	f56r	f56r.11	shy kcheey daiin cthol chos chokor	shy kcheey daiin cthol chor chokor	shykcheey daiin cthol chor chokor	READER_VARIANT	heiß und trocken am Ende des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
