event_id	page	record	statement_id	surface	component_parse	atomic_card_value_de	local_action_expansion_de	revised_event_reading_de	corrected_full_compact_instruction_de	complete_meaning
E001	f10r	H1	H1-S001	dchey	CH+E+Y	diesen Posten kurz abziehen	abnehmen	abnehmen	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	YES
E002	f10r	H1	H1-S001	cthoor	CTH+O+OR	bereit · Arbeitsgang · Ansatz	NON_ACTION_CONTRIBUTION	bereit · Arbeitsgang · Ansatz	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	YES
E003	f10r	H1	H1-S001	char	AR	von dort	NON_ACTION_CONTRIBUTION	von dort	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	YES
E004	f10r	H1	H1-S001	chty	T+Y	den aktuellen Posten eintragen	übertragen	übertragen	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	YES
E005	f10r	H1	H1-S001	os	OS	Arbeitsfach	NON_ACTION_CONTRIBUTION	Arbeitsfach	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	YES
E006	f10r	H1	H1-S001	chair	CH+AIR	den laufenden Posten durch laufender Bestand abziehen	ablaufen lassen	ablaufen lassen	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	YES
E007	f10r	H1	H1-S001	otytchol	OT+Y+T+CH+OL	danach fortsetzen diesen Posten eintragen und abziehen	eintragen + abnehmen	eintragen + abnehmen	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	YES
E008	f10r	H1	H1-S001	oky	OK+Y	den aktuellen Posten in Einsatz bringen	einsetzen	Pflanzenstoff in den Ansatz geben	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	YES
E009	f10r	H1	H1-S001	daiin	AIIN	vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	vorgeschriebenes Maß	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	YES
E010	f10r	H1	H1-S001	etyd	E+T+Y	diesen Posten kurz eintragen	eintragen	eintragen	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	YES
