statement_id	page	record	silent_owner_de	action_events	argument_state_events	event_total	complete_actions_de	complete_arguments_de	corrected_full_compact_instruction_de	formula_mode	phase_signature	all_events_spoken	supersedes_pass580_first_event_only
H1-S001	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	6	4	10	abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen	bereit · Gang · Ansatz | davon | Arbeitsfach | Maß	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	FREE_COMPOSITION	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST>MATERIAL_PREP	YES	YES
H1-S002	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	2	2	4	gib dies in den Ansatz → abnehmen	fort | bereit · dies	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: gib dies in den Ansatz → abnehmen. Angaben: fort | bereit · dies.	SIMPLE_ONE_EDIT_VARIANT	SPECIALIST>MATERIAL_PREP	YES	YES
H2-S001	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	1	8	9	abziehen	bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	TAUGHT_MACRO	MATERIAL_PREP	YES	YES
H2-S002	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	1	7	8	abziehen	Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	TAUGHT_MACRO	MATERIAL_PREP	YES	YES
H2-S003	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	3	4	7	zugeben → zugeben → abziehen	Ansatz | Ansatz | dies | dies	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: zugeben → zugeben → abziehen. Angaben: Ansatz | Ansatz | dies | dies.	SIMPLE_ONE_EDIT_VARIANT	MEASURE_CHARGE>MATERIAL_PREP	YES	YES
H3-S001	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	7	0	7	eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen	NONE	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	FREE_COMPOSITION	MATERIAL_PREP>HOLD>MATERIAL_PREP>HOLD>MEASURE_CHARGE>HOLD>MATERIAL_PREP>CLOSE	YES	YES
H3-S002	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	1	0	1	halten + eintragen	NONE	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: halten + eintragen.	SIMPLE_ONE_EDIT_VARIANT	HOLD>MATERIAL_PREP	YES	YES
H3-S003	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	1	4	5	zugeben	fort | dies | dies | Maß	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: zugeben. Angaben: fort | dies | dies | Maß.	TAUGHT_MACRO	MEASURE_CHARGE	YES	YES
H3-S004	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	1	3	4	weiter beschicken	danach · dies | bereit · dies | dies	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: weiter beschicken. Angaben: danach · dies | bereit · dies | dies.	TAUGHT_MACRO	MEASURE_CHARGE	YES	YES
H4-S001	f55v	H4	abgebildete breitblättrige rispige Pflanze	3	2	5	setze nach Maß an → dosiert zugeben → zugeben	Maß | Gang; Schritt schließen	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: setze nach Maß an → dosiert zugeben → zugeben. Angaben: Maß | Gang; Schritt schließen.	TAUGHT_MACRO	MEASURE_CHARGE>CLOSE	YES	YES
