event_id	page	record	statement_id	exact_card_id	surface	component_recipe	literal_reading_de	portable_workshop_paraphrase_de	owner_independent
E011	f10r	H1	H1-S002	PROC011	qokchy	OK+Y	ANSETZEN · POSTEN	den Posten ansetzen	YES
E091	f56r	H5	H5-S004	PROC011	okchy	OK+Y	ANSETZEN · POSTEN	den Posten ansetzen	YES
E095	f56r	H5	H5-S005	PROC011	chokchy	OK+Y	ANSETZEN · POSTEN	den Posten ansetzen	YES
E107	f81v	B1	B1-S002	PROC069	kain	K+AIN	ZUGEBEN · PORTION	eine Portion zugeben	YES
E120	f81v	B1	B1-S002	PROC076	schedy	CHD+DY	UMSETZEN · SCHLUSS	umsetzen und schliessen	YES
E126	f81v	B1	B1-S005	PROC079	qolchedy	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	weiter umsetzen und schliessen	YES
E131	f81v	B1	B1-S007	PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	ansetzen, umsetzen und schliessen	YES
E134	f81v	B1	B1-S008	PROC083	cheky	CHK+E+Y	WAERMEN · KURZ · POSTEN	den Posten kurz waermen	YES
E162	f81v	B1	B1-S018	PROC098	olkeedy	SOLK+EE+DY	SAMMELN · LANG · SCHLUSS	laenger sammeln und schliessen	YES
E164	f81v	B1	B1-S020	PROC083	cheky	CHK+E+Y	WAERMEN · KURZ · POSTEN	den Posten kurz waermen	YES
E165	f81v	B1	B1-S020	PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	kurz am Durchlass halten und schliessen	YES
E167	f82r	B2	B2-S001	PROC076	dchedy	CHD+DY	UMSETZEN · SCHLUSS	umsetzen und schliessen	YES
E168	f82r	B2	B2-S002	PROC079	qolchedy	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	weiter umsetzen und schliessen	YES
E190	f82r	B2	B2-S008	PROC112	sotaiin	OT+AIIN	DANACH · SOLLMASS	danach nach Sollmass	YES
E229	f83r	B3	B3-S001	PROC098	olkeedy	SOLK+EE+DY	SAMMELN · LANG · SCHLUSS	laenger sammeln und schliessen	YES
E230	f83r	B3	B3-S002	PROC131	qotal	OT+AL	DANACH · ZIELSTELLE	danach zur Zielstelle	YES
E237	f83r	B3	B3-S004	PROC131	qotal	OT+AL	DANACH · ZIELSTELLE	danach zur Zielstelle	YES
E239	f83r	B3	B3-S005	PROC076	schedy	CHD+DY	UMSETZEN · SCHLUSS	umsetzen und schliessen	YES
E242	f83r	B3	B3-S006	PROC079	olchedy	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	weiter umsetzen und schliessen	YES
E257	f83r	B3	B3-S013	PROC069	chkain	K+AIN	ZUGEBEN · PORTION	eine Portion zugeben	YES
E283	f83r	B3	B3-S024	PROC076	tchedy	CHD+DY	UMSETZEN · SCHLUSS	umsetzen und schliessen	YES
E284	f83r	B3	B3-S025	PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	ansetzen, umsetzen und schliessen	YES
E291	f83r	B3	B3-S026	PROC098	solkeedy	SOLK+EE+DY	SAMMELN · LANG · SCHLUSS	laenger sammeln und schliessen	YES
E306	f83r	B3	B3-S032	PROC112	otaiin	OT+AIIN	DANACH · SOLLMASS	danach nach Sollmass	YES
E312	f83r	B3	B3-S034	PROC112	otaiin	OT+AIIN	DANACH · SOLLMASS	danach nach Sollmass	YES
E320	f83r	B4	B4-S003	PROC131	otal	OT+AL	DANACH · ZIELSTELLE	danach zur Zielstelle	YES
E330	f83r	B4	B4-S006	PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	kurz am Durchlass halten und schliessen	YES
E331	f83r	B4	B4-S007	PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	kurz am Durchlass halten und schliessen	YES
E339	f83r	B4	B4-S011	PROC083	cheky	CHK+E+Y	WAERMEN · KURZ · POSTEN	den Posten kurz waermen	YES
E354	f83r	B4	B4-S015	PROC069	kain	K+AIN	ZUGEBEN · PORTION	eine Portion zugeben	YES
E363	f83r	B5	B5-S002	PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	ansetzen, umsetzen und schliessen	YES
