statement_id	page	record	selected_events	selected_surfaces	portable_sequence_de	full_working_reading_de
H1-S002	f10r	H1	1	qokchy	den Posten ansetzen	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.
H5-S004	f56r	H5	1	okchy	den Posten ansetzen	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und entnehmen; dann zur Zielstelle zugeben.
H5-S005	f56r	H5	1	chokchy	den Posten ansetzen	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.
B1-S002	f81v	B1	2	kain | schedy	eine Portion zugeben | umsetzen und schliessen	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
B1-S005	f81v	B1	1	qolchedy	weiter umsetzen und schliessen	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.
B1-S007	f81v	B1	1	qokchdy	ansetzen, umsetzen und schliessen	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.
B1-S008	f81v	B1	1	cheky	den Posten kurz waermen	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, stehen lassen und den Schritt schliessen.
B1-S018	f81v	B1	1	olkeedy	laenger sammeln und schliessen	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger sammeln; den Schritt schliessen.
B1-S020	f81v	B1	2	cheky | shckhedy	den Posten kurz waermen | kurz am Durchlass halten und schliessen	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.
B2-S001	f82r	B2	1	dchedy	umsetzen und schliessen	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.
B2-S002	f82r	B2	1	qolchedy	weiter umsetzen und schliessen	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.
B2-S008	f82r	B2	1	sotaiin	danach nach Sollmass	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann stehen lassen; den Schritt schliessen.
B3-S001	f83r	B3	1	olkeedy	laenger sammeln und schliessen	An der oberen offenen Faecherstation: Laenger sammeln und den Schritt schliessen.
B3-S002	f83r	B3	1	qotal	danach zur Zielstelle	An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.
B3-S004	f83r	B3	1	qotal	danach zur Zielstelle	An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.
B3-S005	f83r	B3	1	schedy	umsetzen und schliessen	Am runden Mittelgefaess: Umsetzen; den Schritt schliessen.
B3-S006	f83r	B3	1	olchedy	weiter umsetzen und schliessen	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen.
B3-S013	f83r	B3	1	chkain	eine Portion zugeben	Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.
B3-S024	f83r	B3	1	tchedy	umsetzen und schliessen	Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen.
B3-S025	f83r	B3	1	qokchdy	ansetzen, umsetzen und schliessen	Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen.
B3-S026	f83r	B3	1	solkeedy	laenger sammeln und schliessen	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger sammeln und schliessen.
B3-S032	f83r	B3	1	otaiin	danach nach Sollmass	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.
B3-S034	f83r	B3	1	otaiin	danach nach Sollmass	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.
B4-S003	f83r	B4	1	otal	danach zur Zielstelle	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, stehen lassen und schliessen.
B4-S006	f83r	B4	1	shckhedy	kurz am Durchlass halten und schliessen	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.
B4-S007	f83r	B4	1	shckhedy	kurz am Durchlass halten und schliessen	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.
B4-S011	f83r	B4	1	cheky	den Posten kurz waermen	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.
B4-S015	f83r	B4	1	kain	eine Portion zugeben	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz sammeln, leiten, umsetzen und schliessen.
B5-S002	f83r	B5	1	qokchdy	ansetzen, umsetzen und schliessen	An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen.
