frequency_rank	exact_card_id	surfaces	component_recipe	literal_reading_de	portable_workshop_paraphrase_de	events	card_tier	page_specific_noun	decision
21	PROC076	dchedy|schedy|tchedy	CHD+DY	UMSETZEN · SCHLUSS	umsetzen und schliessen	4	FULLY_CORE33_RECIPE	NONE	PORTABLE_THIRD_TIER_CARD
22	PROC083	cheky	CHK+E+Y	WAERMEN · KURZ · POSTEN	den Posten kurz waermen	3	FULLY_CORE33_RECIPE	NONE	PORTABLE_THIRD_TIER_CARD
23	PROC069	chkain|kain	K+AIN	ZUGEBEN · PORTION	eine Portion zugeben	3	FULLY_CORE33_RECIPE	NONE	PORTABLE_THIRD_TIER_CARD
24	PROC011	chokchy|okchy|qokchy	OK+Y	ANSETZEN · POSTEN	den Posten ansetzen	3	FULLY_CORE33_RECIPE	NONE	PORTABLE_THIRD_TIER_CARD
25	PROC079	olchedy|qolchedy	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	weiter umsetzen und schliessen	3	FULLY_CORE33_RECIPE	NONE	PORTABLE_THIRD_TIER_CARD
26	PROC098	olkeedy|solkeedy	SOLK+EE+DY	SAMMELN · LANG · SCHLUSS	laenger sammeln und schliessen	3	FULLY_CORE33_RECIPE	NONE	PORTABLE_THIRD_TIER_CARD
27	PROC112	otaiin|sotaiin	OT+AIIN	DANACH · SOLLMASS	danach nach Sollmass	3	FULLY_CORE33_RECIPE	NONE	PORTABLE_THIRD_TIER_CARD
28	PROC131	otal|qotal	OT+AL	DANACH · ZIELSTELLE	danach zur Zielstelle	3	FULLY_CORE33_RECIPE	NONE	PORTABLE_THIRD_TIER_CARD
29	PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	ansetzen, umsetzen und schliessen	3	FULLY_CORE33_RECIPE	NONE	PORTABLE_THIRD_TIER_CARD
30	PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	kurz am Durchlass halten und schliessen	3	FULLY_CORE33_RECIPE	NONE	PORTABLE_THIRD_TIER_CARD
