exercise	phase	operation	operation_reading_de	tail_recipe	surface	component_recipe	working_reading_de
S01	BEFORE	K	ZUGEBEN	OL	kchol	K+OL	ZUGEBEN · WEITER
S01	AFTER	CHD	UMSETZEN	OL	chedol	CHD+OL	UMSETZEN · WEITER
S02	BEFORE	CHD	UMSETZEN	AL	chdal	CHD+AL	UMSETZEN · ZIELSTELLE
S02	AFTER	L	LEITEN	AL	lal	L+AL	LEITEN · ZIELSTELLE
S03	BEFORE	K	ZUGEBEN	AIR	kair	K+AIR	ZUGEBEN · WASSER
S03	AFTER	L	LEITEN	AIR	lair	L+AIR	LEITEN · WASSER
S04	BEFORE	K	ZUGEBEN	AIN	kain	K+AIN	ZUGEBEN · PORTION
S04	AFTER	L	LEITEN	AIN	lain	L+AIN	LEITEN · PORTION
S05	BEFORE	L	LEITEN	DY	ldy	L+DY	LEITEN · SCHLUSS
S05	AFTER	K	ZUGEBEN	DY	kdy	K+DY	ZUGEBEN · SCHLUSS
S06	BEFORE	L	LEITEN	AR	lar	L+AR	LEITEN · QUELLE
S06	AFTER	CHD	UMSETZEN	AR	chdar	CHD+AR	UMSETZEN · QUELLE
