event_id	page	statement_id	surface	component_recipe	operation_stack	working_reading_de	transition_trace	final_state
E122	f81v	B1-S003	sshkchdy	SH+K+CHD+DY	K+CHD	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	ACTIVE_ITEM --ZUGEBEN--> MATERIAL_ADDED | MATERIAL_ADDED --UMSETZEN--> ITEM_TRANSFERRED | ITEM_TRANSFERRED --CLOSE--> STEP_CLOSED	STEP_CLOSED
E147	f81v	B1-S014	lchedal	L+CHD+AL	L+CHD	LEITEN · UMSETZEN · ZIELSTELLE	ACTIVE_ITEM --LEITEN--> PATH_ENGAGED | PATH_ENGAGED --UMSETZEN--> ITEM_TRANSFERRED | ITEM_TRANSFERRED --TARGET--> AT_OWNER_TARGET	AT_OWNER_TARGET
E174	f82r	B2-S004	lched	L+CHD	L+CHD	LEITEN · UMSETZEN	ACTIVE_ITEM --LEITEN--> PATH_ENGAGED | PATH_ENGAGED --UMSETZEN--> ITEM_TRANSFERRED | ITEM_TRANSFERRED --KEEP--> ITEM_TRANSFERRED	ITEM_TRANSFERRED
E210	f82r	B2-S013	lchedy	L+CHD+DY	L+CHD	LEITEN · UMSETZEN · SCHLUSS	ACTIVE_ITEM --LEITEN--> PATH_ENGAGED | PATH_ENGAGED --UMSETZEN--> ITEM_TRANSFERRED | ITEM_TRANSFERRED --CLOSE--> STEP_CLOSED	STEP_CLOSED
E215	f82r	B2-S016	lchedar	L+CHD+AR	L+CHD	LEITEN · UMSETZEN · QUELLE	ACTIVE_ITEM --LEITEN--> PATH_ENGAGED | PATH_ENGAGED --UMSETZEN--> ITEM_TRANSFERRED | ITEM_TRANSFERRED --SOURCE--> FROM_OWNER_SOURCE	FROM_OWNER_SOURCE
E228	f82r	B2-S022	lochedy	L+O+CHD+DY	L+CHD	LEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	ACTIVE_ITEM --LEITEN--> PATH_ENGAGED | PATH_ENGAGED --UMSETZEN--> ITEM_TRANSFERRED | ITEM_TRANSFERRED --CLOSE--> STEP_CLOSED	STEP_CLOSED
E235	f83r	B3-S003	lchedy	L+CHD+DY	L+CHD	LEITEN · UMSETZEN · SCHLUSS	ACTIVE_ITEM --LEITEN--> PATH_ENGAGED | PATH_ENGAGED --UMSETZEN--> ITEM_TRANSFERRED | ITEM_TRANSFERRED --CLOSE--> STEP_CLOSED	STEP_CLOSED
E246	f83r	B3-S008	lchedy	L+CHD+DY	L+CHD	LEITEN · UMSETZEN · SCHLUSS	ACTIVE_ITEM --LEITEN--> PATH_ENGAGED | PATH_ENGAGED --UMSETZEN--> ITEM_TRANSFERRED | ITEM_TRANSFERRED --CLOSE--> STEP_CLOSED	STEP_CLOSED
E262	f83r	B3-S015	lchedy	L+CHD+DY	L+CHD	LEITEN · UMSETZEN · SCHLUSS	ACTIVE_ITEM --LEITEN--> PATH_ENGAGED | PATH_ENGAGED --UMSETZEN--> ITEM_TRANSFERRED | ITEM_TRANSFERRED --CLOSE--> STEP_CLOSED	STEP_CLOSED
E269	f83r	B3-S020	lchedy	L+CHD+DY	L+CHD	LEITEN · UMSETZEN · SCHLUSS	ACTIVE_ITEM --LEITEN--> PATH_ENGAGED | PATH_ENGAGED --UMSETZEN--> ITEM_TRANSFERRED | ITEM_TRANSFERRED --CLOSE--> STEP_CLOSED	STEP_CLOSED
E282	f83r	B3-S023	lchedy	L+CHD+DY	L+CHD	LEITEN · UMSETZEN · SCHLUSS	ACTIVE_ITEM --LEITEN--> PATH_ENGAGED | PATH_ENGAGED --UMSETZEN--> ITEM_TRANSFERRED | ITEM_TRANSFERRED --CLOSE--> STEP_CLOSED	STEP_CLOSED
E344	f83r	B4-S011	lkedy	L+K+E+DY	L+K	LEITEN · ZUGEBEN · KURZ · SCHLUSS	ACTIVE_ITEM --LEITEN--> PATH_ENGAGED | PATH_ENGAGED --ZUGEBEN--> MATERIAL_ADDED | MATERIAL_ADDED --CLOSE--> STEP_CLOSED	STEP_CLOSED
E345	f83r	B4-S012	lchedy	L+CHD+DY	L+CHD	LEITEN · UMSETZEN · SCHLUSS	ACTIVE_ITEM --LEITEN--> PATH_ENGAGED | PATH_ENGAGED --UMSETZEN--> ITEM_TRANSFERRED | ITEM_TRANSFERRED --CLOSE--> STEP_CLOSED	STEP_CLOSED
E357	f83r	B4-S015	lchedy	L+CHD+DY	L+CHD	LEITEN · UMSETZEN · SCHLUSS	ACTIVE_ITEM --LEITEN--> PATH_ENGAGED | PATH_ENGAGED --UMSETZEN--> ITEM_TRANSFERRED | ITEM_TRANSFERRED --CLOSE--> STEP_CLOSED	STEP_CLOSED
