statement_id	page	record	silent_owner_de	owner_object_class	supplied_work_object_de	supplied_portion_de	macro_id	phase_signature	owner_specialized_macro_de	full_action_sequence_de	owner_specialized_complete_reading_de	all_actions_visible
H1-S001	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	PLANT_MATERIAL	den Pflanzenstoff oder Ansatz	eine abgemessene Portion des Pflanzenstoffs	NONE	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST>MATERIAL_PREP	ONE_OFF_SEQUENCE	abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → Pflanzenstoff in den Ansatz geben → eintragen	Bei der ersten abgebildeten Pflanze: abnehmen; dann übertragen; dann ablaufen lassen; dann eintragen + abnehmen; dann Pflanzenstoff in den Ansatz geben; dann eintragen. Angaben: bereit · Arbeitsgang · Ansatz | von dort | Arbeitsfach | vorgeschriebenes Maß.	YES
H1-S002	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	PLANT_MATERIAL	den Pflanzenstoff oder Ansatz	eine abgemessene Portion des Pflanzenstoffs	NONE	SPECIALIST>MATERIAL_PREP	ONE_OFF_SEQUENCE	Pflanzenstoff in den Ansatz geben → abnehmen	Bei der ersten abgebildeten Pflanze: Pflanzenstoff in den Ansatz geben; dann abnehmen. Angaben: fortsetzen | bereit · dieser Posten.	YES
H2-S001	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	PLANT_MATERIAL	den Pflanzenstoff oder Ansatz	eine abgemessene Portion des Pflanzenstoffs	WM10	MATERIAL_PREP	Bereite den Pflanzenstoff oder Ansatz vor.	abziehen	Bereite den Pflanzenstoff oder Ansatz vor. Vollfolge: abziehen.	YES
H2-S002	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	PLANT_MATERIAL	den Pflanzenstoff oder Ansatz	eine abgemessene Portion des Pflanzenstoffs	WM10	MATERIAL_PREP	Bereite den Pflanzenstoff oder Ansatz vor.	abziehen	Bereite den Pflanzenstoff oder Ansatz vor. Vollfolge: abziehen.	YES
H2-S003	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	PLANT_MATERIAL	den Pflanzenstoff oder Ansatz	eine abgemessene Portion des Pflanzenstoffs	NONE	MEASURE_CHARGE>MATERIAL_PREP	ONE_OFF_SEQUENCE	zugeben → zugeben → abziehen	Bei der ersten abgebildeten Pflanze: zugeben; dann zugeben; dann abziehen. Angaben: Ansatz | Ansatz | dieser Posten | dieser Posten.	YES
H3-S001	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	NONE	MATERIAL_PREP>HOLD>MATERIAL_PREP>HOLD>MEASURE_CHARGE>HOLD>MATERIAL_PREP>CLOSE	ONE_OFF_SEQUENCE	eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen	Bei der abgebildeten Blütenpflanze: eintragen + halten; dann an Ort halten; dann auswringen; dann ziehen lassen; dann hineingeben; dann ziehen lassen; dann abschließend eintragen + abziehen.	YES
H3-S002	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	NONE	HOLD>MATERIAL_PREP	ONE_OFF_SEQUENCE	halten + eintragen	Bei der abgebildeten Blütenpflanze: halten + eintragen.	YES
H3-S003	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM04	MEASURE_CHARGE	Fülle eine abgemessene Portion der Beckenflüssigkeit ein.	zugeben	Fülle eine abgemessene Portion der Beckenflüssigkeit ein. Vollfolge: zugeben.	YES
H3-S004	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM04	MEASURE_CHARGE	Fülle eine abgemessene Portion der Beckenflüssigkeit ein.	weiter beschicken	Fülle eine abgemessene Portion der Beckenflüssigkeit ein. Vollfolge: weiter beschicken.	YES
H4-S001	f55v	H4	abgebildete breitblättrige rispige Pflanze	PLANT_MATERIAL	den Pflanzenstoff oder Ansatz	eine abgemessene Portion des Pflanzenstoffs	WM11	MEASURE_CHARGE>CLOSE	Beschicke bis zum Sollmaß mit eine abgemessene Portion des Pflanzenstoffs und schließe den Schritt.	bis zum Sollmaß beschicken → dosiert zugeben → zugeben	Beschicke bis zum Sollmaß mit eine abgemessene Portion des Pflanzenstoffs und schließe den Schritt. Vollfolge: bis zum Sollmaß beschicken → dosiert zugeben → zugeben.	YES
