record	page	title_de	statements	owner_classes	continuous_owner_specialized_reading_de
H1	f10r	erste Pflanzenanweisung	2	PLANT_MATERIAL	Bei der ersten abgebildeten Pflanze: abnehmen; dann übertragen; dann ablaufen lassen; dann eintragen + abnehmen; dann Pflanzenstoff in den Ansatz geben; dann eintragen. Angaben: bereit · Arbeitsgang · Ansatz | von dort | Arbeitsfach | vorgeschriebenes Maß. Bei der ersten abgebildeten Pflanze: Pflanzenstoff in den Ansatz geben; dann abnehmen. Angaben: fortsetzen | bereit · dieser Posten.
H2	f10r	zweiter Pflanzenabsatz	3	PLANT_MATERIAL	Bereite den Pflanzenstoff oder Ansatz vor. Vollfolge: abziehen. Bereite den Pflanzenstoff oder Ansatz vor. Vollfolge: abziehen. Bei der ersten abgebildeten Pflanze: zugeben; dann zugeben; dann abziehen. Angaben: Ansatz | Ansatz | dieser Posten | dieser Posten.
H3	f11r	Blütenpflanzenfolge	4	BASIN_LIQUID	Bei der abgebildeten Blütenpflanze: eintragen + halten; dann an Ort halten; dann auswringen; dann ziehen lassen; dann hineingeben; dann ziehen lassen; dann abschließend eintragen + abziehen. Bei der abgebildeten Blütenpflanze: halten + eintragen. Fülle eine abgemessene Portion der Beckenflüssigkeit ein. Vollfolge: zugeben. Fülle eine abgemessene Portion der Beckenflüssigkeit ein. Vollfolge: weiter beschicken.
H4	f55v	breitblättrige Pflanzenfolge	4	PLANT_MATERIAL	Beschicke bis zum Sollmaß mit eine abgemessene Portion des Pflanzenstoffs und schließe den Schritt. Vollfolge: bis zum Sollmaß beschicken → dosiert zugeben → zugeben. Bei der abgebildeten breitblättrigen Pflanze: abmessen und umsetzen; dann verwahren. Angaben: vorgeschriebenes Maß. Bei der abgebildeten breitblättrigen Pflanze: dosiert zugeben; dann entnehmen; dann temperieren. Angaben: fortsetzen; Schritt schließen. Bei der abgebildeten breitblättrigen Pflanze: anlegen; dann eintragen. Angaben: vorgeschriebenes Maß | Ansatz | dieser Posten | Ansatz · Portion.
H5	f56r	mehrköpfige Pflanzenfolge	6	PLANT_MATERIAL	Bei der abgebildeten mehrköpfigen Pflanze: abziehen; dann zuführen; dann abziehen; dann Pflanzenstoff in den Ansatz geben. Angaben: Gabe | Gabe · bezeichnete Stelle · dieser Posten | vorgeschriebenes Maß | Gabe | bezeichnete Stelle. Bei der abgebildeten mehrköpfigen Pflanze: anlegen; dann ablaufen lassen. Angaben: fortsetzen | Gabe · dieser Posten. Bei der abgebildeten mehrköpfigen Pflanze: ziehen lassen; dann zugeben; dann einsetzen + einsetzen. Angaben: Gabe. Bei der abgebildeten mehrköpfigen Pflanze: Pflanzenstoff in den Ansatz geben; dann ansetzen + abziehen; dann zuführen. Bei der abgebildeten mehrköpfigen Pflanze: ansetzen; dann zugeben. Angaben: Gabe | danach · Arbeitsgang · Portion. Fülle eine abgemessene Portion des Pflanzenstoffs ein. Vollfolge: zugeben.
B1	f81v	gemeinsames Becken	21	BASIN_LIQUID	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen. Bei dem gemeinsamen Becken: bis zum Sollmaß beschicken; dann einspeisen; dann anlegen; dann dosiert zugeben; dann dosiert zugeben; dann abkühlen lassen; dann führen; dann zurückhalten; dann anlegen; dann durchleiten. Angaben: von dort | fortsetzen | bezeichnete Stelle | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | vorgeschriebenes Maß | Durchlass · dieser Posten. Bei dem gemeinsamen Becken: halten + zugeben + überführen. Angaben: fortsetzen. Führe die Bad- oder Beckenflüssigkeit weiter, fange sie oder ihn auf, lass absetzen und schließe den Schritt. Vollfolge: umschöpfen → absetzen lassen. Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: in die nächste Station weitergeben. Bei dem gemeinsamen Becken: eine abgemessene Portion der Beckenflüssigkeit einfüllen; dann durchleiten; dann abkühlen lassen. Angaben: Durchlass · dieser Posten. Fülle eine abgemessene Portion der Beckenflüssigkeit ein, führe sie weiter und schließe den Schritt. Vollfolge: einsetzen + überführen. Lass die Bad- oder Beckenflüssigkeit einwirken, dann absetzen, und schließe den Schritt. Vollfolge: warm halten → absetzen lassen. Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen. Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen. Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station. Vollfolge: einleiten. Bei dem gemeinsamen Becken: waschen; dann wirken lassen; dann durchwaschen. Bei dem gemeinsamen Becken: durchwaschen. Bei dem gemeinsamen Becken: umschöpfen; dann auffangen; dann hinleiten + umfüllen. Angaben: fortsetzen | danach · von dort. Übernimm die Bad- oder Beckenflüssigkeit, gib eine abgemessene Portion der Beckenflüssigkeit zu, führe weiter und schließe den Schritt. Vollfolge: übertragen → einsetzen + überführen. Bei dem gemeinsamen Becken: anlegen; dann wirken lassen; dann absetzen lassen. Angaben: fortsetzen. Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: umfüllen. Bei dem gemeinsamen Becken: führen; dann stehen lassen; dann auffangen und stehen lassen. Angaben: Arbeitsgang · Sollstufe. Lass die Bad- oder Beckenflüssigkeit ruhen und sich absetzen; schließe danach den Schritt. Vollfolge: absetzen lassen. Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt. Vollfolge: warm halten → zurückhalten. Bei dem gemeinsamen Becken: die gelernte Zustands- und Adressfolge setzen. Angaben: bezeichnete Stelle.
B2	f82r	Becken- und Randstationen	22	BASIN_LIQUID|HAND_DEVICE_LIQUID|TECHNICAL_STATION_LIQUID|UNCLEAR_WORK_PORTION	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: in die nächste Station weitergeben. Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: in die nächste Station weitergeben. Fülle eine abgemessene Portion der Beckenflüssigkeit ein, lass sie einwirken und schließe den Schritt. Vollfolge: eine abgemessene Portion der Beckenflüssigkeit einfüllen → einwirken lassen. Bei dem oberen Beckenpaar: anlegen; dann durchleiten; dann führen + umsetzen; dann wirken lassen; dann durchleiten. Bei dem oberen Beckenpaar: anlegen; dann bis zum Maß auffangen; dann einleiten; dann einleiten; dann warm halten; dann abführen. Angaben: Durchlass · dieser Posten | Arbeitsgang · bereit · kurz · fortsetzen. Bei dem oberen Beckenpaar: anlegen; dann zurückhalten; dann die Bad- oder Beckenflüssigkeit einsetzen. Angaben: danach · länger · dieser Posten. Lass die Arbeitsflüssigkeit im Handgerät ruhen und sich absetzen; schließe danach den Schritt. Vollfolge: ruhen lassen. Beschicke mit eine abgemessene Portion der Arbeitsflüssigkeit, lass den Inhalt absetzen und schließe den Schritt. Vollfolge: aus der bezeichneten Quelle beschicken → absetzen lassen. Lass die Arbeitsflüssigkeit im Handgerät ruhen und sich absetzen; schließe danach den Schritt. Vollfolge: ruhen lassen. Bei dem mittleren Handgerät: wirken lassen; dann die Arbeitsflüssigkeit im Handgerät einsetzen; dann stehen lassen. Angaben: weiter. Fülle eine abgemessene Arbeitsportion ein, lass sie einwirken und schließe den Schritt. Vollfolge: eine abgemessene Arbeitsportion einfüllen → eine abgemessene Arbeitsportion einfüllen → einwirken lassen. Bei der mittleren rechten Station: führen + abnehmen; dann stehen lassen; dann wirken lassen; dann führen; dann vollständig beschicken und abschließen. Angaben: bereit · kurz · dieser Posten | vorgeschriebenes Maß | dieser Posten. Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: abführen + überführen. Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station. Vollfolge: ableiten. Lass die Flüssigkeit dieser Station einwirken oder stehen; schließe danach den Schritt. Vollfolge: stehen lassen → einwirken lassen. Bei den kleinen Randstationen: ableiten + umfüllen; dann abnehmen + abteilen; dann bis zum Sollmaß beschicken; dann wirken lassen; dann einfüllen + überführen. Angaben: bezeichnete Stelle | vorgeschriebenes Maß | danach · länger · dieser Posten. Temperiere die Flüssigkeit dieser Station, lass ruhen oder absetzen und schließe den Schritt. Vollfolge: abkühlen lassen + ruhen lassen. Lass die Flüssigkeit dieser Station einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen. Temperiere die Flüssigkeit dieser Station, lass ruhen oder absetzen und schließe den Schritt. Vollfolge: auskühlen lassen + absetzen lassen. Schließe den laufenden Arbeitsschritt für die Flüssigkeit dieser Station. Vollfolge: NO_EXPLICIT_ACTION_CARD. Lass die Flüssigkeit dieser Station einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen. Führe die Flüssigkeit dieser Station zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: abführen + überführen.
B3	f83r	Gefäß- und Figurenstationen	34	FIGURE_APPLICATION|SEPARATE_PORTION|TECHNICAL_STATION_LIQUID|VESSEL_PREPARATION	Bei der oberen Fächerstation: auffangen und stehen lassen. Bei der oberen Fächerstation: anwärmen. Angaben: danach · bezeichnete Stelle. Bei der oberen Fächerstation: abführen + abmessen und umsetzen. Angaben: dieser Posten | vorgeschriebenes Maß | dieser Posten. Fülle eine abgemessene Portion der Stationsflüssigkeit ein. Vollfolge: bis zum Sollmaß beschicken. Führe den Ansatz im Gefäß zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: umfüllen. Bei dem runden Gefäß: umschöpfen; dann anlegen; dann in die nächste Station weitergeben. Bei dem runden Gefäß: bis zum Sollmaß beschicken; dann umschöpfen; dann einwirken lassen. Führe den Ansatz im Gefäß zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: abführen + überführen. Fülle eine abgemessene Portion des Ansatzes ein. Vollfolge: den Ansatz im Gefäß einsetzen. Fülle eine abgemessene Portion des Ansatzes ein, führe sie weiter und schließe den Schritt. Vollfolge: einfüllen + umfüllen. Bei dem korbartigen Gefäß: halten + umsetzen; dann den Ansatz im Gefäß einsetzen; dann umschöpfen. Angaben: von dort · dieser Posten. Lass den Ansatz im Gefäß ruhen und sich absetzen; schließe danach den Schritt. Vollfolge: absetzen lassen. Fülle eine abgemessene Portion des Ansatzes ein, lass sie einwirken und schließe den Schritt. Vollfolge: bis zum Sollmaß beschicken → dosiert zugeben → einwirken lassen. Führe den Ansatz im Gefäß weiter, fange sie oder ihn auf, lass absetzen und schließe den Schritt. Vollfolge: einleiten → ruhen lassen. Führe den Ansatz im Gefäß zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: abführen + überführen. Übernimm den Ansatz im Gefäß, gib eine abgemessene Portion des Ansatzes zu, führe weiter und schließe den Schritt. Vollfolge: führen → einsetzen + überführen. Lass die getrennt geführte Portion einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen. Lass die getrennt geführte Portion ruhen und sich absetzen; schließe danach den Schritt. Vollfolge: absetzen lassen. Lass die getrennt geführte Portion einwirken, dann absetzen, und schließe den Schritt. Vollfolge: einwirken lassen + ruhen lassen. Führe die getrennt geführte Portion zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: hinleiten + umfüllen. Bei dem getrennten Zwischenbereich: bis zum Sollmaß beschicken; dann ablagern; dann stehen lassen; dann umfüllen. Angaben: bereit · dieser Posten | bezeichnete Stelle | dieser Posten | vorgeschriebenes Maß | dieser Posten | bezeichnete Stelle | bereit · dieser Posten. Führe die getrennt geführte Portion zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: in die nächste Station weitergeben. Führe die getrennt geführte Portion zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: abführen + überführen. Führe die getrennt geführte Portion zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: in die nächste Station weitergeben. Fülle eine weitere abgemessene Portion ein, führe sie weiter und schließe den Schritt. Vollfolge: einsetzen + überführen. Bei dem getrennten Zwischenbereich: ableiten; dann umschöpfen; dann eine weitere abgemessene Portion einfüllen; dann abkühlen lassen; dann auffangen und stehen lassen. Angaben: länger · von dort | bereit · dieser Posten. Schließe den laufenden Arbeitsschritt für die Anwendung am Figurenpaar. Vollfolge: NO_EXPLICIT_ACTION_CARD. Lass die Anwendung am Figurenpaar einwirken oder stehen; schließe danach den Schritt. Vollfolge: wirken lassen → einwirken lassen. Fülle eine abgemessene Portion für die Anwendung ein, lass sie einwirken und schließe den Schritt. Vollfolge: eintragen → einwirken lassen. Fülle eine abgemessene Portion für die Anwendung ein, führe sie weiter und schließe den Schritt. Vollfolge: die Anwendung am Figurenpaar einsetzen → durchleiten → in die nächste Station weitergeben. Lass die Anwendung am Figurenpaar einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen. Beschicke bis zum Sollmaß mit eine abgemessene Portion für die Anwendung und schließe den Schritt. Vollfolge: abmessen und umsetzen → abmessen und umsetzen. Führe die Anwendung am Figurenpaar zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: abführen. Beschicke mit eine abgemessene Portion für die Anwendung, lass den Inhalt absetzen und schließe den Schritt. Vollfolge: eintragen → ablagern.
B4	f83r	Paar- und Hauptstationen	16	FIGURE_APPLICATION|TECHNICAL_STATION_LIQUID	Lass die Anwendung am Figurenpaar einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen. Lass die Anwendung am Figurenpaar einwirken oder stehen; schließe danach den Schritt. Vollfolge: wirken lassen → einwirken lassen. Bei dem Figurenpaar in B4: umschöpfen; dann anlegen; dann die Anwendung am Figurenpaar einsetzen; dann absetzen lassen. Angaben: danach · bezeichnete Stelle | danach · dieser Posten | fortsetzen. Bei dem Figurenpaar in B4: einsetzen + festbinden. Fülle eine abgemessene Portion für die Anwendung ein, lass sie einwirken und schließe den Schritt. Vollfolge: abmessen und umsetzen → einwirken lassen. Lass die Anwendung am Figurenpaar einwirken oder stehen; schließe danach den Schritt. Vollfolge: zurückhalten. Lass die Anwendung am Figurenpaar einwirken oder stehen; schließe danach den Schritt. Vollfolge: zurückhalten. Lass die Anwendung am Figurenpaar einwirken oder stehen; schließe danach den Schritt. Vollfolge: warm halten → einwirken lassen → einwirken lassen. Lass die Anwendung am Figurenpaar ruhen und sich absetzen; schließe danach den Schritt. Vollfolge: absetzen lassen. Schließe den laufenden Arbeitsschritt für die Anwendung am Figurenpaar. Vollfolge: NO_EXPLICIT_ACTION_CARD. Bei der linken Hauptstation: warm halten; dann wirken lassen; dann eine abgemessene Portion der Stationsflüssigkeit einfüllen; dann umschöpfen; dann abführen + zugeben. Angaben: vorgeschriebenes Maß | fortsetzen. Führe die Flüssigkeit dieser Station zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: abführen + überführen. Beschicke mit eine abgemessene Portion der Stationsflüssigkeit, lass den Inhalt absetzen und schließe den Schritt. Vollfolge: weiter beschicken → absetzen lassen. Schließe den laufenden Arbeitsschritt für die Flüssigkeit dieser Station. Vollfolge: NO_EXPLICIT_ACTION_CARD. Bei der linken Hauptstation: eine abgemessene Portion der Stationsflüssigkeit einfüllen; dann stehen lassen; dann dosiert zugeben; dann ablaufen lassen; dann auffangen; dann abführen + überführen. Bei der rechten S-Station: dosiert zugeben; dann zuführen; dann absetzen lassen. Angaben: bezeichnete Stelle.
B5	f83r	linker Nachtrag	3	TECHNICAL_STATION_LIQUID	Führe die Flüssigkeit dieser Station zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: in die nächste Station weitergeben. Fülle eine abgemessene Portion der Stationsflüssigkeit ein, führe sie weiter und schließe den Schritt. Vollfolge: einsetzen + überführen. Bei der linken Nachtragsstation: ablagern; dann hinleiten; dann umfüllen; dann abmessen und umsetzen. Angaben: bezeichnete Stelle | fortsetzen | vorgeschriebenes Maß | fortsetzen | zweite · Sollstufe.
