statement_id	page	record	motif_id	motif_role	start_position	end_position	statement_events	position_class	left_card	left_surface	left_reading_de	motif_cards	motif_surface	motif_reading_de	right_card	right_surface	right_reading_de	attachment_signature
H1-S001	f10r	H1	M02_SET_ITEM_MEASURE	OPEN_MEASURE_SETUP	8	9	10	MEDIAL	PROC007	otytchol	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	PROC008|PROC009	oky daiin	POSTEN ANSETZEN, DANN SOLLMASS	PROC010	etyd	KURZ · EINTRAGEN · ARBEITSPOSTEN	PROC007>M02_SET_ITEM_MEASURE>PROC010
H2-S001	f10r	H2	M01_ITEM_MEASURE_FRAME	MOBILE_MEASURE_FRAME	7	9	9	CLOSE	PROC019	dy	ARBEITSPOSTEN	PROC019|PROC009|PROC019	chy taiin shy	LAUFENDER POSTEN IM SOLLMASS-RAHMEN	EOF	EOF	AUSSAGEENDE	PROC019>M01_ITEM_MEASURE_FRAME>EOF
H2-S002	f10r	H2	M06_FEED_CONTINUATION	CONTINUATION_FEEDER	5	6	8	MEDIAL	PROC013	chol	FORTSETZEN	PROC022|PROC013	cholor chol	VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN	PROC009	daiin	SOLLMASS	PROC013>M06_FEED_CONTINUATION>PROC009
H2-S003	f10r	H2	M03_PREPARATION_ITEM	OPEN_PREPARATION_BINDER	3	4	7	MEDIAL	PROC016	shor	ANSATZ	PROC016|PROC019	chor chy	ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN	PROC024	kaiiin	ZUDOSIEREN · ARBEITSSTUFE	PROC016>M03_PREPARATION_ITEM>PROC024
H3-S003	f11r	H3	M01_ITEM_MEASURE_FRAME	MOBILE_MEASURE_FRAME	4	5	5	CLOSE	PROC035	kchy	ZUDOSIEREN · ARBEITSPOSTEN	PROC019|PROC009	dy daiin	LAUFENDER POSTEN IM SOLLMASS-RAHMEN	EOF	EOF	AUSSAGEENDE	PROC035>M01_ITEM_MEASURE_FRAME>EOF
H4-S004	f55v	H4	M03_PREPARATION_ITEM	OPEN_PREPARATION_BINDER	4	5	6	MEDIAL	PROC049	oltchy	FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN	PROC016|PROC019	or y	ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN	PROC050	orain	ANSATZ · PORTION	PROC049>M03_PREPARATION_ITEM>PROC050
B1-S002	f81v	B1	M08_PORTION_TARGET	OPEN_TARGET_BINDER	7	8	19	MEDIAL	PROC069	kain	ZUDOSIEREN · PORTION	PROC070|PROC055	olkain al	PORTION ZUDOSIEREN UND AN DIE ZIELSTELLE GEBEN	PROC013	ol	FORTSETZEN	PROC069>M08_PORTION_TARGET>PROC013
B1-S002	f81v	B1	M06_FEED_CONTINUATION	CONTINUATION_FEEDER	12	13	19	MEDIAL	PROC072	dl	WEITERLEITEN	PROC022|PROC013	olor ol	VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN	PROC073	sheckhal	HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE	PROC072>M06_FEED_CONTINUATION>PROC073
B1-S004	f81v	B1	M06_FEED_CONTINUATION	CONTINUATION_FEEDER	1	2	3	ENTRY	BOF	BOF	AUSSAGEANFANG	PROC042|PROC013	chedy ol	VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN	PROC078	shedy	ABSETZEN; SCHLUSS	BOF>M06_FEED_CONTINUATION>PROC078
B1-S008	f81v	B1	M04_CONTINUE_CLOSE	CLOSING_TAIL	4	5	5	CLOSE	PROC083	cheky	WAERMEN · KURZ · ARBEITSPOSTEN	PROC013|PROC078	ol shedy	FORTSETZEN, ABSETZEN UND SCHLIESSEN	EOF	EOF	AUSSAGEENDE	PROC083>M04_CONTINUE_CLOSE>EOF
B1-S016	f81v	B1	M04_CONTINUE_CLOSE	CLOSING_TAIL	3	4	4	CLOSE	PROC092	okeey	ANSETZEN · LANG · ARBEITSPOSTEN	PROC013|PROC078	qol cheedy	FORTSETZEN, ABSETZEN UND SCHLIESSEN	EOF	EOF	AUSSAGEENDE	PROC092>M04_CONTINUE_CLOSE>EOF
B2-S010	f82r	B2	M09_LONG_SET_BRANCH	MOBILE_BRANCH_CAPSULE	1	2	4	ENTRY	BOF	BOF	AUSSAGEANFANG	PROC092|PROC008	qokeey qoky	NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN	PROC115	ls	FORTSETZEN	BOF>M09_LONG_SET_BRANCH>PROC115
B2-S012	f82r	B2	M01_ITEM_MEASURE_FRAME	MOBILE_MEASURE_FRAME	6	7	8	MEDIAL	PROC118	lcheey	WEITERLEITEN · LANG · ARBEITSPOSTEN	PROC009|PROC019	daiin chey	LAUFENDER POSTEN IM SOLLMASS-RAHMEN	PROC119	qokeeedy	ANSETZEN · VOLL; SCHLUSS	PROC118>M01_ITEM_MEASURE_FRAME>PROC119
