statement_id	page	record	surface_sequence	motif_instances	attachment_plan	minimal_source_reading_de	source_order_unchanged
H1-S001	f10r	H1	dchey cthoor char chty os chair otytchol oky daiin etyd	1	M02_SET_ITEM_MEASURE@8-9:MEDIAL:OPEN_MEASURE_SETUP	ABNEHMEN · KURZ · ARBEITSPOSTEN / BEREIT · ARBEITSGANG · ANSATZ / VORRAT / EINTRAGEN · ARBEITSPOSTEN / ARBEITSFACH / ABNEHMEN · FLUESSIGKEITSLAUF / DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN / [POSTEN ANSETZEN, DANN SOLLMASS] / KURZ · EINTRAGEN · ARBEITSPOSTEN	YES
H2-S001	f10r	H2	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	1	M01_ITEM_MEASURE_FRAME@7-9:CLOSE:MOBILE_MEASURE_FRAME	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ / BEREIT · ARBEITSPOSTEN / ANSATZ / BEREIT · SOLLMASS / ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN / ARBEITSPOSTEN / [LAUFENDER POSTEN IM SOLLMASS-RAHMEN]	YES
H2-S002	f10r	H2	qotchor chor otol chol cholor chol daiin dar	1	M06_FEED_CONTINUATION@5-6:MEDIAL:CONTINUATION_FEEDER	DANACH · ABNEHMEN · ANSATZ / ANSATZ / DANACH · FORTSETZEN / FORTSETZEN / [VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN] / SOLLMASS / VORRAT	YES
H2-S003	f10r	H2	oykchor shor chor chy kaiiin dy chodaiin	1	M03_PREPARATION_ITEM@3-4:MEDIAL:OPEN_PREPARATION_BINDER	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ / ANSATZ / [ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN] / ZUDOSIEREN · ARBEITSSTUFE / ARBEITSPOSTEN / ABNEHMEN · ARBEITSGANG · SOLLMASS	YES
H3-S003	f11r	H3	dchol chy kchy dy daiin	1	M01_ITEM_MEASURE_FRAME@4-5:CLOSE:MOBILE_MEASURE_FRAME	WIEDERAUFNEHMEN / ARBEITSPOSTEN / ZUDOSIEREN · ARBEITSPOSTEN / [LAUFENDER POSTEN IM SOLLMASS-RAHMEN]	YES
H4-S004	f55v	H4	aiin okal oltchy or y orain	1	M03_PREPARATION_ITEM@4-5:MEDIAL:OPEN_PREPARATION_BINDER	SOLLMASS / ANSETZEN · ZIELSTELLE / FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN / [ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN] / ANSATZ · PORTION	YES
B1-S002	f81v	B1	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	2	M08_PORTION_TARGET@7-8:MEDIAL:OPEN_TARGET_BINDER || M06_FEED_CONTINUATION@12-13:MEDIAL:CONTINUATION_FEEDER	ANSETZEN · SOLLMASS / ZUDOSIEREN · FLUESSIGKEITSLAUF / ANSETZEN · ZIELSTELLE / VORRAT / FORTSETZEN / ZUDOSIEREN · PORTION / [PORTION ZUDOSIEREN UND AN DIE ZIELSTELLE GEBEN] / FORTSETZEN / KUEHLEN · FORTSETZEN / WEITERLEITEN / [VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN] / HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE / SOLLMASS / ANSETZEN · LANG · ZIELSTELLE / SOLLMASS / DURCHLASSKANAL · ARBEITSPOSTEN / UMSETZEN; SCHLUSS	YES
B1-S004	f81v	B1	chedy ol shedy	1	M06_FEED_CONTINUATION@1-2:ENTRY:CONTINUATION_FEEDER	[VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN] / ABSETZEN; SCHLUSS	YES
B1-S008	f81v	B1	chey ol cheky ol shedy	1	M04_CONTINUE_CLOSE@4-5:CLOSE:CLOSING_TAIL	ARBEITSPOSTEN / FORTSETZEN / WAERMEN · KURZ · ARBEITSPOSTEN / [FORTSETZEN, ABSETZEN UND SCHLIESSEN]	YES
B1-S016	f81v	B1	qokal okeey qol cheedy	1	M04_CONTINUE_CLOSE@3-4:CLOSE:CLOSING_TAIL	ANSETZEN · ZIELSTELLE / ANSETZEN · LANG · ARBEITSPOSTEN / [FORTSETZEN, ABSETZEN UND SCHLIESSEN]	YES
B2-S010	f82r	B2	qokeey qoky ls cheey	1	M09_LONG_SET_BRANCH@1-2:ENTRY:MOBILE_BRANCH_CAPSULE	[NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN] / FORTSETZEN / HALTEN · LANG · ARBEITSPOSTEN	YES
B2-S012	f82r	B2	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	1	M01_ITEM_MEASURE_FRAME@6-7:MEDIAL:MOBILE_MEASURE_FRAME	WEITERLEITEN · ABNEHMEN · ARBEITSPOSTEN / HALTEN · LANG · ARBEITSPOSTEN / BEREIT · KURZ · ARBEITSPOSTEN / ANSETZEN · LANG · ARBEITSPOSTEN / WEITERLEITEN · LANG · ARBEITSPOSTEN / [LAUFENDER POSTEN IM SOLLMASS-RAHMEN] / ANSETZEN · VOLL; SCHLUSS	YES
B3-S003	f83r	B3	chey daiin chey lchedy	1	M01_ITEM_MEASURE_FRAME@1-3:ENTRY:MOBILE_MEASURE_FRAME	[LAUFENDER POSTEN IM SOLLMASS-RAHMEN] / WEITERLEITEN · UMSETZEN; SCHLUSS	YES
B3-S007	f83r	B3	qokaiin chedy qokeedy	1	M07_TRANSFER_LONG_CLOSE@2-3:CLOSE:CLOSING_TAIL	ANSETZEN · SOLLMASS / [POSTEN UMSETZEN UND LANG ANSETZEN; SCHLUSS]	YES
B3-S021	f83r	B3	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	1	M01_ITEM_MEASURE_FRAME@4-5:MEDIAL:MOBILE_MEASURE_FRAME	ANSETZEN · SOLLMASS / BEREIT · ARBEITSPOSTEN / ZIELSTELLE / [LAUFENDER POSTEN IM SOLLMASS-RAHMEN] / ABSETZEN · ZIELSTELLE / HALTEN · KURZ · BEREIT · ARBEITSPOSTEN / ARBEITSPOSTEN / ZIELSTELLE / BEREIT · ARBEITSPOSTEN / ZIELSTELLE · UMSETZEN; SCHLUSS	YES
B3-S028	f83r	B3	qokeey qokedy	1	M09_LONG_SET_BRANCH@1-2:WHOLE_STATEMENT:MOBILE_BRANCH_CAPSULE	[NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN]	YES
