statement_id	record_unit_id	page	loci	event_count	surface_sequence	architecture_sequence	card_reading_sequence_de	fluent_workshop_sentence_de	lesson_level	promoted_carrier_cards	promoted_carrier_rule_ids
H1-S001	H1	f10r	f10r.2	10	dchey cthoor char chty os chair otytchol oky daiin etyd	W P P P W P P P P P	Wurzel -> Ansatz bereit -> daraus -> Teil abtrennen -> Gefaess -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> Posten ansetzen -> Sollmaß -> kleiner Restteil	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil.	L2_CODEBOOK	otytchol	NONE
H1-S002	H1	f10r	f10r.5	4	qokchy qotchol chol cthy	P P P P	Posten ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	Setze den Posten an, fuehre ihn danach weiter und halte ihn bereit.	L1_FULLY_COMPOSED	NONE	NONE
H2-S001	H2	f10r	f10r.6	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	P P P P P P P P P	Auszugsansatz -> bereit -> Ansatz -> Fertigmaß -> bereiten Posten weiterfuehren -> dieser Posten -> dieser Posten -> Sollmaß -> dieser Posten	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Fertigmass, fuehre den bereiten Posten weiter und stelle sein Sollmass ein.	L1_FULLY_COMPOSED	NONE	NONE
H2-S002	H2	f10r	f10r.8	8	qotchor chor otol chol cholor chol daiin dar	P P P P P P P P	Folgeansatz -> Ansatz -> danach fortsetzen -> fortsetzen -> Fortsetzungsansatz -> fortsetzen -> Sollmaß -> daraus	Führe den bemessenen Pflanzenansatz als Folgeansatz samt seinem Fortsetzungsposten weiter und nimm daraus das Sollmaß	L1_FULLY_COMPOSED	NONE	NONE
H2-S003	H2	f10r	f10r.9	7	oykchor shor chor chy kaiiin dy chodaiin	W P P P P P P	Gefaess -> Ansatz -> Ansatz -> dieser Posten -> Weichstufe -> dieser Posten -> Zutatenmaß	Gib den weitergefuehrten Folgeansatz in das Gefaess, bearbeite diesen Posten bis zur Weichstufe und stelle das Zutatenmass ein.	L2_CODEBOOK	NONE	NONE
H3-S001	H3	f11r	f11r.1	7	tshol schoal cfhy shfydaiin cphy shey tchody	P P W P W W W	Zutat entnehmen -> Zutat dorthin -> auswringen -> Standmaß -> nachseihen -> Klarlauf -> kalt stellen	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmass stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.	L2_CODEBOOK	tshol	C01_LOCAL_FRAME
H3-S002	H3	f11r	f11r.1	1	shoyty	P	Zutatenteil	Lege einen Zutatenteil zurueck.	L1_FULLY_COMPOSED	NONE	NONE
H3-S003	H3	f11r	f11r.4	5	dchol chy kchy dy daiin	W P P P P	Voriges -> dieser Posten -> diesen Posten bearbeiten -> dieser Posten -> Sollmaß	Nimm den Vorposten, bearbeite diesen Posten und stelle sein Sollmass ein.	L2_CODEBOOK	NONE	NONE
H3-S004	H3	f11r	f11r.7	4	qotchy okchol cthy dy	P P P P	Folgeposten -> Fortsetzung einsetzen -> bereit -> dieser Posten	Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit	L1_FULLY_COMPOSED	NONE	NONE
H4-S001	H4	f55v	f55v.5	5	qokaiin chaiin ykain ykan ody	P P P P W	auf Sollmaß einstellen -> Sollmaß -> Postenportion -> dieser Anteil -> kühlen	Stelle das Sollmaß ein, nimm eine Postenportion und kühle diesen Anteil ab	L2_CODEBOOK	NONE	NONE
