page	locus	line_mode	v61_reader_mode	token_count	action_positions	v60_verb_occurrences	v61_verb_occurrences	v60_exact_span_verbs	v60_one_candidate_without_span	v60_multiple_candidates_without_span	v60_zero_candidate_verbs	v60_extra_lemmas	v61_extra_lemmas	v61_changed	v61_status
f102v2	f102v2.3	QUANTITY_LABEL	MENGEN_UND_ZUSTANDSLISTE	1	0	0	0	0	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f104v	f104v.2	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	10	3	5	5	5	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f105r	f105r.2	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	13	2	2	2	2	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f105r	f105r.31	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	13	1	2	2	2	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f105v	f105v.1	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	9	2	2	2	2	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f105v	f105v.14	ACTION_SEQUENCE	ARBEITSGANG	10	3	4	4	4	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f106r	f106r.23	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	10	1	1	1	1	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f107r	f107r.2	ACTION_SEQUENCE	ARBEITSGANG	13	4	5	5	5	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f107r	f107r.40	NOMINAL_REGISTER	ZUSTANDSLISTE	10	0	0	0	0	0	0	0	NONE	NONE	1	ALL_VERBS_EXACT_ACTION_ORDINAL
f10r	f10r.2	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	10	1	1	1	1	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f112r	f112r.36	QUANTITY_LABEL	MENGEN_UND_ZUSTANDSLISTE	6	0	0	0	0	0	0	0	NONE	NONE	1	ALL_VERBS_EXACT_ACTION_ORDINAL
f112v	f112v.10	QUANTITY_LABEL	MENGEN_UND_ZUSTANDSLISTE	4	0	0	0	0	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f113v	f113v.12	QUANTITY_LABEL	MENGEN_UND_ZUSTANDSLISTE	5	0	0	0	0	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f113v	f113v.17	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	7	1	1	1	1	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f113v	f113v.3	QUANTITY_LABEL	MENGEN_UND_ZUSTANDSLISTE	7	0	0	0	0	0	0	0	NONE	NONE	1	ALL_VERBS_EXACT_ACTION_ORDINAL
f114r	f114r.24	NOMINAL_REGISTER	ZUSTANDSLISTE	13	0	0	0	0	0	0	0	NONE	NONE	1	ALL_VERBS_EXACT_ACTION_ORDINAL
f114r	f114r.26	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	10	1	1	1	1	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f114v	f114v.36	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	11	2	3	2	0	0	1	2	abschließen|verbinden	NONE	1	ALL_VERBS_EXACT_ACTION_ORDINAL
f115r	f115r.1	ACTION_SEQUENCE	ARBEITSGANG	11	3	3	3	3	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f115r	f115r.23	ACTION_SEQUENCE	ARBEITSGANG	13	3	6	6	6	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f116r	f116r.12	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	12	2	2	2	2	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f23r	f23r.6	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	12	3	3	3	3	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f24v	f24v.15	ACTION_SEQUENCE	ARBEITSGANG	4	1	1	1	1	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f26r	f26r.2	ACTION_SEQUENCE	ARBEITSGANG	9	3	4	4	4	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f27r	f27r.9	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	7	1	1	1	1	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f30r	f30r.9	ACTION_SEQUENCE	ARBEITSGANG	7	4	4	4	4	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f49r	f49r.16	ACTION_SEQUENCE	ARBEITSGANG	4	2	4	4	4	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f56r	f56r.6	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	6	1	1	1	1	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
