page	locus	line_mode	v61_reader_mode	token_count	action_ordinals	action_surfaces	v60_practical_translation_de	v61_practical_translation_de	v60_verb_occurrences	v61_verb_occurrences	v60_extra_lemmas	v61_extra_lemmas	revision_reason
f107r	f107r.40	NOMINAL_REGISTER	ZUSTANDSLISTE	10	NONE	NONE	Holzstoff, heiß auf Stufe III · trocken, Mittelstufe · heiß, Grad III · Rohstoffklasse I, trocken, Anfangsstufe · Menge III · heiß, Grad III, im Ansatz · erste erhitzte Drogenfraktion im Ansatz · zweite kalte Drogenfraktion im Ansatz · Rohstoffklasse I im heißen Anfangsansatz · Rohstoffklasse I im heißen Anfangsansatz.	Holzstoff, heiß auf Stufe III; trocken in der Mitte des Grades; heiß, Grad III; Rohstoffklasse I, trocken am Gradanfang; Menge III; heiß, Grad III, im Ansatzrahmen; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; zweite kalte Drogenfraktion im Ansatz; Rohstoffklasse I im Ansatz, heiß am Gradanfang; Rohstoffklasse I im Ansatz, heiß am Gradanfang.	0	0	NONE	NONE	NORMALIZE_RENDERER_SPAN_PROVENANCE
f112r	f112r.36	QUANTITY_LABEL	MENGEN_UND_ZUSTANDSLISTE	6	NONE	NONE	Für Saatgut der Charge II: Grundansatz; trockenes Arzneikompositum auf Anfangsstufe; Holzdrogenansatz auf Trockenstufe II; heißer Ansatz auf Endstufe. Schlussmenge: ein Maß Ansatzmaterial.	Saatgut, Typ/Charge II; Grundansatz; trockenes Arzneikompositum am Gradanfang; Holzdrogenansatz, trocken auf Stufe II; heißer Ansatz am Ende des Grades; ein Maß Ansatz-/Drogenmaterial; Holzbindung offen.	0	0	NONE	NONE	NORMALIZE_RENDERER_SPAN_PROVENANCE
f113v	f113v.3	QUANTITY_LABEL	MENGEN_UND_ZUSTANDSLISTE	7	NONE	NONE	Samenfraktion I, Menge III; erste Fraktion des abgekühlten Trockenansatzes; erste abgemessene Fraktion des vollständig erhitzten Ansatzes; Heizgrad II; Holzdrogen-Grundansatz; ein Maß Ansatzmaterial.	Samenfraktion I; Menge III; erste Fraktion des abgekühlten Trockenansatzes; erste abgemessene Fraktion des vollständig erhitzten Ansatzes; heiß, Grad II; Holzdrogen-Grundansatz; ein Maß Ansatz-/Drogenmaterial; Holzbindung offen.	0	0	NONE	NONE	NORMALIZE_RENDERER_SPAN_PROVENANCE
f114r	f114r.24	NOMINAL_REGISTER	ZUSTANDSLISTE	13	NONE	NONE	Drei Dosen bis zur Mittelstufe kalt getrockneter Droge: abgemessene Rohdroge I und Pflanzenteil; nachgetrocknetes Pulver der Form II; ein bis zur Mittelstufe getrocknetes sowie ein auf Anfangsstufe angetrocknetes Arzneikompositum; eine Charge Trockenansatz der dritten Fraktion. Dazu kalt-trockener Anfangsansatz, eine Pulverzubereitung aus Trockenansatz mit Samenfraktion II, Arzneikompositum in Grundform und die zweite abgemessene Fraktion.	Drei Dosen bis zur Mittelstufe kalt-getrocknete Droge; abgemessener Drogenrohstoff I; Pflanzen-/Reproduktionsteil; nachgetrocknetes Pulver, Form II; bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum; leicht angetrocknetes Arzneikompositum im Ansatz; eine Charge Trockenansatz; Drogenfraktion III; trocken-kalt am Gradanfang; Pulverzubereitung aus Trockenansatz; Samenfraktion II; Arzneikompositum in Grundform; abgemessene Fraktion II.	0	0	NONE	NONE	NORMALIZE_RENDERER_SPAN_PROVENANCE
f114v	f114v.36	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	11	6|7	qopchol|qopaiin	Kalt-feuchten Mittelansatz mit einer abgemessenen Rohstoffmenge I in Grundform, einem Pulveransatz und einem erhitzten Feuchtansatz verbinden. Aus dem kalt-trockenen Mittelansatz getrockneten Pulverstoff und drei Teile Pulveransatz nehmen. Mit kalter Fraktion I, Rohdroge I und heiß angesetzter Rohdroge I abschließen; ein Maß Wurzeldroge.	Kalt und feucht in der Mitte des Grades; abgemessene Rohstoffmenge I im Ansatz, Grundform; Pulveransatz; erhitzter Feuchtansatz; kalt-trockener Ansatz in der Mitte des Grades; nimm getrockneten Pulverstoff; drei Teile Pulveransatz nehmen; kalte Drogenfraktion I; Rohstoffklasse I; Rohstoffklasse I, heiß am Gradanfang; Wurzel/Wurzeldroge: Maß-/Einheitsform I.	3	2	abschließen|verbinden	NONE	REMOVE_ZERO_SOURCE_VERBS
f75r	f75r.3	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	9	4|6	qey|sheeky	Auf Heizstufe II Rohdroge I leicht trocknen. Eine Portion bis zur Mittelstufe getrocknete Droge anschließend nehmen, auf Heizstufe II bringen, vollständig einweichen, erhitzen und abschließen. Dazu Holzdroge auf Kältestufe II und eine Portion der ersten erhitzten Ansatzfraktion.	Heiß, Grad II; Rohstoffklasse I, trocken am Gradanfang; eine Portion bis zur Mittelstufe getrocknete Droge; die vorstehende Mittelstufenportion anschließend nehmen; heiß, Grad II; vollständig einweichen, erhitzen und abschließen; Holzdroge, kalt auf Stufe II; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; Drogenportion.	6	4	bringen|trocknen	NONE	REMOVE_ZERO_SOURCE_VERBS
f80r	f80r.17	ACTION_SEQUENCE	ARBEITSGANG	13	3|6|7|11|13	sheky|sheky|chetain|sheky|da	Leicht erhitzten Saatgutansatz und angefeuchtetes Arzneikompositum bis zur Mittelstufe einweichen, erhitzen und abschließen. Eingeweichten, bis Mitte erhitzten Drogenstoff mit der ersten heißen Drogenfraktion erneut bis zur Mittelstufe einweichen, erhitzen und abschließen; danach bis zur Mittelstufe trocknen und auf Kühlstufe II bringen. Grundansatz mit erster erhitzter Drogenfraktion bei Heizstufe II: bis zur Mittelstufe einweichen, erhitzen und abschließen. Von Rohstoffklasse I im heißen Anfangsansatz eine Teilmenge abmessen.	Saatgutansatz, leicht erhitzt; feuchtes Arzneikompositum am Gradanfang; bis zur Mittelstufe einweichen, erhitzen und abschließen; eingeweichter Drogenstoff, bis Mittelstufe erhitzt; heiße Drogenfraktion I; bis zur Mittelstufe einweichen, erhitzen und abschließen; bis Mittelstufe trocknen, dann auf Kühlstufe II bringen; Grundansatz; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; heiß im Zubereitungsrahmen, Grad II; bis zur Mittelstufe einweichen, erhitzen und abschließen; Rohstoffklasse I, heiß am Gradanfang; eine Teilmenge abmessen.	12	12	NONE	NONE	NORMALIZE_RENDERER_SPAN_PROVENANCE
f80v	f80v.27	NOMINAL_REGISTER	ZUSTANDSLISTE	10	NONE	NONE	Eingeweichter Pulverstoff · heiß, Grad II · erste erhitzte Drogenfraktion im Ansatz · feucht, Mittelstufe · heiß, Grad II · abgemessene Rohstoffmenge I · Holzdrogenansatz, kalt auf Stufe III · heiß, Grad II, im Zubereitungsrahmen · Rohstoffklasse I, feucht, Anfangsstufe · kalt, Anfangsstufe.	Eingeweichter Pulverstoff; heiß, Grad II; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; feucht in der Mitte des Grades; heiß, Grad II; abgemessene Rohstoffmenge I; Holzdrogenansatz, kalt auf Stufe III; heiß im Zubereitungsrahmen, Grad II; Rohstoffklasse I, feucht am Gradanfang; kalt am Anfang des Grades.	0	0	NONE	NONE	NORMALIZE_RENDERER_SPAN_PROVENANCE
f85r2	f85r2.5	NOMINAL_REGISTER	ZUSTANDSLISTE	3	NONE	NONE	Erste abgemessene Fraktion des Arzneikompositum-Ansatzes; erste erhitzte Drogenfraktion im Ansatz; Blüten- oder Frucht-Rohdroge I.	Erste abgemessene Fraktion des Arzneikompositum-Ansatzes; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; Blüten- oder Frucht-Rohdroge I.	0	0	NONE	NONE	NORMALIZE_RENDERER_SPAN_PROVENANCE
f86v6	f86v6.5	NOMINAL_REGISTER	ZUSTANDSLISTE	12	NONE	NONE	Kalte Drogenfraktion I · Holzstoff: trocken · erste erhitzte Drogenfraktion im Ansatz: drei Portionen · trockene Fraktion I · Drogenportion · kalt-feuchter Ansatz, Mittelstufe · heiße Drogenfraktion I · Trockenpulver-Ansatz, Form I · kalt angesetzte Charge, leicht angewärmt · kalte Drogenfraktion I.	Kalte Drogenfraktion I; Holzstoff; trocken; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; drei Portionen der ersten erhitzten Drogenfraktion im Ansatz; trockene Fraktion I; Drogenportion; kalt-feuchter Ansatz in der Mitte des Grades; heiße Drogenfraktion I; Trockenpulver-Ansatz, Form I; kalt angesetzte Charge, leicht angewärmt; kalte Drogenfraktion I.	0	0	NONE	NONE	NORMALIZE_RENDERER_SPAN_PROVENANCE
