page	locus	occurrence_index	char_start	char_end	matched_text	canonical_lemma	candidate_action_ordinals	candidate_action_surfaces	provenance_status
f104v	f104v.2	1	57	65	abmessen	abmessen	1	ychedaiin	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f104v	f104v.2	2	86	94	abkühlen	abkühlen	2	qoteed	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f104v	f104v.2	3	99	107	abziehen	abziehen	2	qoteed	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f104v	f104v.2	4	221	227	nehmen	nehmen	6	qokamdy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f104v	f104v.2	5	232	240	erhitzen	erhitzen	6	qokamdy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f105r	f105r.2	1	191	199	abmessen	abmessen	6	qodor	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f105r	f105r.2	2	343	351	abmessen	abmessen	11	odar	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f105r	f105r.31	1	142	150	abfüllen	abfüllen	5	aiijy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f105r	f105r.31	2	155	164	schließen	abschließen	5	aiijy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f105v	f105v.1	1	112	119	erhitze	erhitzen	4	ykaiin	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f105v	f105v.1	2	320	328	trocknen	trocknen	8	ypcheddy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f105v	f105v.14	1	99	103	nimm	nehmen	3	qokaiir	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f105v	f105v.14	2	293	301	abmessen	abmessen	8	odar	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f105v	f105v.14	3	356	364	trocknen	trocknen	10	chtchy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f105v	f105v.14	4	376	388	nachtrocknen	nachtrocknen	10	chtchy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f106r	f106r.23	1	77	88	aufbereiten	aufbereiten	2	qckhedy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f107r	f107r.2	1	45	53	trocknen	trocknen	1	dchey	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f107r	f107r.2	2	102	108	nehmen	nehmen	2	qoteos	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f107r	f107r.2	3	199	203	nimm	nehmen	6	qor	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f107r	f107r.2	4	435	441	führen	führen	12	qeeey	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f107r	f107r.2	5	446	457	abschließen	abschließen	12	qeeey	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f10r	f10r.2	1	45	53	trocknen	trocknen	1	dchey	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f113v	f113v.17	1	281	289	abkühlen	abkühlen	7	yteeeor	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f114r	f114r.26	1	47	55	abmessen	abmessen	1	ycheeodaiin	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f114v	f114v.36	1	132	141	verbinden	verbinden	NONE	NONE	ZERO_ACTION_ORDINAL_CANDIDATE
f114v	f114v.36	2	232	238	nehmen	nehmen	6|7	qopchol|qopaiin	MULTIPLE_LEXICAL_CANDIDATES_NO_STORED_SPAN
f114v	f114v.36	3	306	317	abschließen	abschließen	NONE	NONE	ZERO_ACTION_ORDINAL_CANDIDATE
f115r	f115r.1	1	21	29	abmessen	abmessen	1	fdar	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f115r	f115r.1	2	31	35	nimm	nehmen	2	qopchol	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f115r	f115r.1	3	110	118	abmessen	abmessen	3	qochedain	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
