error	symptom_de	correction_de
OWNER_SKIPPED	Text wird ohne Pflanzen-, Becken- oder Instrumentbesitzer gelesen	Besitzer erneut zeigen; Inhalt nicht aus Wortform erraten
LINE_END_EQUALS_SENTENCE	Aussage wird am physischen Rand zu frueh beendet	am naechsten Textlauf weiterlesen, bis die lokale Einheit endet
GLOBAL_CLOSE	ein Zellschluss beendet Artikel oder ganze Station	nur aktuelle Zelle schliessen
PROSE_VALUE_ON_ASTRO	Astrooberflaeche wird mit den 37 Prosa-Werten zerlegt	Astro-Namensraum ausrufen und Etikette ganz kopieren
ASTRO_VALUE_IN_PROSE	lokale Himmelsbeschriftung wird in eine Arbeitsaussage eingesetzt	zum Prosa-Komponentendeck zurueckkehren
F67_WHEELS_JOINED	linkes und rechtes Rad werden indexweise verbunden	beide Instrumente getrennt zuruecksetzen
F68_F69_JOINED	die beiden 28er-Bestaende werden gepaart	nur lokalen Bildplatz lesen
EDITORIAL_ORDER_AS_ROTATION	Locusnummer wird als Kreisrichtung behandelt	Ort zeigen; Richtung ungelesen lassen
MEMORY_HANDOFF_INVENTED	bestimmte Pflanze wird ohne Vorgabe einer Badstation zugeordnet	nur thematische WHAT/HOW-Kopplung behalten
ROLE_EQUALS_PERSON	jede Aufgabe wird vorschnell einer bestimmten Manuskripthand zugeschrieben	Aufgabenmodell und palaeographische Handidentitaet getrennt halten
