unit_id	page	section	visible_groups	internal_units	layout_role	content_role	copy_role	finish_role	apprentice_can_copy_after_basic_course	master_needed_for_de	handoff_package_de
H1	f10r	HERBAL	14	2	DRAUGHTSPERSON	MASTER_COMPILER	PROSE_SCRIBE	CORRECTOR_FINISHER	YES	konkrete Besitzer-/Inhaltsfuellung	Bildbesitzer + Arbeitsfolge + Kartenexemplar
H2	f10r	HERBAL	24	3	DRAUGHTSPERSON	MASTER_COMPILER	PROSE_SCRIBE	CORRECTOR_FINISHER	YES	konkrete Besitzer-/Inhaltsfuellung	Bildbesitzer + Arbeitsfolge + Kartenexemplar
H3	f11r	HERBAL	17	4	DRAUGHTSPERSON	MASTER_COMPILER	PROSE_SCRIBE	CORRECTOR_FINISHER	YES	konkrete Besitzer-/Inhaltsfuellung	Bildbesitzer + Arbeitsfolge + Kartenexemplar
H4	f55v	HERBAL	18	4	DRAUGHTSPERSON	MASTER_COMPILER	PROSE_SCRIBE	CORRECTOR_FINISHER	YES	konkrete Besitzer-/Inhaltsfuellung	Bildbesitzer + Arbeitsfolge + Kartenexemplar
H5	f56r	HERBAL	27	6	DRAUGHTSPERSON	MASTER_COMPILER	PROSE_SCRIBE	CORRECTOR_FINISHER	YES	konkrete Besitzer-/Inhaltsfuellung	Bildbesitzer + Arbeitsfolge + Kartenexemplar
B1	f81v	BIOLOGICAL	66	21	DRAUGHTSPERSON	MASTER_COMPILER	PROSE_SCRIBE	CORRECTOR_FINISHER	YES	konkrete Besitzer-/Inhaltsfuellung	Bildbesitzer + Arbeitsfolge + Kartenexemplar
B2	f82r	BIOLOGICAL	62	22	DRAUGHTSPERSON	MASTER_COMPILER	PROSE_SCRIBE	CORRECTOR_FINISHER	YES	konkrete Besitzer-/Inhaltsfuellung	Bildbesitzer + Arbeitsfolge + Kartenexemplar
B3	f83r	BIOLOGICAL	86	34	DRAUGHTSPERSON	MASTER_COMPILER	PROSE_SCRIBE	CORRECTOR_FINISHER	YES	konkrete Besitzer-/Inhaltsfuellung	Bildbesitzer + Arbeitsfolge + Kartenexemplar
B4	f83r	BIOLOGICAL	47	16	DRAUGHTSPERSON	MASTER_COMPILER	PROSE_SCRIBE	CORRECTOR_FINISHER	YES	konkrete Besitzer-/Inhaltsfuellung	Bildbesitzer + Arbeitsfolge + Kartenexemplar
B5	f83r	BIOLOGICAL	11	3	DRAUGHTSPERSON	MASTER_COMPILER	PROSE_SCRIBE	CORRECTOR_FINISHER	YES	konkrete Besitzer-/Inhaltsfuellung	Bildbesitzer + Arbeitsfolge + Kartenexemplar
B6	f83r	BIOLOGICAL	9	1	DRAUGHTSPERSON	MASTER_COMPILER	PROSE_SCRIBE	CORRECTOR_FINISHER	YES	konkrete Besitzer-/Inhaltsfuellung	Bildbesitzer + Arbeitsfolge + Kartenexemplar
A1	f67r2	ASTRO	190	74	DRAUGHTSPERSON	MASTER_COMPILER	DIAGRAM_SCRIBE	CORRECTOR_FINISHER	YES	lokalen Himmelswert und richtigen Namensraum	Instrument + Bildplatz + vollstaendige Lokaletikette
A2	f68r1	ASTRO	65	37	DRAUGHTSPERSON	MASTER_COMPILER	DIAGRAM_SCRIBE	CORRECTOR_FINISHER	YES	lokalen Himmelswert und richtigen Namensraum	Instrument + Bildplatz + vollstaendige Lokaletikette
A3	f69v	ASTRO	140	31	DRAUGHTSPERSON	MASTER_COMPILER	DIAGRAM_SCRIBE	CORRECTOR_FINISHER	YES	lokalen Himmelswert und richtigen Namensraum	Instrument + Bildplatz + vollstaendige Lokaletikette
