lesson	skill	learning_items_or_examples	instruction_de	scope
1	OWNER_FIRST	10	auf jeder Seite zuerst Bildbesitzer und Schreibraum erkennen	ALL
2	GRAPHIC_COMPONENTS	38	38 wiederkehrende graphische Bestandteile schreiben	PROSE
3	CARD_FRAMES	56	56 gelernte Kartenrahmen einsetzen	PROSE
4	SPOKEN_VALUES	37	kurze Werte wie dies, fort, Mass, Ziel, Ansatz und Handlungen sprechen	PROSE
5	COMMON_MACROS	15	15 haeufige Kartenfolgen als Formeln schreiben	PROSE
6	SIMPLE_VARIANTS	21	ein Element in einer bekannten Formel einsetzen oder ersetzen	PROSE
7	MASTER_LONG_FORMS	22	lange Zweiedit- und freie Aussagen in Atemgruppen vom Exemplar kopieren	PROSE
8	LOCAL_CLOSE	1	Schluss gilt nur fuer die aktuelle Zelle, nicht fuer die physische Zeile	PROSE
9	ASTRO_NAMESPACES	13	vor jedem Astroetikett Rad, Paneel oder lokalen Sternraum ausrufen	ASTRO
10	ASTRO_LABELS	142	vollstaendige lokale Etiketten nach Bildadresse kopieren, nicht auswendig lernen	ASTRO
11	RESET_RULE	1	bei Register- oder Instrumentwechsel Besitzer und lokale Schluessel loeschen	ALL
12	CORRECTION	5	Oberflaeche, Besitzer, Reihenfolge, Schluss und Namensraum getrennt kontrollieren	ALL
