root	structural_category	selected_minimal_value_de	decision	rival_a_de	rival_b_de	portable_use_rule_de	atom_mention_count	page_count	register_count	decision_reason_de
Y	ARGUMENT	POSTEN	KEEP	DIES	GEGENSTAND	als kurzen Posten-/Wertslot lesen; konkretes Nomen kommt vom Besitzer	1611	24	5	Referentrolle breit und registerübergreifend
OK	HANDLUNG	SETZEN	KEEP	ANSETZEN	AKTIVIEREN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	774	24	5	produktiver Handlungskopf; genauer Verbton offen
OL	REIHENFOLGE	FORTSETZEN	KEEP	WEITER	GLEICHER GANG	als Fortsetzung oder nächsten Geschwistergang lesen	688	24	5	wiederkehrende Fortsetzungs-/Weiterführungslage
OT	REIHENFOLGE	DANACH	KEEP	NÄCHSTER	WECHSEL	als Fortsetzung oder nächsten Geschwistergang lesen	363	24	5	Geschwister-/Folgewechsel statt Stoffwort
AL	BEZIEHUNG	ZIELORT	KEEP	ZU	ANSCHLUSS	als Quell-, Ziel- oder Wegrelation lesen; keine Flussrichtung erfinden	352	24	5	komplementäre Zieladresse zu AR
CH	HANDLUNG	NEHMEN	KEEP_PROVISIONAL	BEARBEITEN	GREIFEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	843	24	5	Handlungskopf stabil; NEHMEN bleibt breit
SH	HANDLUNG	HALTEN	KEEP_PROVISIONAL	RUHEN LASSEN	BEWAHREN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	631	24	5	Handlungskopf stabil; Halten/Ruhen lokal offen
AR	BEZIEHUNG	AUSGANG	KEEP	VON	QUELLE	als Quell-, Ziel- oder Wegrelation lesen; keine Flussrichtung erfinden	323	23	5	komplementäre Quelladresse zu AL
K	HANDLUNG	GEBEN	KEEP_PROVISIONAL	ZUFÜHREN	ZUORDNEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	492	24	5	Handlungskopf stabil; Zuführen/Zuordnen lokal offen
AIIN	ARGUMENT	WERT	KEEP	MASS	VORGABE	als kurzen Posten-/Wertslot lesen; konkretes Nomen kommt vom Besitzer	432	23	5	MASS wäre auf Himmelsseiten zu eng
S	HANDLUNG	WÄHLEN	KEEP_PROVISIONAL	TRENNEN	PRÜFEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	306	24	5	Auswahlkopf stabil; Prüfen/Trennen lokale Rivalen
CHD	HANDLUNG	UMSETZEN	KEEP_PROVISIONAL	ÜBERFÜHREN	WECHSELN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	301	16	5	Transfer-/Zustandswechselkern, genauer Vorgang offen
OR	ARGUMENT	EINHEIT	KEEP	ANSATZ	BESTAND	als kurzen Posten-/Wertslot lesen; konkretes Nomen kommt vom Besitzer	266	24	5	ANSATZ wäre in Bio/Himmel zu eng
L	BEZIEHUNG	VERBINDUNG	KEEP_PROVISIONAL	MIT	ANSCHLUSS	als Quell-, Ziel- oder Wegrelation lesen; keine Flussrichtung erfinden	270	20	5	relationale Brücke stabil, MIT bleibt Rivale
T	HANDLUNG	EINSTELLEN	KEEP_PROVISIONAL	ORDNEN	BESTIMMEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	296	24	5	Setz-/Bestimmungskopf stabil
AIN	ARGUMENT	ANTEIL	KEEP	PORTION	TEIL	als kurzen Posten-/Wertslot lesen; konkretes Nomen kommt vom Besitzer	240	20	5	PORTION wäre in Himmels-/Adresskontexten zu stofflich
R	HANDLUNG	MARKIEREN	KEEP_PROVISIONAL	VERWEISEN	KENNZEICHNEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	114	22	5	R-Kopf/Schwanz stabil, genauer Verweisakt offen
P	HANDLUNG	EINSETZEN	KEEP_PROVISIONAL	BEGINNEN	EINBRINGEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	160	24	5	Eingangs-/Einbringungskopf stabil
AIR	BEZIEHUNG	LAUF	KEEP_PROVISIONAL	WEG	FLUSS	als Quell-, Ziel- oder Wegrelation lesen; keine Flussrichtung erfinden	43	16	5	WASSER klar verworfen; Weg/Fluss lokale Expansion
