root	selected_minimal_value_de	register	physical_page	source_statement_id	surface	component_recipe	owner_de	statement_surface_sequence	statement_literal_core_sequence_de	semantic_caution_de
Y	POSTEN	BIOLOGICAL	f75r	P1009-S072	kchedykary	K+CHD+Y+K+AR+Y	großes Bad-/Stationsblatt mit dreieckiger Insel	kchedykary okeey qokar shyk chedy qotar shedy	GEBEN · UMSETZEN · AKTIVER POSTEN · GEBEN · AUSGANG · AKTIVER POSTEN | SETZEN · GRAD II · AKTIVER POSTEN | SETZEN · AUSGANG | AKTIVER POSTEN · GEBEN | UMSETZEN · AKTIVER POSTEN | DANACH · AUSGANG | HALTEN · GRAD I · SCHLUSS	Referentrolle breit und registerübergreifend
Y	POSTEN	CELESTIAL	f67r2	P1009-S031	aldy	AL+D_ADDR+Y	zwei getrennte Himmelsräder und Tabelle	opodchol s ain aldy soeey doiin oldy	AUSFÜHRUNG · EINSETZEN · AUSFÜHRUNG · HIER · FORTSETZEN | WÄHLEN | ANTEIL | ZIELORT · HIER · AKTIVER POSTEN | WÄHLEN · AUSFÜHRUNG · GRAD II · AKTIVER POSTEN | HIER · AUSFÜHRUNG · STUFE | FORTSETZEN · SCHLUSS	Referentrolle breit und registerübergreifend
Y	POSTEN	HERBAL	f10r	P1009-S001	pchocthy	P+CH+O+CH+T+Y	zweiknolliges blauköpfiges Heilkraut	pchocthy shor octhody chorchy pchodol chopchal ypch kom dchey cthoor char chty os chair otytchol oky daiin etyd qotor o tchy daiin chocthy qotchy chol or yty dy dy sor chaiin chcthy ctho ckhy or aiin chtchor doiir ody	EINSETZEN · NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · AKTIVER POSTEN | HALTEN · EINHEIT | AUSFÜHRUNG · NEHMEN · EINSTELLEN · AUSFÜHRUNG · HIER · AKTIVER POSTEN | NEHMEN · EINHEIT · NEHMEN · AKTIVER POSTEN | EINSETZEN · NEHMEN · AUSFÜHRUNG · HIER · FORTSETZEN | NEHMEN · AUSFÜHRUNG · EINSETZEN · NEHMEN · ZIELORT | AKTIVER POSTEN · EINSETZEN · NEHMEN | GEBEN · AUSFÜHRUNG · HIER | NEHMEN · GRAD I · AKTIVER POSTEN | NEHMEN · EINSTELLEN · AUSFÜHRUNG · EINHEIT | AUSGANG | NEHMEN · EINSTELLEN · AKTIVER POSTEN | VORBEZUG | NEHMEN · LAUF | DANACH · AKTIVER POSTEN · EINSTELLEN · NEHMEN · FORTSETZEN | SETZEN · AKTIVER POSTEN | WERT | GRAD I · EINSTELLEN · AKTIVER POSTEN | DANACH · EINHEIT | AUSFÜHRUNG | EINSTELLEN · AKTIVER POSTEN | WERT | NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · AKTIVER POSTEN | DANACH · AKTIVER POSTEN | FORTSETZEN | EINHEIT | AKTIVER POSTEN · EINSTELLEN · AKTIVER POSTEN | AKTIVER POSTEN | AKTIVER POSTEN | WÄHLEN · EINHEIT | NEHMEN · WERT | NEHMEN · NEHMEN · EINSTELLEN · AKTIVER POSTEN | NEHMEN · EINSTELLEN · AUSFÜHRUNG | NEHMEN · GEBEN · AKTIVER POSTEN | EINHEIT | WERT | NEHMEN · EINSTELLEN · NEHMEN · EINHEIT | HIER · AUSFÜHRUNG · STUFE · MARKIEREN | AUSFÜHRUNG · SCHLUSS	Referentrolle breit und registerübergreifend
Y	POSTEN	PHARMA	f88r	P1009-S590	dorsheoy	D_ADDR+OR+SH+E+O+Y	sechzehn Drogenposten und drei Gefäßansätze	dorsheoy ctheol qockhey dory sheor sholfchor dal chcthol ral sheom keol chear shekor qokor daiin sar s aiin oky sam oain or om otam okeom cheeor qokeody dar or om cheody qokeol cheol saiin cheos cheol doleeey or cheom cheojam yokeody cheom qoor cheeb ykeor shy sam	HIER · EINHEIT · HALTEN · GRAD I · AUSFÜHRUNG · AKTIVER POSTEN | NEHMEN · EINSTELLEN · GRAD I · FORTSETZEN | AUSFÜHRUNG · NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN | HIER · EINHEIT · AKTIVER POSTEN | HALTEN · GRAD I · EINHEIT | HALTEN · FORTSETZEN · HIER · NEHMEN · EINHEIT | ZIELORT | NEHMEN · NEHMEN · EINSTELLEN · FORTSETZEN | MARKIEREN · ZIELORT | HALTEN · GRAD I · AUSFÜHRUNG · HIER | GEBEN · GRAD I · FORTSETZEN | NEHMEN · GRAD I · AUSGANG | HALTEN · GRAD I · GEBEN · EINHEIT | SETZEN · EINHEIT | WERT | WÄHLEN · AUSGANG | WÄHLEN | WERT | SETZEN · AKTIVER POSTEN | WÄHLEN · HIER | AUSFÜHRUNG · ANTEIL | EINHEIT | AUSFÜHRUNG · HIER | DANACH · HIER | SETZEN · GRAD I · AUSFÜHRUNG · HIER | NEHMEN · GRAD II · EINHEIT | SETZEN · GRAD I · AUSFÜHRUNG · HIER · AKTIVER POSTEN | HIER · AUSGANG | EINHEIT | AUSFÜHRUNG · HIER | NEHMEN · GRAD I · AUSFÜHRUNG · AKTIVER POSTEN | SETZEN · GRAD I · FORTSETZEN | NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG | WÄHLEN · WERT | NEHMEN · GRAD I · AUSFÜHRUNG · WÄHLEN | NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG | HIER · FORTSETZEN · GRAD III · AKTIVER POSTEN | EINHEIT | NEHMEN · GRAD I · AUSFÜHRUNG · HIER | NEHMEN · GRAD I · AUSFÜHRUNG · VARIANTE · HIER · HIER | AKTIVER POSTEN · SETZEN · GRAD I · AUSFÜHRUNG · HIER · AKTIVER POSTEN | NEHMEN · GRAD I · AUSFÜHRUNG · HIER | BEGINNMARKER · AUSFÜHRUNG · EINHEIT | NEHMEN · GRAD II · VARIANTE | AKTIVER POSTEN · GEBEN · GRAD I · EINHEIT | AKTIVER POSTEN | WÄHLEN · HIER	Referentrolle breit und registerübergreifend
Y	POSTEN	SOURCE_SECTION_T	f1r	G404-S001	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	F1R_TEXT_BLOCK_A	fachys ykal ar ataiin shol shory cthres y kor sholdy sory ckhar or y kair chtaiin shar ase cthar cthar dan syaiir sheky or ykaiin shod cthoary cthes daraiin sy soiin oteey oteos roloty cthiar daiin okaiin or okan sair y chear cthaiin cphar cfhaiin ydaraishy	HIER · HIER · NEHMEN · AKTIVER POSTEN · WÄHLEN | AKTIVER POSTEN · GEBEN · ZIELORT | AUSGANG | HIER · EINSTELLEN · WERT | HALTEN · FORTSETZEN | HALTEN · EINHEIT · AKTIVER POSTEN | NEHMEN · EINSTELLEN · MARKIEREN · GRAD I · WÄHLEN | AKTIVER POSTEN | GEBEN · EINHEIT | HALTEN · FORTSETZEN · HIER · AKTIVER POSTEN | WÄHLEN · EINHEIT · AKTIVER POSTEN | NEHMEN · GEBEN · AUSGANG | EINHEIT | AKTIVER POSTEN | GEBEN · LAUF | NEHMEN · EINSTELLEN · WERT | HALTEN · AUSGANG | HIER · WÄHLEN · GRAD I | NEHMEN · EINSTELLEN · AUSGANG | NEHMEN · EINSTELLEN · AUSGANG | ANTEIL | WÄHLEN · AKTIVER POSTEN · STUFE · MARKIEREN | HALTEN · GRAD I · GEBEN · AKTIVER POSTEN | EINHEIT | AKTIVER POSTEN · GEBEN · WERT | HALTEN · AUSFÜHRUNG · HIER | NEHMEN · EINSTELLEN · AUSFÜHRUNG · AUSGANG · AKTIVER POSTEN | NEHMEN · EINSTELLEN · GRAD I · WÄHLEN | HIER · AUSGANG · WERT | AKTIVER POSTEN | WÄHLEN · AUSFÜHRUNG · STUFE | DANACH · GRAD II · AKTIVER POSTEN | DANACH · GRAD I · AUSFÜHRUNG · HIER | MARKIEREN · FORTSETZEN · DANACH · AKTIVER POSTEN | NEHMEN · EINSTELLEN · VARIANTE · AUSGANG | WERT | SETZEN · WERT | EINHEIT | SETZEN · KLASSE | WÄHLEN · LAUF | AKTIVER POSTEN | NEHMEN · GRAD I · AUSGANG | NEHMEN · EINSTELLEN · WERT | NEHMEN · EINSETZEN · AUSGANG | NEHMEN · HIER · WERT | AKTIVER POSTEN · HIER · AUSGANG · HIER · VARIANTE · HALTEN · AKTIVER POSTEN	Referentrolle breit und registerübergreifend
OK	SETZEN	BIOLOGICAL	f75r	P1009-S072	okeey	OK+EE+Y	großes Bad-/Stationsblatt mit dreieckiger Insel	kchedykary okeey qokar shyk chedy qotar shedy	GEBEN · UMSETZEN · AKTIVER POSTEN · GEBEN · AUSGANG · AKTIVER POSTEN | SETZEN · GRAD II · AKTIVER POSTEN | SETZEN · AUSGANG | AKTIVER POSTEN · GEBEN | UMSETZEN · AKTIVER POSTEN | DANACH · AUSGANG | HALTEN · GRAD I · SCHLUSS	produktiver Handlungskopf; genauer Verbton offen
OK	SETZEN	CELESTIAL	f67r2	P1009-S032	okoes	OK+O+E+S	zwei getrennte Himmelsräder und Tabelle	odaeiin okoes oekain y otchey soraiir dy qopchy daiin dal ydchos ain ar amy chocfhy saral sain am ar	AUSFÜHRUNG · ZWEITE STUFE · GRAD I · STUFE | SETZEN · AUSFÜHRUNG · GRAD I · WÄHLEN | AUSFÜHRUNG · GRAD I · GEBEN · ANTEIL | AKTIVER POSTEN | DANACH · AKTIVER POSTEN | WÄHLEN · EINHEIT · WERT · MARKIEREN | AKTIVER POSTEN | AUSFÜHRUNG · EINSETZEN · AKTIVER POSTEN | WERT | ZIELORT | AKTIVER POSTEN · HIER · NEHMEN · AUSFÜHRUNG · WÄHLEN | ANTEIL | AUSGANG | HIER · AKTIVER POSTEN | NEHMEN · AUSFÜHRUNG · NEHMEN · HIER · AKTIVER POSTEN | WÄHLEN · AUSGANG · ZIELORT | WÄHLEN · ANTEIL | HIER | AUSGANG	produktiver Handlungskopf; genauer Verbton offen
OK	SETZEN	HERBAL	f10r	P1009-S001	oky	OK+Y	zweiknolliges blauköpfiges Heilkraut	pchocthy shor octhody chorchy pchodol chopchal ypch kom dchey cthoor char chty os chair otytchol oky daiin etyd qotor o tchy daiin chocthy qotchy chol or yty dy dy sor chaiin chcthy ctho ckhy or aiin chtchor doiir ody	EINSETZEN · NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · AKTIVER POSTEN | HALTEN · EINHEIT | AUSFÜHRUNG · NEHMEN · EINSTELLEN · AUSFÜHRUNG · HIER · AKTIVER POSTEN | NEHMEN · EINHEIT · NEHMEN · AKTIVER POSTEN | EINSETZEN · NEHMEN · AUSFÜHRUNG · HIER · FORTSETZEN | NEHMEN · AUSFÜHRUNG · EINSETZEN · NEHMEN · ZIELORT | AKTIVER POSTEN · EINSETZEN · NEHMEN | GEBEN · AUSFÜHRUNG · HIER | NEHMEN · GRAD I · AKTIVER POSTEN | NEHMEN · EINSTELLEN · AUSFÜHRUNG · EINHEIT | AUSGANG | NEHMEN · EINSTELLEN · AKTIVER POSTEN | VORBEZUG | NEHMEN · LAUF | DANACH · AKTIVER POSTEN · EINSTELLEN · NEHMEN · FORTSETZEN | SETZEN · AKTIVER POSTEN | WERT | GRAD I · EINSTELLEN · AKTIVER POSTEN | DANACH · EINHEIT | AUSFÜHRUNG | EINSTELLEN · AKTIVER POSTEN | WERT | NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · AKTIVER POSTEN | DANACH · AKTIVER POSTEN | FORTSETZEN | EINHEIT | AKTIVER POSTEN · EINSTELLEN · AKTIVER POSTEN | AKTIVER POSTEN | AKTIVER POSTEN | WÄHLEN · EINHEIT | NEHMEN · WERT | NEHMEN · NEHMEN · EINSTELLEN · AKTIVER POSTEN | NEHMEN · EINSTELLEN · AUSFÜHRUNG | NEHMEN · GEBEN · AKTIVER POSTEN | EINHEIT | WERT | NEHMEN · EINSTELLEN · NEHMEN · EINHEIT | HIER · AUSFÜHRUNG · STUFE · MARKIEREN | AUSFÜHRUNG · SCHLUSS	produktiver Handlungskopf; genauer Verbton offen
OK	SETZEN	PHARMA	f88r	P1009-S590	qokor	OK+OR	sechzehn Drogenposten und drei Gefäßansätze	dorsheoy ctheol qockhey dory sheor sholfchor dal chcthol ral sheom keol chear shekor qokor daiin sar s aiin oky sam oain or om otam okeom cheeor qokeody dar or om cheody qokeol cheol saiin cheos cheol doleeey or cheom cheojam yokeody cheom qoor cheeb ykeor shy sam	HIER · EINHEIT · HALTEN · GRAD I · AUSFÜHRUNG · AKTIVER POSTEN | NEHMEN · EINSTELLEN · GRAD I · FORTSETZEN | AUSFÜHRUNG · NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN | HIER · EINHEIT · AKTIVER POSTEN | HALTEN · GRAD I · EINHEIT | HALTEN · FORTSETZEN · HIER · NEHMEN · EINHEIT | ZIELORT | NEHMEN · NEHMEN · EINSTELLEN · FORTSETZEN | MARKIEREN · ZIELORT | HALTEN · GRAD I · AUSFÜHRUNG · HIER | GEBEN · GRAD I · FORTSETZEN | NEHMEN · GRAD I · AUSGANG | HALTEN · GRAD I · GEBEN · EINHEIT | SETZEN · EINHEIT | WERT | WÄHLEN · AUSGANG | WÄHLEN | WERT | SETZEN · AKTIVER POSTEN | WÄHLEN · HIER | AUSFÜHRUNG · ANTEIL | EINHEIT | AUSFÜHRUNG · HIER | DANACH · HIER | SETZEN · GRAD I · AUSFÜHRUNG · HIER | NEHMEN · GRAD II · EINHEIT | SETZEN · GRAD I · AUSFÜHRUNG · HIER · AKTIVER POSTEN | HIER · AUSGANG | EINHEIT | AUSFÜHRUNG · HIER | NEHMEN · GRAD I · AUSFÜHRUNG · AKTIVER POSTEN | SETZEN · GRAD I · FORTSETZEN | NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG | WÄHLEN · WERT | NEHMEN · GRAD I · AUSFÜHRUNG · WÄHLEN | NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG | HIER · FORTSETZEN · GRAD III · AKTIVER POSTEN | EINHEIT | NEHMEN · GRAD I · AUSFÜHRUNG · HIER | NEHMEN · GRAD I · AUSFÜHRUNG · VARIANTE · HIER · HIER | AKTIVER POSTEN · SETZEN · GRAD I · AUSFÜHRUNG · HIER · AKTIVER POSTEN | NEHMEN · GRAD I · AUSFÜHRUNG · HIER | BEGINNMARKER · AUSFÜHRUNG · EINHEIT | NEHMEN · GRAD II · VARIANTE | AKTIVER POSTEN · GEBEN · GRAD I · EINHEIT | AKTIVER POSTEN | WÄHLEN · HIER	produktiver Handlungskopf; genauer Verbton offen
OK	SETZEN	SOURCE_SECTION_T	f1r	G404-S001	okaiin	OK+AIIN	F1R_TEXT_BLOCK_A	fachys ykal ar ataiin shol shory cthres y kor sholdy sory ckhar or y kair chtaiin shar ase cthar cthar dan syaiir sheky or ykaiin shod cthoary cthes daraiin sy soiin oteey oteos roloty cthiar daiin okaiin or okan sair y chear cthaiin cphar cfhaiin ydaraishy	HIER · HIER · NEHMEN · AKTIVER POSTEN · WÄHLEN | AKTIVER POSTEN · GEBEN · ZIELORT | AUSGANG | HIER · EINSTELLEN · WERT | HALTEN · FORTSETZEN | HALTEN · EINHEIT · AKTIVER POSTEN | NEHMEN · EINSTELLEN · MARKIEREN · GRAD I · WÄHLEN | AKTIVER POSTEN | GEBEN · EINHEIT | HALTEN · FORTSETZEN · HIER · AKTIVER POSTEN | WÄHLEN · EINHEIT · AKTIVER POSTEN | NEHMEN · GEBEN · AUSGANG | EINHEIT | AKTIVER POSTEN | GEBEN · LAUF | NEHMEN · EINSTELLEN · WERT | HALTEN · AUSGANG | HIER · WÄHLEN · GRAD I | NEHMEN · EINSTELLEN · AUSGANG | NEHMEN · EINSTELLEN · AUSGANG | ANTEIL | WÄHLEN · AKTIVER POSTEN · STUFE · MARKIEREN | HALTEN · GRAD I · GEBEN · AKTIVER POSTEN | EINHEIT | AKTIVER POSTEN · GEBEN · WERT | HALTEN · AUSFÜHRUNG · HIER | NEHMEN · EINSTELLEN · AUSFÜHRUNG · AUSGANG · AKTIVER POSTEN | NEHMEN · EINSTELLEN · GRAD I · WÄHLEN | HIER · AUSGANG · WERT | AKTIVER POSTEN | WÄHLEN · AUSFÜHRUNG · STUFE | DANACH · GRAD II · AKTIVER POSTEN | DANACH · GRAD I · AUSFÜHRUNG · HIER | MARKIEREN · FORTSETZEN · DANACH · AKTIVER POSTEN | NEHMEN · EINSTELLEN · VARIANTE · AUSGANG | WERT | SETZEN · WERT | EINHEIT | SETZEN · KLASSE | WÄHLEN · LAUF | AKTIVER POSTEN | NEHMEN · GRAD I · AUSGANG | NEHMEN · EINSTELLEN · WERT | NEHMEN · EINSETZEN · AUSGANG | NEHMEN · HIER · WERT | AKTIVER POSTEN · HIER · AUSGANG · HIER · VARIANTE · HALTEN · AKTIVER POSTEN	produktiver Handlungskopf; genauer Verbton offen
