root	selected_minimal_value_de	register	atom_mention_count	event_count	page_count	surface_count	register_reading_guardrail_de
Y	POSTEN	BIOLOGICAL	817	804	7	274	sichtbarer Besitzer liefert den lokalen Gegenstand
Y	POSTEN	CELESTIAL	182	168	4	125	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
Y	POSTEN	HERBAL	333	307	9	188	sichtbarer Besitzer liefert den lokalen Gegenstand
Y	POSTEN	PHARMA	205	196	3	130	sichtbarer Besitzer liefert den lokalen Gegenstand
Y	POSTEN	SOURCE_SECTION_T	74	70	1	59	Textblock ist Besitzer; kein Objekt ergänzen
OK	SETZEN	BIOLOGICAL	482	482	7	83	sichtbarer Besitzer liefert den lokalen Gegenstand
OK	SETZEN	CELESTIAL	76	76	4	56	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
OK	SETZEN	HERBAL	114	113	9	67	sichtbarer Besitzer liefert den lokalen Gegenstand
OK	SETZEN	PHARMA	86	86	3	48	sichtbarer Besitzer liefert den lokalen Gegenstand
OK	SETZEN	SOURCE_SECTION_T	16	16	1	15	Textblock ist Besitzer; kein Objekt ergänzen
OL	FORTSETZEN	BIOLOGICAL	372	365	7	143	sichtbarer Besitzer liefert den lokalen Gegenstand
OL	FORTSETZEN	CELESTIAL	62	59	4	44	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
OL	FORTSETZEN	HERBAL	109	109	9	61	sichtbarer Besitzer liefert den lokalen Gegenstand
OL	FORTSETZEN	PHARMA	119	118	3	68	sichtbarer Besitzer liefert den lokalen Gegenstand
OL	FORTSETZEN	SOURCE_SECTION_T	26	26	1	18	Textblock ist Besitzer; kein Objekt ergänzen
OT	DANACH	BIOLOGICAL	175	175	7	49	sichtbarer Besitzer liefert den lokalen Gegenstand
OT	DANACH	CELESTIAL	84	84	4	46	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
OT	DANACH	HERBAL	72	72	9	44	sichtbarer Besitzer liefert den lokalen Gegenstand
OT	DANACH	PHARMA	23	23	3	18	sichtbarer Besitzer liefert den lokalen Gegenstand
OT	DANACH	SOURCE_SECTION_T	9	9	1	9	Textblock ist Besitzer; kein Objekt ergänzen
AL	ZIELORT	BIOLOGICAL	178	177	7	82	sichtbarer Besitzer liefert den lokalen Gegenstand
AL	ZIELORT	CELESTIAL	72	71	4	50	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
AL	ZIELORT	HERBAL	50	50	9	37	sichtbarer Besitzer liefert den lokalen Gegenstand
AL	ZIELORT	PHARMA	45	43	3	26	sichtbarer Besitzer liefert den lokalen Gegenstand
AL	ZIELORT	SOURCE_SECTION_T	7	7	1	6	Textblock ist Besitzer; kein Objekt ergänzen
CH	NEHMEN	BIOLOGICAL	290	255	7	150	sichtbarer Besitzer liefert den lokalen Gegenstand
CH	NEHMEN	CELESTIAL	100	92	4	80	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
CH	NEHMEN	HERBAL	235	215	9	150	sichtbarer Besitzer liefert den lokalen Gegenstand
CH	NEHMEN	PHARMA	160	151	3	94	sichtbarer Besitzer liefert den lokalen Gegenstand
CH	NEHMEN	SOURCE_SECTION_T	58	57	1	51	Textblock ist Besitzer; kein Objekt ergänzen
SH	HALTEN	BIOLOGICAL	398	397	7	135	sichtbarer Besitzer liefert den lokalen Gegenstand
SH	HALTEN	CELESTIAL	46	46	4	39	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
SH	HALTEN	HERBAL	86	84	9	60	sichtbarer Besitzer liefert den lokalen Gegenstand
SH	HALTEN	PHARMA	57	57	3	38	sichtbarer Besitzer liefert den lokalen Gegenstand
SH	HALTEN	SOURCE_SECTION_T	44	43	1	35	Textblock ist Besitzer; kein Objekt ergänzen
AR	AUSGANG	BIOLOGICAL	151	150	7	61	sichtbarer Besitzer liefert den lokalen Gegenstand
AR	AUSGANG	CELESTIAL	56	53	4	29	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
AR	AUSGANG	HERBAL	69	68	8	38	sichtbarer Besitzer liefert den lokalen Gegenstand
AR	AUSGANG	PHARMA	23	23	3	17	sichtbarer Besitzer liefert den lokalen Gegenstand
AR	AUSGANG	SOURCE_SECTION_T	24	24	1	19	Textblock ist Besitzer; kein Objekt ergänzen
K	GEBEN	BIOLOGICAL	237	236	7	128	sichtbarer Besitzer liefert den lokalen Gegenstand
K	GEBEN	CELESTIAL	48	46	4	42	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
K	GEBEN	HERBAL	108	106	9	84	sichtbarer Besitzer liefert den lokalen Gegenstand
K	GEBEN	PHARMA	70	69	3	59	sichtbarer Besitzer liefert den lokalen Gegenstand
K	GEBEN	SOURCE_SECTION_T	29	29	1	25	Textblock ist Besitzer; kein Objekt ergänzen
AIIN	WERT	BIOLOGICAL	162	162	7	38	sichtbarer Besitzer liefert den lokalen Gegenstand
AIIN	WERT	CELESTIAL	70	70	3	29	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
AIIN	WERT	HERBAL	100	100	9	42	sichtbarer Besitzer liefert den lokalen Gegenstand
AIIN	WERT	PHARMA	73	73	3	22	sichtbarer Besitzer liefert den lokalen Gegenstand
AIIN	WERT	SOURCE_SECTION_T	27	27	1	20	Textblock ist Besitzer; kein Objekt ergänzen
S	WÄHLEN	BIOLOGICAL	135	133	7	62	sichtbarer Besitzer liefert den lokalen Gegenstand
