root	structural_category	selected_minimal_value_de	decision	rival_a_de	rival_b_de	atom_mention_count	event_count	distinct_surface_count	page_count	pages	register_count	registers	first_count	middle_count	last_count	standalone_event_count	focus_attachment_count	focus_family_counts	governed_focus_count	governed_focus_family_counts	distinct_substitution_frame_count	decision_reason_de
Y	ARGUMENT	POSTEN	KEEP	DIES	GEGENSTAND	1611	1545	614	24	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	338	50	1223	183	1611	ARGUMENT:1611	0	NONE	541	Referentrolle breit und registerübergreifend
OK	HANDLUNG	SETZEN	KEEP	ANSETZEN	AKTIVIEREN	774	773	191	24	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	751	22	1	5	0	NONE	1117	ARGUMENT:528|GRADE:372|RELATION:217	127	produktiver Handlungskopf; genauer Verbton offen
OL	REIHENFOLGE	FORTSETZEN	KEEP	WEITER	GLEICHER GANG	688	677	254	24	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	368	75	245	175	0	NONE	0	NONE	192	wiederkehrende Fortsetzungs-/Weiterführungslage
OT	REIHENFOLGE	DANACH	KEEP	NÄCHSTER	WECHSEL	363	363	123	24	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	340	23	0	2	0	NONE	0	NONE	91	Geschwister-/Folgewechsel statt Stoffwort
AL	BEZIEHUNG	ZIELORT	KEEP	ZU	ANSCHLUSS	352	348	166	24	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	121	62	169	75	352	RELATION:352	0	NONE	133	komplementäre Zieladresse zu AR
CH	HANDLUNG	NEHMEN	KEEP_PROVISIONAL	BEARBEITEN	GREIFEN	843	770	435	24	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	484	356	3	2	0	NONE	761	ARGUMENT:339|GRADE:251|RELATION:171	425	Handlungskopf stabil; NEHMEN bleibt breit
SH	HANDLUNG	HALTEN	KEEP_PROVISIONAL	RUHEN LASSEN	BEWAHREN	631	627	246	24	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	476	153	2	4	0	NONE	899	ARGUMENT:322|GRADE:463|RELATION:114	229	Handlungskopf stabil; Halten/Ruhen lokal offen
AR	BEZIEHUNG	AUSGANG	KEEP	VON	QUELLE	323	318	124	23	f10r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	50	33	240	39	323	RELATION:323	0	NONE	110	komplementäre Quelladresse zu AL
K	HANDLUNG	GEBEN	KEEP_PROVISIONAL	ZUFÜHREN	ZUORDNEN	492	486	281	24	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	127	358	7	4	0	NONE	805	ARGUMENT:476|GRADE:200|RELATION:129	245	Handlungskopf stabil; Zuführen/Zuordnen lokal offen
AIIN	ARGUMENT	WERT	KEEP	MASS	VORGABE	432	432	103	23	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	156	8	268	155	432	ARGUMENT:432	0	NONE	80	MASS wäre auf Himmelsseiten zu eng
