root_a	value_a_de	root_b	value_b_de	same_structural_category	shared_exact_substitution_frame_count	weighted_frame_overlap_event_count	weighted_frame_jaccard	shared_frame_examples	shared_frame_page_union
Y	POSTEN	OL	FORTSETZEN	NO	65	383	0.199896	AL+{SLOT} | AR+{SLOT} | CARRIER_Q+O+CH+K+{SLOT} | CARRIER_Q+O+P+{SLOT} | CH+CH+T+{SLOT} | CH+E+P+{SLOT} | CH+K+E+{SLOT} | CH+K+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
Y	POSTEN	AIIN	WERT	YES	37	328	0.191254	AL+D_ADDR+{SLOT} | AL+{SLOT} | AR+{SLOT} | CARRIER_Q+O+LOCAL_CHAR_F+CHD+{SLOT} | CH+K+{SLOT} | CH+LOCAL_CHAR_F+{SLOT} | CH+O+D_ADDR+{SLOT} | CH+T+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OK	SETZEN	OT	DANACH	NO	36	272	0.314451	{SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AL+DY | {SLOT}+AL+Y | {SLOT}+AM_ADDR | {SLOT}+AN	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OK	SETZEN	SH	HALTEN	YES	36	251	0.217504	{SLOT} | {SLOT}+AIIN | {SLOT}+AL | {SLOT}+AR | {SLOT}+E+AL | {SLOT}+E+AR | {SLOT}+E+DY | {SLOT}+E+D_ADDR	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OL	FORTSETZEN	AIIN	WERT	NO	22	245	0.280000	AL+{SLOT} | AR+{SLOT} | CARRIER_Q+O+{SLOT} | CH+K+{SLOT} | CH+LOCAL_CHAR_F+{SLOT} | CH+T+{SLOT} | CHD+{SLOT} | K+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
Y	POSTEN	AL	ZIELORT	NO	45	212	0.121074	AL+{SLOT} | A_ADDR+{SLOT} | CH+E+O+K+{SLOT} | CH+E+O+{SLOT} | CH+K+EE+{SLOT} | CH+K+{SLOT} | CH+P+{SLOT} | CH+T+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AIIN	WERT	AIN	ANTEIL	YES	23	210	0.454545	CARRIER_Q+O+{SLOT} | CH+K+{SLOT} | CH+O+D_ADDR+{SLOT} | CHD+{SLOT} | K+{SLOT} | L+K+{SLOT} | L+T+{SLOT} | L+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AL	ZIELORT	AIIN	WERT	NO	27	195	0.331070	AL+{SLOT} | CH+K+{SLOT} | CH+T+{SLOT} | CH+{SLOT} | CHD+{SLOT} | D_ADDR+CH+{SLOT} | K+CH+{SLOT} | K+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OL	FORTSETZEN	AL	ZIELORT	NO	36	189	0.222092	AL+{SLOT} | CH+K+{SLOT} | CH+P+{SLOT} | CH+T+{SLOT} | CHD+{SLOT} | K+{SLOT} | L+{SLOT} | OK+E+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
Y	POSTEN	AIN	ANTEIL	YES	23	188	0.113049	CH+K+{SLOT} | CH+O+D_ADDR+{SLOT} | CHD+{SLOT} | D_ADDR+K+{SLOT} | D_ADDR+OL+K+{SLOT} | K+{SLOT} | L+K+{SLOT} | L+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
