sequence	field_id	position	master_card_id	surface	invariant_card_value_de	herbal_card_value_de	bio_card_value_de	value_changed_by_owner
1	O01	1	MC123	chey	dies	dies	dies	NO
2	O01	2	MC039	aiin	Sollmaß	Sollmaß	Sollmaß	NO
3	O01	3	MC026	choky	einsetzen	einsetzen	einsetzen	NO
4	O02	1	MC055	char	davon	davon	davon	NO
5	O02	2	MC039	aiin	Sollmaß	Sollmaß	Sollmaß	NO
6	O02	3	MC154	al	dorthin	dorthin	dorthin	NO
7	O03	1	MC120	okaiin	bemessen	bemessen	bemessen	NO
8	O03	2	MC040	okal	dorthin einsetzen	dorthin einsetzen	dorthin einsetzen	NO
9	O03	3	MC032	cheeky	länger bearbeiten	länger bearbeiten	länger bearbeiten	NO
10	O04	1	MC119	cheey	Klarlauf	Klarlauf	Klarlauf	NO
