record	page	events	statements	direct_deck_events	component_strip_events	compressed_events	owner_resets	line_carries	rule_surfaces	copied_allographs	terminal_actions	checkpoints	copy_result
H1	f10r	14	2	4	10	0	1	0	12	2	0	3	EXACT_CARD_AND_SURFACE_ROUNDTRIP
H2	f10r	24	3	14	10	0	1	0	16	8	0	9	EXACT_CARD_AND_SURFACE_ROUNDTRIP
H3	f11r	17	4	7	10	0	1	0	14	3	1	5	EXACT_CARD_AND_SURFACE_ROUNDTRIP
H4	f55v	18	4	6	12	0	1	0	13	5	2	8	EXACT_CARD_AND_SURFACE_ROUNDTRIP
H5	f56r	27	6	9	18	0	1	1	25	2	1	5	EXACT_CARD_AND_SURFACE_ROUNDTRIP
B1	f81v	66	21	18	48	0	1	3	52	14	17	35	EXACT_CARD_AND_SURFACE_ROUNDTRIP
B2	f82r	62	22	10	52	0	5	4	55	7	19	35	EXACT_CARD_AND_SURFACE_ROUNDTRIP
B3	f83r	86	34	13	73	0	5	4	70	16	31	56	EXACT_CARD_AND_SURFACE_ROUNDTRIP
B4	f83r	47	16	9	38	0	3	4	40	7	16	30	EXACT_CARD_AND_SURFACE_ROUNDTRIP
B5	f83r	11	3	4	6	1	1	2	9	2	2	7	EXACT_CARD_AND_SURFACE_ROUNDTRIP
B6	f83r	9	1	5	4	0	1	1	8	1	0	3	EXACT_CARD_AND_SURFACE_ROUNDTRIP
