lesson	herbal_record	bio_unit	information_channel	content_de	status
L1	H1	B1-S002-M03	PORTABLE_CARDS	Gleichvorrat → Zerkleinern → Einsetzen → Sollmaß → Fortsetzung → Bereit → Fortsetzung → Fortsetzungsansatz → Fortsetzung	WRITTEN_IN_SHARED_CARD_LAYER
L1	H1	B1-S002-M03	MATERIAL_OWNER	Wurzel der abgebildeten Pflanze	SUPPLIED_BY_HERBAL_PICTURE
L1	H1	B1-S002-M03	STATION_OWNER	gemeinsames zweireihiges Becken	SUPPLIED_BY_BIO_PICTURE
L1	H1	B1-S002-M03	HANDOFF_MATCH	Der bemessene Wurzelauszug und sein Rest gehören zum selben fortgesetzten Beckengang.	TAUGHT_OR_INFERRED_WORKSHOP_LINK
L1	H1	B1-S002-M03	FULL_ACTION	Aus demselben Vorrat zerkleinern, einsetzen, abmessen und bereitstellen; am Becken als Fortsetzungsansatz weiterführen.	EXPANDED_BY_APPRENTICE
L2	H2	B1-S002-M04	PORTABLE_CARDS	Bereit → Ansatz → Diesposten → Sollmaß → Diesposten → Ansatz → Fortsetzung → Fortsetzungsansatz → Fortsetzung → Sollmaß → Gleichvorrat → Ansatz → Diesposten → Sollmaß	WRITTEN_IN_SHARED_CARD_LAYER
L2	H2	B1-S002-M04	MATERIAL_OWNER	zweiter Auszugsansatz der abgebildeten Pflanze	SUPPLIED_BY_HERBAL_PICTURE
L2	H2	B1-S002-M04	STATION_OWNER	Mess- und Halteplatz im gemeinsamen Becken	SUPPLIED_BY_BIO_PICTURE
L2	H2	B1-S002-M04	HANDOFF_MATCH	Dieser Folgeansatz ist bereits auf seine Arbeitsstufe gebracht; vor und nach dem Halten dasselbe Sollmaß prüfen.	TAUGHT_OR_INFERRED_WORKSHOP_LINK
L2	H2	B1-S002-M04	FULL_ACTION	Ansatz aus gleichem Vorrat fortsetzen, Sollmaß setzen, am Becken halten und nochmals dasselbe Maß lesen.	EXPANDED_BY_APPRENTICE
L3	H3	B2-S012-M02	PORTABLE_CARDS	Klarauszug → Diesposten → Sollmaß → Bereit → Diesposten → Klarauszug	WRITTEN_IN_SHARED_CARD_LAYER
L3	H3	B2-S012-M02	MATERIAL_OWNER	klarer kalter Sud der abgebildeten Pflanze	SUPPLIED_BY_HERBAL_PICTURE
L3	H3	B2-S012-M02	STATION_OWNER	unteres Mehrplatzbecken	SUPPLIED_BY_BIO_PICTURE
L3	H3	B2-S012-M02	HANDOFF_MATCH	Nur der geklärte Auszug wird übergeben; Trub und ausgewrungenes Pflanzenmaterial bleiben zurück.	TAUGHT_OR_INFERRED_WORKSHOP_LINK
L3	H3	B2-S012-M02	FULL_ACTION	Klarauszug übernehmen, am lokalen Platz kurz vorbereiten, länger einwirken lassen und den klaren Anteil abziehen.	EXPANDED_BY_APPRENTICE
L4	H4	B4-S008	PORTABLE_CARDS	Sollstellung → Sollmaß → Umsetzen → Langwärme → Fortschluss → Sollmaß → Zieleinsatz → Ansatz → Diesposten → Sollmaß → Langwärme	WRITTEN_IN_SHARED_CARD_LAYER
L4	H4	B4-S008	MATERIAL_OWNER	bemessener gekühlter Blattauszug	SUPPLIED_BY_HERBAL_PICTURE
L4	H4	B4-S008	STATION_OWNER	f83r-Anwendungs-/Durchlasspaar	SUPPLIED_BY_BIO_PICTURE
L4	H4	B4-S008	HANDOFF_MATCH	Die Vorratszubereitung ist kalt; erst die abgemessene Anwendungsportion wird wieder länger warm gehalten.	TAUGHT_OR_INFERRED_WORKSHOP_LINK
L4	H4	B4-S008	FULL_ACTION	Sollmaß nehmen, Langwärme ausführen, an der ersten Öffnung kurz ansetzen und den Schritt schließen.	EXPANDED_BY_APPRENTICE
L5	H5	B4-S003-M02	PORTABLE_CARDS	Sollmaß → Einsetzen → Stelle → Einsetzen → Folgeposten → Sollmaß → Folgeposten → Einsetzen → Fortsetzung	WRITTEN_IN_SHARED_CARD_LAYER
L5	H5	B4-S003-M02	MATERIAL_OWNER	Stängel-/Zusatzauszug für mehrere Einsätze	SUPPLIED_BY_HERBAL_PICTURE
L5	H5	B4-S003-M02	STATION_OWNER	f83r-Anwendungs-/Durchlasspaar	SUPPLIED_BY_BIO_PICTURE
L5	H5	B4-S003-M02	HANDOFF_MATCH	Nicht alles auf einmal verbrauchen; der nächste Posten ist eine weitere Anwendung desselben hergestellten Guts.	TAUGHT_OR_INFERRED_WORKSHOP_LINK
L5	H5	B4-S003-M02	FULL_ACTION	Folgeposten wählen, länger behandeln, einsetzen, fortsetzen und kurz absetzen.	EXPANDED_BY_APPRENTICE
