component	shelf	abstract_core_de	workshop_prose_de	owner_address_de	prose_atom_occurrences	address_atom_occurrences	total_atom_occurrences	channel_status	composition_rule_de
Y	PRODUCTIVE_CONTRAST_CORE	REFERENT	dieser Arbeitsgegenstand	dieser Bildplatz	766	231	997	BIVALENT	REFERENT bleibt invariant; das Register erweitert zu „dieser Arbeitsgegenstand“ oder „dieser Bildplatz“.
OK	PRODUCTIVE_CONTRAST_CORE	AKTIVIEREN	Arbeitsgang ansetzen	Bildplatz aktivieren	367	81	448	BIVALENT	AKTIVIEREN bleibt invariant; das Register erweitert zu „Arbeitsgang ansetzen“ oder „Bildplatz aktivieren“.
E	PRODUCTIVE_CONTRAST_CORE	GRAD_1	kurz oder direkt	erster Grad	328	101	429	BIVALENT	GRAD_1 bleibt invariant; das Register erweitert zu „kurz oder direkt“ oder „erster Grad“.
DY	PRODUCTIVE_CONTRAST_CORE	ABSCHLUSS	Arbeitsschritt schließen	Bildeintrag schließen	333	35	368	BIVALENT	ABSCHLUSS bleibt invariant; das Register erweitert zu „Arbeitsschritt schließen“ oder „Bildeintrag schließen“.
O	PRODUCTIVE_CONTRAST_CORE	LAUF	Arbeitsgang ausführen	Reihe aufrufen	201	140	341	BIVALENT	LAUF bleibt invariant; das Register erweitert zu „Arbeitsgang ausführen“ oder „Reihe aufrufen“.
OL	PRODUCTIVE_CONTRAST_CORE	FORTSETZUNG	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	271	54	325	BIVALENT	FORTSETZUNG bleibt invariant; das Register erweitert zu „im selben Arbeitsgang fortfahren“ oder „dieselbe Reihe fortführen“.
EE	PRODUCTIVE_CONTRAST_CORE	GRAD_2	länger oder gehalten	zweiter Grad	204	60	264	BIVALENT	GRAD_2 bleibt invariant; das Register erweitert zu „länger oder gehalten“ oder „zweiter Grad“.
OT	PRODUCTIVE_CONTRAST_CORE	NAECHSTER	danach oder nächster Posten	nächster Bildplatz	130	109	239	BIVALENT	NAECHSTER bleibt invariant; das Register erweitert zu „danach oder nächster Posten“ oder „nächster Bildplatz“.
AL	PRODUCTIVE_CONTRAST_CORE	ZIEL	Ziel- oder Anschlussstelle	Zielplatz	133	96	229	BIVALENT	ZIEL bleibt invariant; das Register erweitert zu „Ziel- oder Anschlussstelle“ oder „Zielplatz“.
CH	PRODUCTIVE_CONTRAST_CORE	AUSWAHL_ENTNAHME	bezeichneten Anteil entnehmen	Klasse oder Figur kennzeichnen	178	44	222	BIVALENT	AUSWAHL_ENTNAHME bleibt invariant; das Register erweitert zu „bezeichneten Anteil entnehmen“ oder „Klasse oder Figur kennzeichnen“.
D_ADDR	FORMAL_ADDRESS_SIGN	UNTERADRESSE	bezeichneter Teil	Unterplatz	175	47	222	BIVALENT	UNTERADRESSE bleibt invariant; das Register erweitert zu „bezeichneter Teil“ oder „Unterplatz“.
SH	PRODUCTIVE_CONTRAST_CORE	HALTEN	Arbeitsgegenstand halten	Bezug festhalten	185	34	219	BIVALENT	HALTEN bleibt invariant; das Register erweitert zu „Arbeitsgegenstand halten“ oder „Bezug festhalten“.
AR	PRODUCTIVE_CONTRAST_CORE	QUELLE	Entnahmestelle	Quell- oder Bezugsstelle	130	71	201	BIVALENT	QUELLE bleibt invariant; das Register erweitert zu „Entnahmestelle“ oder „Quell- oder Bezugsstelle“.
