atom_id	event_id	physical_page	locus	surface	channel	component_position	component	abstract_core_de	register_expansion_de
P931-A00001	P912-E0001	f10r	f10r.1	pchocthy	WORKSHOP_PROSE	1	P	EINSETZUNG	Material einsetzen
P931-A00002	P912-E0001	f10r	f10r.1	pchocthy	WORKSHOP_PROSE	2	CH	AUSWAHL_ENTNAHME	bezeichneten Anteil entnehmen
P931-A00003	P912-E0001	f10r	f10r.1	pchocthy	WORKSHOP_PROSE	3	O	LAUF	Arbeitsgang ausführen
P931-A00004	P912-E0001	f10r	f10r.1	pchocthy	WORKSHOP_PROSE	4	CTH	BEREITSTATUS	bis bereit führen
P931-A00005	P912-E0001	f10r	f10r.1	pchocthy	WORKSHOP_PROSE	5	Y	REFERENT	dieser Arbeitsgegenstand
P931-A00006	P912-E0002	f10r	f10r.1	shor	WORKSHOP_PROSE	1	SH	HALTEN	Arbeitsgegenstand halten
P931-A00007	P912-E0002	f10r	f10r.1	shor	WORKSHOP_PROSE	2	OR	EINTRAG	Ansatz oder Zubereitung
P931-A00008	P912-E0003	f10r	f10r.1	octhody	WORKSHOP_PROSE	1	O	LAUF	Arbeitsgang ausführen
P931-A00009	P912-E0003	f10r	f10r.1	octhody	WORKSHOP_PROSE	2	CTH	BEREITSTATUS	bis bereit führen
P931-A00010	P912-E0003	f10r	f10r.1	octhody	WORKSHOP_PROSE	3	O	LAUF	Arbeitsgang ausführen
P931-A00011	P912-E0003	f10r	f10r.1	octhody	WORKSHOP_PROSE	4	D_ADDR	UNTERADRESSE	bezeichneter Teil
P931-A00012	P912-E0003	f10r	f10r.1	octhody	WORKSHOP_PROSE	5	Y	REFERENT	dieser Arbeitsgegenstand
P931-A00013	P912-E0004	f10r	f10r.1	chorchy	WORKSHOP_PROSE	1	CH	AUSWAHL_ENTNAHME	bezeichneten Anteil entnehmen
P931-A00014	P912-E0004	f10r	f10r.1	chorchy	WORKSHOP_PROSE	2	OR	EINTRAG	Ansatz oder Zubereitung
P931-A00015	P912-E0004	f10r	f10r.1	chorchy	WORKSHOP_PROSE	3	CH	AUSWAHL_ENTNAHME	bezeichneten Anteil entnehmen
P931-A00016	P912-E0004	f10r	f10r.1	chorchy	WORKSHOP_PROSE	4	Y	REFERENT	dieser Arbeitsgegenstand
P931-A00017	P912-E0005	f10r	f10r.1	pchodol	WORKSHOP_PROSE	1	P	EINSETZUNG	Material einsetzen
P931-A00018	P912-E0005	f10r	f10r.1	pchodol	WORKSHOP_PROSE	2	CH	AUSWAHL_ENTNAHME	bezeichneten Anteil entnehmen
P931-A00019	P912-E0005	f10r	f10r.1	pchodol	WORKSHOP_PROSE	3	O	LAUF	Arbeitsgang ausführen
P931-A00020	P912-E0005	f10r	f10r.1	pchodol	WORKSHOP_PROSE	4	D_ADDR	UNTERADRESSE	bezeichneter Teil
P931-A00021	P912-E0005	f10r	f10r.1	pchodol	WORKSHOP_PROSE	5	OL	FORTSETZUNG	im selben Arbeitsgang fortfahren
P931-A00022	P912-E0006	f10r	f10r.1	chopchal	WORKSHOP_PROSE	1	CH	AUSWAHL_ENTNAHME	bezeichneten Anteil entnehmen
P931-A00023	P912-E0006	f10r	f10r.1	chopchal	WORKSHOP_PROSE	2	O	LAUF	Arbeitsgang ausführen
P931-A00024	P912-E0006	f10r	f10r.1	chopchal	WORKSHOP_PROSE	3	P	EINSETZUNG	Material einsetzen
P931-A00025	P912-E0006	f10r	f10r.1	chopchal	WORKSHOP_PROSE	4	CH	AUSWAHL_ENTNAHME	bezeichneten Anteil entnehmen
P931-A00026	P912-E0006	f10r	f10r.1	chopchal	WORKSHOP_PROSE	5	AL	ZIEL	Ziel- oder Anschlussstelle
P931-A00027	P912-E0007	f10r	f10r.1	ypch	WORKSHOP_PROSE	1	Y	REFERENT	dieser Arbeitsgegenstand
P931-A00028	P912-E0007	f10r	f10r.1	ypch	WORKSHOP_PROSE	2	P	EINSETZUNG	Material einsetzen
P931-A00029	P912-E0007	f10r	f10r.1	ypch	WORKSHOP_PROSE	3	CH	AUSWAHL_ENTNAHME	bezeichneten Anteil entnehmen
P931-A00030	P912-E0008	f10r	f10r.1	kom	WORKSHOP_PROSE	1	K	ZUORDNUNG	Material zugeben
P931-A00031	P912-E0008	f10r	f10r.1	kom	WORKSHOP_PROSE	2	O	LAUF	Arbeitsgang ausführen
P931-A00032	P912-E0008	f10r	f10r.1	kom	WORKSHOP_PROSE	3	M_LOCAL	M	lokales Schreibzeichen
P931-A00033	P912-E0009	f10r	f10r.2	dchey	WORKSHOP_PROSE	1	CH	AUSWAHL_ENTNAHME	bezeichneten Anteil entnehmen
P931-A00034	P912-E0009	f10r	f10r.2	dchey	WORKSHOP_PROSE	2	E	GRAD_1	kurz oder direkt
P931-A00035	P912-E0009	f10r	f10r.2	dchey	WORKSHOP_PROSE	3	Y	REFERENT	dieser Arbeitsgegenstand
P931-A00036	P912-E0010	f10r	f10r.2	cthoor	WORKSHOP_PROSE	1	CTH	BEREITSTATUS	bis bereit führen
P931-A00037	P912-E0010	f10r	f10r.2	cthoor	WORKSHOP_PROSE	2	O	LAUF	Arbeitsgang ausführen
P931-A00038	P912-E0010	f10r	f10r.2	cthoor	WORKSHOP_PROSE	3	OR	EINTRAG	Ansatz oder Zubereitung
P931-A00039	P912-E0011	f10r	f10r.2	char	WORKSHOP_PROSE	1	AR	QUELLE	Entnahmestelle
P931-A00040	P912-E0012	f10r	f10r.2	chty	WORKSHOP_PROSE	1	CH	AUSWAHL_ENTNAHME	bezeichneten Anteil entnehmen
P931-A00041	P912-E0012	f10r	f10r.2	chty	WORKSHOP_PROSE	2	T	EINSTELLUNG	Arbeitsgang einstellen
P931-A00042	P912-E0012	f10r	f10r.2	chty	WORKSHOP_PROSE	3	Y	REFERENT	dieser Arbeitsgegenstand
P931-A00043	P912-E0013	f10r	f10r.2	os	WORKSHOP_PROSE	1	OS	ADDITION	dazu oder außerdem
P931-A00044	P912-E0014	f10r	f10r.2	chair	WORKSHOP_PROSE	1	CH	AUSWAHL_ENTNAHME	bezeichneten Anteil entnehmen
P931-A00045	P912-E0014	f10r	f10r.2	chair	WORKSHOP_PROSE	2	AIR	LAUFWEG	Flüssigkeits- oder Stationslauf
P931-A00046	P912-E0015	f10r	f10r.2	otytchol	WORKSHOP_PROSE	1	OT	NAECHSTER	danach oder nächster Posten
P931-A00047	P912-E0015	f10r	f10r.2	otytchol	WORKSHOP_PROSE	2	Y	REFERENT	dieser Arbeitsgegenstand
P931-A00048	P912-E0015	f10r	f10r.2	otytchol	WORKSHOP_PROSE	3	T	EINSTELLUNG	Arbeitsgang einstellen
P931-A00049	P912-E0015	f10r	f10r.2	otytchol	WORKSHOP_PROSE	4	CH	AUSWAHL_ENTNAHME	bezeichneten Anteil entnehmen
P931-A00050	P912-E0015	f10r	f10r.2	otytchol	WORKSHOP_PROSE	5	OL	FORTSETZUNG	im selben Arbeitsgang fortfahren
P931-A00051	P912-E0016	f10r	f10r.2	oky	WORKSHOP_PROSE	1	OK	AKTIVIEREN	Arbeitsgang ansetzen
P931-A00052	P912-E0016	f10r	f10r.2	oky	WORKSHOP_PROSE	2	Y	REFERENT	dieser Arbeitsgegenstand
P931-A00053	P912-E0017	f10r	f10r.2	daiin	WORKSHOP_PROSE	1	AIIN	SOLLWERT	Sollmaß
