editorial_rule_index	source_locus_address	source_locus	surface_entry_display_only	layout_class_descriptive_only	technical_rule_German	medical_election_comparator	polarity_from_layout	crosspage_alignment	orientation_status	same_entry_contract	source_lineage
1	A3:LOC:f69v.4	f69v.4	okeey sar	LONG	Warmen Arbeitsgang nach Abendbeginn freigeben.	favorable for a warm bath; especially after sunset	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
2	A3:LOC:f69v.5	f69v.5	okeo dy	SHORT	Kühlen Waschgang einmal ausführen und danach stoppen.	use a cool washing; then stop	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
3	A3:LOC:f69v.6	f69v.6	ochoyk	LONG	Schneiden, Bohren oder Öffnen an diesem Termin unterlassen.	avoid bloodletting	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
4	A3:LOC:f69v.7	f69v.7	ykeey	SHORT	Bewegliche Verbindung ölen und den Lauf prüfen.	favorable for anointing	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
5	A3:LOC:f69v.8	f69v.8	ytory	LONG	Am oberen Gerüst- oder Leitungsabschnitt arbeiten.	apply to the upper body	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
6	A3:LOC:f69v.9	f69v.9	oeesy	SHORT	Anlage ruhen lassen und keinen Abzug öffnen.	rest and give no purge	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
7	A3:LOC:f69v.10	f69v.10	ytody	LONG	Einen einzelnen Spülgang vollständig ausführen.	complete a single rinse	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
8	A3:LOC:f69v.11	f69v.11	okody	SHORT	Überschüssige Flüssigkeit kontrolliert ablassen.	draw off excess fluid	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
9	A3:LOC:f69v.12	f69v.12	otody	LONG	Starke Erwärmung vermeiden.	avoid a hot bath	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
10	A3:LOC:f69v.13	f69v.13	okeal	SHORT	Den unteren Kanal- oder Beckenabschnitt bedienen.	apply below the waist	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
11	A3:LOC:f69v.14	f69v.14	okeod	LONG	Den gewöhnlichen Arbeitsgang freigeben und die Charge einmal umlaufen lassen.	favorable for bathing	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
12	A3:LOC:f69v.15	f69v.15	oteeys	SHORT	Den Waschgang genau einmal wiederholen.	repeat the wash once	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
13	A3:LOC:f69v.16	f69v.16	oteol	LONG	Die vorige Charge unverändert wiederverwenden.	use the same preparation	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
14	A3:LOC:f69v.17	f69v.17	ykeydy	SHORT	Die Charge nur bis handwarm erwärmen.	bathe until gently warm	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
15	A3:LOC:f69v.18	f69v.18	okeod	LONG	Den gewöhnlichen Arbeitsgang freigeben und die Charge einmal umlaufen lassen.	favorable for bathing	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
16	A3:LOC:f69v.19	f69v.19	saral	SHORT	Die markierte Verbindung ölen.	anoint the affected place	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
17	A3:LOC:f69v.20	f69v.20	saiir	LONG	Arbeit und Anlage in Ruhe halten.	keep the patient at rest	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
18	A3:LOC:f69v.21	f69v.21	okolar	SHORT	Nur die kleinere Sollmenge verwenden.	use a smaller measure	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
19	A3:LOC:f69v.22	f69v.22	ykeody	LONG	Spülen und den Auftrag schließen.	rinse and finish	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
20	A3:LOC:f69v.23	f69v.23	sarydy	SHORT	Den Arbeitsgang kein zweites Mal ausführen.	avoid a second application	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
21	A3:LOC:f69v.24	f69v.24	otchy	LONG	Getrocknetes Vorratsmaterial einsetzen.	use the dried herb	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
22	A3:LOC:f69v.25	f69v.25	okeey dy	SHORT	Warmen Arbeitsgang ausführen und danach stoppen.	favorable for a warm bath; then stop	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
23	A3:LOC:f69v.26	f69v.26	okey d	LONG	Gewöhnlichen Arbeitsgang unter dem eingetragenen Grenzwert ausführen.	make the ordinary bath; under the stated limit	NO	NONE	EDITORIAL_INDEX_ONLY;AUTHOR_START_AND_DIRECTION_UNLICENSED	IDENTICAL_FULL_ENTRY_MUST_KEEP_IDENTICAL_TECHNICAL_RULE	V22_F69_RULE>V55_SELECTED_LOCAL_SCHEDULE>V66_R3_TECHNICAL_RULE
