group_serial	page	locus	event_index	source_event_serial	surface_ZL3b	locus_role	inventory_item	default_content_German	content_status	external_label_status	historical_basis_ids	rotation_start_status	f68_f69_mapping	confidence
1	f67r2	f67r2.1	1	11841	ykshy	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z01	[LOKALER EXEMPLARTEXT 1/3; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 1: Widder; Körperbezirk: Kopf und	LOCAL_EXEMPLAR_SEGMENT_NOT_PORTABLE_CARD_VALUE	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	S1|S2|S3|S4	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	0.46
2	f67r2	f67r2.1	2	11842	s	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z01	[LOKALER EXEMPLARTEXT 2/3; KEINE KARTENGLOSSE] Gesicht; bei Mond in diesem Zeichen den Bezirk	LOCAL_EXEMPLAR_SEGMENT_NOT_PORTABLE_CARD_VALUE	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	S1|S2|S3|S4	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	0.46
3	f67r2	f67r2.1	3	11843	aram	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z01	[LOKALER EXEMPLARTEXT 3/3; KEINE KARTENGLOSSE] schonen und dort keinen starken Eingriff vornehmen.	LOCAL_EXEMPLAR_SEGMENT_NOT_PORTABLE_CARD_VALUE	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	S1|S2|S3|S4	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	0.46
4	f67r2	f67r2.2	1	11844	ykecho	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z02	[LOKALER EXEMPLARTEXT 1/3; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 2: Stier; Körperbezirk: Hals und	LOCAL_EXEMPLAR_SEGMENT_NOT_PORTABLE_CARD_VALUE	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	S1|S2|S3|S4	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	0.46
5	f67r2	f67r2.2	2	11845	ols	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z02	[LOKALER EXEMPLARTEXT 2/3; KEINE KARTENGLOSSE] Kehle; bei Mond in diesem Zeichen den Bezirk	LOCAL_EXEMPLAR_SEGMENT_NOT_PORTABLE_CARD_VALUE	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	S1|S2|S3|S4	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	0.46
6	f67r2	f67r2.2	3	11846	eesydy	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z02	[LOKALER EXEMPLARTEXT 3/3; KEINE KARTENGLOSSE] schonen und dort keinen starken Eingriff vornehmen.	LOCAL_EXEMPLAR_SEGMENT_NOT_PORTABLE_CARD_VALUE	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	S1|S2|S3|S4	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	0.46
7	f67r2	f67r2.3	1	11847	ey	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z03	[LOKALER EXEMPLARTEXT 1/3; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 3: Zwillinge; Körperbezirk: Schultern, Arme	LOCAL_EXEMPLAR_SEGMENT_NOT_PORTABLE_CARD_VALUE	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	S1|S2|S3|S4	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	0.46
8	f67r2	f67r2.3	2	11848	shs	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z03	[LOKALER EXEMPLARTEXT 2/3; KEINE KARTENGLOSSE] und Hände; bei Mond in diesem Zeichen den	LOCAL_EXEMPLAR_SEGMENT_NOT_PORTABLE_CARD_VALUE	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	S1|S2|S3|S4	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	0.46
9	f67r2	f67r2.3	3	11849	okar	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z03	[LOKALER EXEMPLARTEXT 3/3; KEINE KARTENGLOSSE] Bezirk schonen und dort keinen starken Eingriff vornehmen.	LOCAL_EXEMPLAR_SEGMENT_NOT_PORTABLE_CARD_VALUE	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	S1|S2|S3|S4	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	0.46
10	f67r2	f67r2.4	1	11850	shekchy	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z04	[LOKALER EXEMPLARTEXT 1/2; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 4: Krebs; Körperbezirk: Brust und Brüste; bei Mond in	LOCAL_EXEMPLAR_SEGMENT_NOT_PORTABLE_CARD_VALUE	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	S1|S2|S3|S4	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	0.46
