rule_address	source_locus	surface_entry_display_only	medical_regimen_default	technical_calendar_rival	layout_class	layout_polarity	ordered_rule_index	cyclic_orientation_status	cross_page_join
A69:R01	f69v.4	okeey sar	[ASTRO_LOKAL_EXEMPLAR] für ein Warmbad günstig ; besonders nach Sonnenuntergang	[ARBEITSKALENDER_RIVALE] den Warmgang nach Sonnenuntergang freigeben	LONG	NONE	1	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R02	f69v.5	okeo dy	[ASTRO_LOKAL_EXEMPLAR] eine kühle Waschung verwenden ; danach aufhören	[ARBEITSKALENDER_RIVALE] kühl spülen und dann stoppen	SHORT	NONE	2	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R03	f69v.6	ochoyk	[ASTRO_LOKAL_EXEMPLAR] Aderlass meiden	[ARBEITSKALENDER_RIVALE] Schneidarbeit aussetzen	LONG	NONE	3	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R04	f69v.7	ykeey	[ASTRO_LOKAL_EXEMPLAR] für eine Salbung günstig	[ARBEITSKALENDER_RIVALE] den Schmiergang freigeben	SHORT	NONE	4	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R05	f69v.8	ytory	[ASTRO_LOKAL_EXEMPLAR] am Oberkörper anwenden	[ARBEITSKALENDER_RIVALE] am oberen Anschluss arbeiten	LONG	NONE	5	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R06	f69v.9	oeesy	[ASTRO_LOKAL_EXEMPLAR] ruhen lassen und nicht purgieren	[ARBEITSKALENDER_RIVALE] die Charge ruhen lassen und nicht entleeren	SHORT	NONE	6	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R07	f69v.10	ytody	[ASTRO_LOKAL_EXEMPLAR] genau eine Spülung abschließen	[ARBEITSKALENDER_RIVALE] genau einen Spülgang abschließen	LONG	NONE	7	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R08	f69v.11	okody	[ASTRO_LOKAL_EXEMPLAR] überschüssige Flüssigkeit abziehen	[ARBEITSKALENDER_RIVALE] überschüssige Flüssigkeit abziehen	SHORT	NONE	8	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R09	f69v.12	otody	[ASTRO_LOKAL_EXEMPLAR] ein heißes Bad meiden	[ARBEITSKALENDER_RIVALE] den Heißgang vermeiden	LONG	NONE	9	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R10	f69v.13	okeal	[ASTRO_LOKAL_EXEMPLAR] unterhalb der Taille anwenden	[ARBEITSKALENDER_RIVALE] am unteren Anschluss arbeiten	SHORT	NONE	10	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R11	f69v.14	okeod	[ASTRO_LOKAL_EXEMPLAR] für Baden günstig	[ARBEITSKALENDER_RIVALE] den Beckengang freigeben	LONG	NONE	11	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R12	f69v.15	oteeys	[ASTRO_LOKAL_EXEMPLAR] die Waschung einmal wiederholen	[ARBEITSKALENDER_RIVALE] den Spülgang einmal wiederholen	SHORT	NONE	12	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R13	f69v.16	oteol	[ASTRO_LOKAL_EXEMPLAR] denselben Ansatz verwenden	[ARBEITSKALENDER_RIVALE] dieselbe Charge verwenden	LONG	NONE	13	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R14	f69v.17	ykeydy	[ASTRO_LOKAL_EXEMPLAR] baden, bis es gelind warm ist	[ARBEITSKALENDER_RIVALE] den Beckengang bis lauwarm fahren	SHORT	NONE	14	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R15	f69v.18	okeod	[ASTRO_LOKAL_EXEMPLAR] für Baden günstig	[ARBEITSKALENDER_RIVALE] den Beckengang freigeben	LONG	NONE	15	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R16	f69v.19	saral	[ASTRO_LOKAL_EXEMPLAR] die betroffene Stelle salben	[ARBEITSKALENDER_RIVALE] den markierten Anschluss schmieren	SHORT	NONE	16	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R17	f69v.20	saiir	[ASTRO_LOKAL_EXEMPLAR] die kranke Person ruhen lassen	[ARBEITSKALENDER_RIVALE] die Anlage in Ruhe halten	LONG	NONE	17	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R18	f69v.21	okolar	[ASTRO_LOKAL_EXEMPLAR] ein kleineres Maß verwenden	[ARBEITSKALENDER_RIVALE] ein kleineres Maß einstellen	SHORT	NONE	18	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R19	f69v.22	ykeody	[ASTRO_LOKAL_EXEMPLAR] spülen und abschließen	[ARBEITSKALENDER_RIVALE] spülen und abschließen	LONG	NONE	19	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R20	f69v.23	sarydy	[ASTRO_LOKAL_EXEMPLAR] eine zweite Anwendung meiden	[ARBEITSKALENDER_RIVALE] keinen zweiten Durchgang ausführen	SHORT	NONE	20	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R21	f69v.24	otchy	[ASTRO_LOKAL_EXEMPLAR] das getrocknete Kraut verwenden	[ARBEITSKALENDER_RIVALE] getrocknetes Arbeitsmaterial verwenden	LONG	NONE	21	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R22	f69v.25	okeey dy	[ASTRO_LOKAL_EXEMPLAR] für ein Warmbad günstig ; danach aufhören	[ARBEITSKALENDER_RIVALE] den Warmgang freigeben und dann stoppen	SHORT	NONE	22	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R23	f69v.26	okey d	[ASTRO_LOKAL_EXEMPLAR] das gewöhnliche Bad bereiten ; unter der angegebenen Grenze	[ARBEITSKALENDER_RIVALE] den Standard-Beckengang unter dem Grenzwert fahren	LONG	NONE	23	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R24	f69v.27	okeod	[ASTRO_LOKAL_EXEMPLAR] für Baden günstig	[ARBEITSKALENDER_RIVALE] den Beckengang freigeben	SHORT	NONE	24	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R25	f69v.28	okodchy	[ASTRO_LOKAL_EXEMPLAR] den Kräuterauszug seihen	[ARBEITSKALENDER_RIVALE] die Arbeitsflüssigkeit filtern	LONG	NONE	25	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R26	f69v.29	okeody	[ASTRO_LOKAL_EXEMPLAR] gießen und abschließen	[ARBEITSKALENDER_RIVALE] gießen und abschließen	SHORT	NONE	26	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R27	f69v.30	okcheys	[ASTRO_LOKAL_EXEMPLAR] ein warmes Tuch auflegen	[ARBEITSKALENDER_RIVALE] ein warmes Filtertuch anbringen	LONG	NONE	27	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
A69:R28	f69v.31	oar alys	[ASTRO_LOKAL_EXEMPLAR] das Mondhaus beobachten ; bei Schwäche die Behandlung zurückhalten	[ARBEITSKALENDER_RIVALE] die Station prüfen und bei schwachem Lauf stoppen	SHORT	NONE	28	SOURCE_ORDER_FIXED;START_AND_DIRECTION_NOT_PROMOTED_TO_F68_MAPPING	NONE
