system	orientation_id	direction	rotation_offset	full_mapping_or_traversal	evidence_preference	teaching_default	status	cross_page_join
A68_SPATIAL	A68_SPATIAL_ASC_R00	ASC	0	S01=M01|S02=M02|S03=M03|S04=M04|S05=M05|S06=M06|S07=M07|S08=M08|S09=M09|S10=M10|S11=M11|S12=M12|S13=M13|S14=M14|S15=M15|S16=M16|S17=M17|S18=M18|S19=M19|S20=M20|S21=M21|S22=M22|S23=M23|S24=M24|S25=M25|S26=M26|S27=M27|S28=M28	NONE	YES_EDITORIAL_ONLY	ALL_56_ASSIGNMENTS_STRUCTURALLY_LIVE;R0_ASC_ONLY_EDITORIAL_TEACHING_DEFAULT	NONE
A68_SPATIAL	A68_SPATIAL_ASC_R01	ASC	1	S01=M02|S02=M03|S03=M04|S04=M05|S05=M06|S06=M07|S07=M08|S08=M09|S09=M10|S10=M11|S11=M12|S12=M13|S13=M14|S14=M15|S15=M16|S16=M17|S17=M18|S18=M19|S19=M20|S20=M21|S21=M22|S22=M23|S23=M24|S24=M25|S25=M26|S26=M27|S27=M28|S28=M01	NONE	NO	ALL_56_ASSIGNMENTS_STRUCTURALLY_LIVE;R0_ASC_ONLY_EDITORIAL_TEACHING_DEFAULT	NONE
A68_SPATIAL	A68_SPATIAL_ASC_R02	ASC	2	S01=M03|S02=M04|S03=M05|S04=M06|S05=M07|S06=M08|S07=M09|S08=M10|S09=M11|S10=M12|S11=M13|S12=M14|S13=M15|S14=M16|S15=M17|S16=M18|S17=M19|S18=M20|S19=M21|S20=M22|S21=M23|S22=M24|S23=M25|S24=M26|S25=M27|S26=M28|S27=M01|S28=M02	NONE	NO	ALL_56_ASSIGNMENTS_STRUCTURALLY_LIVE;R0_ASC_ONLY_EDITORIAL_TEACHING_DEFAULT	NONE
A68_SPATIAL	A68_SPATIAL_ASC_R03	ASC	3	S01=M04|S02=M05|S03=M06|S04=M07|S05=M08|S06=M09|S07=M10|S08=M11|S09=M12|S10=M13|S11=M14|S12=M15|S13=M16|S14=M17|S15=M18|S16=M19|S17=M20|S18=M21|S19=M22|S20=M23|S21=M24|S22=M25|S23=M26|S24=M27|S25=M28|S26=M01|S27=M02|S28=M03	NONE	NO	ALL_56_ASSIGNMENTS_STRUCTURALLY_LIVE;R0_ASC_ONLY_EDITORIAL_TEACHING_DEFAULT	NONE
A68_SPATIAL	A68_SPATIAL_ASC_R04	ASC	4	S01=M05|S02=M06|S03=M07|S04=M08|S05=M09|S06=M10|S07=M11|S08=M12|S09=M13|S10=M14|S11=M15|S12=M16|S13=M17|S14=M18|S15=M19|S16=M20|S17=M21|S18=M22|S19=M23|S20=M24|S21=M25|S22=M26|S23=M27|S24=M28|S25=M01|S26=M02|S27=M03|S28=M04	NONE	NO	ALL_56_ASSIGNMENTS_STRUCTURALLY_LIVE;R0_ASC_ONLY_EDITORIAL_TEACHING_DEFAULT	NONE
A68_SPATIAL	A68_SPATIAL_ASC_R05	ASC	5	S01=M06|S02=M07|S03=M08|S04=M09|S05=M10|S06=M11|S07=M12|S08=M13|S09=M14|S10=M15|S11=M16|S12=M17|S13=M18|S14=M19|S15=M20|S16=M21|S17=M22|S18=M23|S19=M24|S20=M25|S21=M26|S22=M27|S23=M28|S24=M01|S25=M02|S26=M03|S27=M04|S28=M05	NONE	NO	ALL_56_ASSIGNMENTS_STRUCTURALLY_LIVE;R0_ASC_ONLY_EDITORIAL_TEACHING_DEFAULT	NONE
A68_SPATIAL	A68_SPATIAL_ASC_R06	ASC	6	S01=M07|S02=M08|S03=M09|S04=M10|S05=M11|S06=M12|S07=M13|S08=M14|S09=M15|S10=M16|S11=M17|S12=M18|S13=M19|S14=M20|S15=M21|S16=M22|S17=M23|S18=M24|S19=M25|S20=M26|S21=M27|S22=M28|S23=M01|S24=M02|S25=M03|S26=M04|S27=M05|S28=M06	NONE	NO	ALL_56_ASSIGNMENTS_STRUCTURALLY_LIVE;R0_ASC_ONLY_EDITORIAL_TEACHING_DEFAULT	NONE
A68_SPATIAL	A68_SPATIAL_ASC_R07	ASC	7	S01=M08|S02=M09|S03=M10|S04=M11|S05=M12|S06=M13|S07=M14|S08=M15|S09=M16|S10=M17|S11=M18|S12=M19|S13=M20|S14=M21|S15=M22|S16=M23|S17=M24|S18=M25|S19=M26|S20=M27|S21=M28|S22=M01|S23=M02|S24=M03|S25=M04|S26=M05|S27=M06|S28=M07	NONE	NO	ALL_56_ASSIGNMENTS_STRUCTURALLY_LIVE;R0_ASC_ONLY_EDITORIAL_TEACHING_DEFAULT	NONE
A68_SPATIAL	A68_SPATIAL_ASC_R08	ASC	8	S01=M09|S02=M10|S03=M11|S04=M12|S05=M13|S06=M14|S07=M15|S08=M16|S09=M17|S10=M18|S11=M19|S12=M20|S13=M21|S14=M22|S15=M23|S16=M24|S17=M25|S18=M26|S19=M27|S20=M28|S21=M01|S22=M02|S23=M03|S24=M04|S25=M05|S26=M06|S27=M07|S28=M08	NONE	NO	ALL_56_ASSIGNMENTS_STRUCTURALLY_LIVE;R0_ASC_ONLY_EDITORIAL_TEACHING_DEFAULT	NONE
A68_SPATIAL	A68_SPATIAL_ASC_R09	ASC	9	S01=M10|S02=M11|S03=M12|S04=M13|S05=M14|S06=M15|S07=M16|S08=M17|S09=M18|S10=M19|S11=M20|S12=M21|S13=M22|S14=M23|S15=M24|S16=M25|S17=M26|S18=M27|S19=M28|S20=M01|S21=M02|S22=M03|S23=M04|S24=M05|S25=M06|S26=M07|S27=M08|S28=M09	NONE	NO	ALL_56_ASSIGNMENTS_STRUCTURALLY_LIVE;R0_ASC_ONLY_EDITORIAL_TEACHING_DEFAULT	NONE
