local_locus_id	diagram_id	page	source_locus	locus_ordinal_editorial	group_count	local_group_ids	surface_sequence_display_only	instrument_component	local_lookup_address	technical_role_sequence	complete_technical_locus_reading_German	medical_election_comparator	orientation_contract	crosspage_contract	source_lineage
A1:L001	A1	f67r2	f67r2.1	1	3	A1:G001|A1:G002|A1:G003	ykshy s aram	COLUMN_12	A1:C01	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT > COLUMN_DESCRIPTOR_FRAGMENT	Termin-/Sektorspalte C01 wählen; Fragment 01 als opaken Merker bewahren ; Termin-/Sektorspalte C01 wählen; Fragment 02 als opaken Merker bewahren ; Termin-/Sektorspalte C01 wählen; Fragment 03 als opaken Merker bewahren	Aries: protect the head and face; avoid invasive treatment there ; its ruling quality ; its application rule	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L002	A1	f67r2	f67r2.2	2	3	A1:G004|A1:G005|A1:G006	ykecho ols eesydy	COLUMN_12	A1:C02	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT > COLUMN_DESCRIPTOR_FRAGMENT	Termin-/Sektorspalte C02 wählen; Fragment 01 als opaken Merker bewahren ; Termin-/Sektorspalte C02 wählen; Fragment 02 als opaken Merker bewahren ; Termin-/Sektorspalte C02 wählen; Fragment 03 als opaken Merker bewahren	Taurus: protect the neck and throat; avoid invasive treatment there ; its ruling quality ; its application rule	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L003	A1	f67r2	f67r2.3	3	3	A1:G007|A1:G008|A1:G009	ey shs okar	COLUMN_12	A1:C03	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT > COLUMN_DESCRIPTOR_FRAGMENT	Termin-/Sektorspalte C03 wählen; Fragment 01 als opaken Merker bewahren ; Termin-/Sektorspalte C03 wählen; Fragment 02 als opaken Merker bewahren ; Termin-/Sektorspalte C03 wählen; Fragment 03 als opaken Merker bewahren	Gemini: protect the shoulders, arms and hands; avoid invasive treatment there ; its ruling quality ; its application rule	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L004	A1	f67r2	f67r2.4	4	2	A1:G010|A1:G011	shekchy sykos	COLUMN_12	A1:C04	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT	Termin-/Sektorspalte C04 wählen; Fragment 01 als opaken Merker bewahren ; Termin-/Sektorspalte C04 wählen; Fragment 02 als opaken Merker bewahren	Cancer: protect the chest and breast; avoid invasive treatment there ; its ruling quality	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L005	A1	f67r2	f67r2.5	5	2	A1:G012|A1:G013	ykeody okchy	COLUMN_12	A1:C05	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT	Termin-/Sektorspalte C05 wählen; Fragment 01 als opaken Merker bewahren ; Termin-/Sektorspalte C05 wählen; Fragment 02 als opaken Merker bewahren	Leo: protect the heart and upper back; avoid invasive treatment there ; its ruling quality	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L006	A1	f67r2	f67r2.6	6	1	A1:G014	dchetay	COLUMN_12	A1:C06	COLUMN_KEY	Termin-/Sektorspalte C06 wählen; Fragment 01 als opaken Merker bewahren	Virgo: protect the belly and intestines; avoid invasive treatment there	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L007	A1	f67r2	f67r2.7	7	3	A1:G015|A1:G016|A1:G017	ykchy kchey ykchys	COLUMN_12	A1:C07	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT > COLUMN_DESCRIPTOR_FRAGMENT	Termin-/Sektorspalte C07 wählen; Fragment 01 als opaken Merker bewahren ; Termin-/Sektorspalte C07 wählen; Fragment 02 als opaken Merker bewahren ; Termin-/Sektorspalte C07 wählen; Fragment 03 als opaken Merker bewahren	Libra: protect the lower back and kidneys; avoid invasive treatment there ; its ruling quality ; its application rule	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L008	A1	f67r2	f67r2.8	8	1	A1:G018	chkchdar	COLUMN_12	A1:C08	COLUMN_KEY	Termin-/Sektorspalte C08 wählen; Fragment 01 als opaken Merker bewahren	Scorpio: protect the genitals and bladder; avoid invasive treatment there	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L009	A1	f67r2	f67r2.9	9	2	A1:G019|A1:G020	ykar ykaly	COLUMN_12	A1:C09	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT	Termin-/Sektorspalte C09 wählen; Fragment 01 als opaken Merker bewahren ; Termin-/Sektorspalte C09 wählen; Fragment 02 als opaken Merker bewahren	Sagittarius: protect the hips and thighs; avoid invasive treatment there ; its ruling quality	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L010	A1	f67r2	f67r2.10	10	3	A1:G021|A1:G022|A1:G023	lkshy kchy okar	COLUMN_12	A1:C10	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT > COLUMN_DESCRIPTOR_FRAGMENT	Termin-/Sektorspalte C10 wählen; Fragment 01 als opaken Merker bewahren ; Termin-/Sektorspalte C10 wählen; Fragment 02 als opaken Merker bewahren ; Termin-/Sektorspalte C10 wählen; Fragment 03 als opaken Merker bewahren	Capricorn: protect the knees; avoid invasive treatment there ; its ruling quality ; its application rule	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
