configuration_id	planet_axis_index	planet_default	planet_quality_exemplar	zodiac_axis_index	zodiac_default	body_sector_exemplar	medical_configuration_default	calendar_rival_default	visible_matrix_cell	composition_rule
A67:P01xZ01	1	Saturn	kalt und trocken	1	Widder	Kopf und Gesicht	[IATROMED_EXEMPLAR] Unter Saturn im Widder: Kopf und Gesicht schonen; starke Eingriffe verschieben und nur mäßig behandeln.	[KALENDER_RIVALE] Samstag im Monatsabschnitt Januar: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P01xZ02	1	Saturn	kalt und trocken	2	Stier	Hals und Kehle	[IATROMED_EXEMPLAR] Unter Saturn im Stier: Hals und Kehle schonen; starke Eingriffe verschieben und nur mäßig behandeln.	[KALENDER_RIVALE] Samstag im Monatsabschnitt Februar: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P01xZ03	1	Saturn	kalt und trocken	3	Zwillinge	Schultern, Arme und Hände	[IATROMED_EXEMPLAR] Unter Saturn im Zwillinge: Schultern, Arme und Hände schonen; starke Eingriffe verschieben und nur mäßig behandeln.	[KALENDER_RIVALE] Samstag im Monatsabschnitt März: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P01xZ04	1	Saturn	kalt und trocken	4	Krebs	Brustkorb und Brust	[IATROMED_EXEMPLAR] Unter Saturn im Krebs: Brustkorb und Brust schonen; starke Eingriffe verschieben und nur mäßig behandeln.	[KALENDER_RIVALE] Samstag im Monatsabschnitt April: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P01xZ05	1	Saturn	kalt und trocken	5	Löwe	Herz und oberen Rücken	[IATROMED_EXEMPLAR] Unter Saturn im Löwe: Herz und oberen Rücken schonen; starke Eingriffe verschieben und nur mäßig behandeln.	[KALENDER_RIVALE] Samstag im Monatsabschnitt Mai: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P01xZ06	1	Saturn	kalt und trocken	6	Jungfrau	Bauch und Eingeweide	[IATROMED_EXEMPLAR] Unter Saturn im Jungfrau: Bauch und Eingeweide schonen; starke Eingriffe verschieben und nur mäßig behandeln.	[KALENDER_RIVALE] Samstag im Monatsabschnitt Juni: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P01xZ07	1	Saturn	kalt und trocken	7	Waage	unteren Rücken und Nieren	[IATROMED_EXEMPLAR] Unter Saturn im Waage: unteren Rücken und Nieren schonen; starke Eingriffe verschieben und nur mäßig behandeln.	[KALENDER_RIVALE] Samstag im Monatsabschnitt Juli: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P01xZ08	1	Saturn	kalt und trocken	8	Skorpion	Geschlechtsteile und Blase	[IATROMED_EXEMPLAR] Unter Saturn im Skorpion: Geschlechtsteile und Blase schonen; starke Eingriffe verschieben und nur mäßig behandeln.	[KALENDER_RIVALE] Samstag im Monatsabschnitt August: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P01xZ09	1	Saturn	kalt und trocken	9	Schütze	Hüften und Oberschenkel	[IATROMED_EXEMPLAR] Unter Saturn im Schütze: Hüften und Oberschenkel schonen; starke Eingriffe verschieben und nur mäßig behandeln.	[KALENDER_RIVALE] Samstag im Monatsabschnitt September: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P01xZ10	1	Saturn	kalt und trocken	10	Steinbock	Knie	[IATROMED_EXEMPLAR] Unter Saturn im Steinbock: Knie schonen; starke Eingriffe verschieben und nur mäßig behandeln.	[KALENDER_RIVALE] Samstag im Monatsabschnitt Oktober: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
