station_address	source_locus	surface_display_only	astro_local_group_id	editorial_mansion_id_R0	conventional_name_exemplar	german_memory_image	complete_default	strongest_rival	orientation_status	cross_page_join
A68:S01	f68r1.9	odchecthy	ASTRO_f68r1_009_01	M01	al-Sharatan	die zwei Hörner	[ASTRO_LOKAL_EXEMPLAR] S01: al-Sharatan, die zwei Hörner; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S01 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S02	f68r1.10	otcheody	ASTRO_f68r1_010_01	M02	al-Butayn	der kleine Bauch	[ASTRO_LOKAL_EXEMPLAR] S02: al-Butayn, der kleine Bauch; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S02 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S03	f68r1.11	okoaly	ASTRO_f68r1_011_01	M03	al-Thurayya	die Plejaden	[ASTRO_LOKAL_EXEMPLAR] S03: al-Thurayya, die Plejaden; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S03 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S04	f68r1.12	chocfhy	ASTRO_f68r1_012_01	M04	al-Dabaran	der Nachfolger/Aldebaran	[ASTRO_LOKAL_EXEMPLAR] S04: al-Dabaran, der Nachfolger/Aldebaran; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S04 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S05	f68r1.13	octhey	ASTRO_f68r1_013_01	M05	al-Haqa	das weiße Zeichen am Kopf	[ASTRO_LOKAL_EXEMPLAR] S05: al-Haqa, das weiße Zeichen am Kopf; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S05 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S06	f68r1.14	otshey	ASTRO_f68r1_014_01	M06	al-Hana	das Brandzeichen	[ASTRO_LOKAL_EXEMPLAR] S06: al-Hana, das Brandzeichen; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S06 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S07	f68r1.15	otydy	ASTRO_f68r1_015_01	M07	al-Dhira	der Unterarm	[ASTRO_LOKAL_EXEMPLAR] S07: al-Dhira, der Unterarm; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S07 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S08	f68r1.16	okear	ASTRO_f68r1_016_01	M08	al-Nathra	die Krippe	[ASTRO_LOKAL_EXEMPLAR] S08: al-Nathra, die Krippe; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S08 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S09	f68r1.17	cphocthy	ASTRO_f68r1_017_01	M09	al-Tarf	das Auge	[ASTRO_LOKAL_EXEMPLAR] S09: al-Tarf, das Auge; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S09 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S10	f68r1.18	ytchody	ASTRO_f68r1_018_01	M10	al-Jabha	die Stirn	[ASTRO_LOKAL_EXEMPLAR] S10: al-Jabha, die Stirn; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S10 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
