page	locus	event_index	surface_display_only	opaque_astro_id	page_local_role	complete_local_default_en	source_class	confidence	orientation_status	cross_page_identity	interpretive_limit
f67r2	f67r2.1	1	ykshy	ASTRO_f67r2_001_01	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	Aries: protect the head and face; avoid invasive treatment there	ZODIAC_BODY_SAFETY_SELECTOR	.36	UNORIENTED_LOCAL_LOCUS	NONE_ASSIGNED	LOCAL_DIAGRAM_MNEMONIC_NOT_WORD_TRANSLATION
f67r2	f67r2.1	2	s	ASTRO_f67r2_001_02	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	its ruling quality	ZODIAC_DIVISION	.30	UNORIENTED_LOCAL_LOCUS	NONE_ASSIGNED	LOCAL_DIAGRAM_MNEMONIC_NOT_WORD_TRANSLATION
f67r2	f67r2.1	3	aram	ASTRO_f67r2_001_03	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	its application rule	ZODIAC_DIVISION	.30	UNORIENTED_LOCAL_LOCUS	NONE_ASSIGNED	LOCAL_DIAGRAM_MNEMONIC_NOT_WORD_TRANSLATION
f67r2	f67r2.2	1	ykecho	ASTRO_f67r2_002_01	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	Taurus: protect the neck and throat; avoid invasive treatment there	ZODIAC_BODY_SAFETY_SELECTOR	.36	UNORIENTED_LOCAL_LOCUS	NONE_ASSIGNED	LOCAL_DIAGRAM_MNEMONIC_NOT_WORD_TRANSLATION
f67r2	f67r2.2	2	ols	ASTRO_f67r2_002_02	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	its ruling quality	ZODIAC_DIVISION	.30	UNORIENTED_LOCAL_LOCUS	NONE_ASSIGNED	LOCAL_DIAGRAM_MNEMONIC_NOT_WORD_TRANSLATION
f67r2	f67r2.2	3	eesydy	ASTRO_f67r2_002_03	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	its application rule	ZODIAC_DIVISION	.30	UNORIENTED_LOCAL_LOCUS	NONE_ASSIGNED	LOCAL_DIAGRAM_MNEMONIC_NOT_WORD_TRANSLATION
f67r2	f67r2.3	1	ey	ASTRO_f67r2_003_01	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	Gemini: protect the shoulders, arms and hands; avoid invasive treatment there	ZODIAC_BODY_SAFETY_SELECTOR	.36	UNORIENTED_LOCAL_LOCUS	NONE_ASSIGNED	LOCAL_DIAGRAM_MNEMONIC_NOT_WORD_TRANSLATION
f67r2	f67r2.3	2	shs	ASTRO_f67r2_003_02	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	its ruling quality	ZODIAC_DIVISION	.30	UNORIENTED_LOCAL_LOCUS	NONE_ASSIGNED	LOCAL_DIAGRAM_MNEMONIC_NOT_WORD_TRANSLATION
f67r2	f67r2.3	3	okar	ASTRO_f67r2_003_03	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	its application rule	ZODIAC_DIVISION	.30	UNORIENTED_LOCAL_LOCUS	NONE_ASSIGNED	LOCAL_DIAGRAM_MNEMONIC_NOT_WORD_TRANSLATION
f67r2	f67r2.4	1	shekchy	ASTRO_f67r2_004_01	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	Cancer: protect the chest and breast; avoid invasive treatment there	ZODIAC_BODY_SAFETY_SELECTOR	.36	UNORIENTED_LOCAL_LOCUS	NONE_ASSIGNED	LOCAL_DIAGRAM_MNEMONIC_NOT_WORD_TRANSLATION
f67r2	f67r2.4	2	sykos	ASTRO_f67r2_004_02	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	its ruling quality	ZODIAC_DIVISION	.30	UNORIENTED_LOCAL_LOCUS	NONE_ASSIGNED	LOCAL_DIAGRAM_MNEMONIC_NOT_WORD_TRANSLATION
f67r2	f67r2.5	1	ykeody	ASTRO_f67r2_005_01	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	Leo: protect the heart and upper back; avoid invasive treatment there	ZODIAC_BODY_SAFETY_SELECTOR	.36	UNORIENTED_LOCAL_LOCUS	NONE_ASSIGNED	LOCAL_DIAGRAM_MNEMONIC_NOT_WORD_TRANSLATION
f67r2	f67r2.5	2	okchy	ASTRO_f67r2_005_02	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	its ruling quality	ZODIAC_DIVISION	.30	UNORIENTED_LOCAL_LOCUS	NONE_ASSIGNED	LOCAL_DIAGRAM_MNEMONIC_NOT_WORD_TRANSLATION
f67r2	f67r2.6	1	dchetay	ASTRO_f67r2_006_01	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	Virgo: protect the belly and intestines; avoid invasive treatment there	ZODIAC_BODY_SAFETY_SELECTOR	.36	UNORIENTED_LOCAL_LOCUS	NONE_ASSIGNED	LOCAL_DIAGRAM_MNEMONIC_NOT_WORD_TRANSLATION
