virtual_cell_address	row_selector_address	column_selector_address	work_order_code	technical_default_German	visible_cell_value	auxiliary_axis	condition_axis	rotation_equivalence	orientation_status	source_lineage
A1:R01:C01	A1:R01	A1:C01	A1:W01	Arbeitsklasse R01 im Termin-/Sektorabschnitt C01 buchen; gewählten K-Slot gesondert prüfen	NONE;VIRTUAL_COMBINATION_ONLY	OPTIONAL_A1:X01-X12_CALLER_SUPPLIED	REQUIRED_A1:K01-K08_CALLER_SUPPLIED	C7xC12_ORBIT;canonical_coordinates_are_editorial_R01_C01	NO_AUTHORIAL_ROW_OR_COLUMN_ORIGIN_CLAIM	V55_7x12_FORMAL_ROLE>V66_R3_VIRTUAL_MATRIX
A1:R01:C02	A1:R01	A1:C02	A1:W02	Arbeitsklasse R01 im Termin-/Sektorabschnitt C02 buchen; gewählten K-Slot gesondert prüfen	NONE;VIRTUAL_COMBINATION_ONLY	OPTIONAL_A1:X01-X12_CALLER_SUPPLIED	REQUIRED_A1:K01-K08_CALLER_SUPPLIED	C7xC12_ORBIT;canonical_coordinates_are_editorial_R01_C02	NO_AUTHORIAL_ROW_OR_COLUMN_ORIGIN_CLAIM	V55_7x12_FORMAL_ROLE>V66_R3_VIRTUAL_MATRIX
A1:R01:C03	A1:R01	A1:C03	A1:W03	Arbeitsklasse R01 im Termin-/Sektorabschnitt C03 buchen; gewählten K-Slot gesondert prüfen	NONE;VIRTUAL_COMBINATION_ONLY	OPTIONAL_A1:X01-X12_CALLER_SUPPLIED	REQUIRED_A1:K01-K08_CALLER_SUPPLIED	C7xC12_ORBIT;canonical_coordinates_are_editorial_R01_C03	NO_AUTHORIAL_ROW_OR_COLUMN_ORIGIN_CLAIM	V55_7x12_FORMAL_ROLE>V66_R3_VIRTUAL_MATRIX
A1:R01:C04	A1:R01	A1:C04	A1:W04	Arbeitsklasse R01 im Termin-/Sektorabschnitt C04 buchen; gewählten K-Slot gesondert prüfen	NONE;VIRTUAL_COMBINATION_ONLY	OPTIONAL_A1:X01-X12_CALLER_SUPPLIED	REQUIRED_A1:K01-K08_CALLER_SUPPLIED	C7xC12_ORBIT;canonical_coordinates_are_editorial_R01_C04	NO_AUTHORIAL_ROW_OR_COLUMN_ORIGIN_CLAIM	V55_7x12_FORMAL_ROLE>V66_R3_VIRTUAL_MATRIX
A1:R01:C05	A1:R01	A1:C05	A1:W05	Arbeitsklasse R01 im Termin-/Sektorabschnitt C05 buchen; gewählten K-Slot gesondert prüfen	NONE;VIRTUAL_COMBINATION_ONLY	OPTIONAL_A1:X01-X12_CALLER_SUPPLIED	REQUIRED_A1:K01-K08_CALLER_SUPPLIED	C7xC12_ORBIT;canonical_coordinates_are_editorial_R01_C05	NO_AUTHORIAL_ROW_OR_COLUMN_ORIGIN_CLAIM	V55_7x12_FORMAL_ROLE>V66_R3_VIRTUAL_MATRIX
A1:R01:C06	A1:R01	A1:C06	A1:W06	Arbeitsklasse R01 im Termin-/Sektorabschnitt C06 buchen; gewählten K-Slot gesondert prüfen	NONE;VIRTUAL_COMBINATION_ONLY	OPTIONAL_A1:X01-X12_CALLER_SUPPLIED	REQUIRED_A1:K01-K08_CALLER_SUPPLIED	C7xC12_ORBIT;canonical_coordinates_are_editorial_R01_C06	NO_AUTHORIAL_ROW_OR_COLUMN_ORIGIN_CLAIM	V55_7x12_FORMAL_ROLE>V66_R3_VIRTUAL_MATRIX
A1:R01:C07	A1:R01	A1:C07	A1:W07	Arbeitsklasse R01 im Termin-/Sektorabschnitt C07 buchen; gewählten K-Slot gesondert prüfen	NONE;VIRTUAL_COMBINATION_ONLY	OPTIONAL_A1:X01-X12_CALLER_SUPPLIED	REQUIRED_A1:K01-K08_CALLER_SUPPLIED	C7xC12_ORBIT;canonical_coordinates_are_editorial_R01_C07	NO_AUTHORIAL_ROW_OR_COLUMN_ORIGIN_CLAIM	V55_7x12_FORMAL_ROLE>V66_R3_VIRTUAL_MATRIX
A1:R01:C08	A1:R01	A1:C08	A1:W08	Arbeitsklasse R01 im Termin-/Sektorabschnitt C08 buchen; gewählten K-Slot gesondert prüfen	NONE;VIRTUAL_COMBINATION_ONLY	OPTIONAL_A1:X01-X12_CALLER_SUPPLIED	REQUIRED_A1:K01-K08_CALLER_SUPPLIED	C7xC12_ORBIT;canonical_coordinates_are_editorial_R01_C08	NO_AUTHORIAL_ROW_OR_COLUMN_ORIGIN_CLAIM	V55_7x12_FORMAL_ROLE>V66_R3_VIRTUAL_MATRIX
A1:R01:C09	A1:R01	A1:C09	A1:W09	Arbeitsklasse R01 im Termin-/Sektorabschnitt C09 buchen; gewählten K-Slot gesondert prüfen	NONE;VIRTUAL_COMBINATION_ONLY	OPTIONAL_A1:X01-X12_CALLER_SUPPLIED	REQUIRED_A1:K01-K08_CALLER_SUPPLIED	C7xC12_ORBIT;canonical_coordinates_are_editorial_R01_C09	NO_AUTHORIAL_ROW_OR_COLUMN_ORIGIN_CLAIM	V55_7x12_FORMAL_ROLE>V66_R3_VIRTUAL_MATRIX
A1:R01:C10	A1:R01	A1:C10	A1:W10	Arbeitsklasse R01 im Termin-/Sektorabschnitt C10 buchen; gewählten K-Slot gesondert prüfen	NONE;VIRTUAL_COMBINATION_ONLY	OPTIONAL_A1:X01-X12_CALLER_SUPPLIED	REQUIRED_A1:K01-K08_CALLER_SUPPLIED	C7xC12_ORBIT;canonical_coordinates_are_editorial_R01_C10	NO_AUTHORIAL_ROW_OR_COLUMN_ORIGIN_CLAIM	V55_7x12_FORMAL_ROLE>V66_R3_VIRTUAL_MATRIX
A1:R01:C11	A1:R01	A1:C11	A1:W11	Arbeitsklasse R01 im Termin-/Sektorabschnitt C11 buchen; gewählten K-Slot gesondert prüfen	NONE;VIRTUAL_COMBINATION_ONLY	OPTIONAL_A1:X01-X12_CALLER_SUPPLIED	REQUIRED_A1:K01-K08_CALLER_SUPPLIED	C7xC12_ORBIT;canonical_coordinates_are_editorial_R01_C11	NO_AUTHORIAL_ROW_OR_COLUMN_ORIGIN_CLAIM	V55_7x12_FORMAL_ROLE>V66_R3_VIRTUAL_MATRIX
A1:R01:C12	A1:R01	A1:C12	A1:W12	Arbeitsklasse R01 im Termin-/Sektorabschnitt C12 buchen; gewählten K-Slot gesondert prüfen	NONE;VIRTUAL_COMBINATION_ONLY	OPTIONAL_A1:X01-X12_CALLER_SUPPLIED	REQUIRED_A1:K01-K08_CALLER_SUPPLIED	C7xC12_ORBIT;canonical_coordinates_are_editorial_R01_C12	NO_AUTHORIAL_ROW_OR_COLUMN_ORIGIN_CLAIM	V55_7x12_FORMAL_ROLE>V66_R3_VIRTUAL_MATRIX
