catalogue_entry_type	source_locus	local_address	editorial_station_index	surface_display_only	technical_default_German	lookup_key	rotation_equivalence	orientation_status	crosspage_mapping	source_lineage
CENTER	f68r1.8	A2:CENTER	NONE	okodaly	Opaken Mittelpunkt als Besitzer des räumlichen Katalogs setzen	DRAWN_CENTER_ONLY	FIXED_CENTER_UNDER_ALL_C28_ROTATIONS	NO_START;NO_DIRECTION	NONE	V55_CENTER_PLUS_28>V66_R3_ADDRESS_CATALOGUE
SPATIAL_STATION	f68r1.9	A2:LOC:f68r1.9	1	odchecthy	Nach gezeichneter Lage die Ortsadresse f68r1.9 wählen und den angehängten Merker unverändert nachschlagen	DRAWN_2D_LOCUS;NOT_NUMBER	C28_ENUMERATION_ORBIT;SPATIAL_LOCUS_REMAINS_PRIMARY	EDITORIAL_INDEX_ONLY;NO_START;NO_DIRECTION	NONE	V55_CENTER_PLUS_28>V66_R3_ADDRESS_CATALOGUE
SPATIAL_STATION	f68r1.10	A2:LOC:f68r1.10	2	otcheody	Nach gezeichneter Lage die Ortsadresse f68r1.10 wählen und den angehängten Merker unverändert nachschlagen	DRAWN_2D_LOCUS;NOT_NUMBER	C28_ENUMERATION_ORBIT;SPATIAL_LOCUS_REMAINS_PRIMARY	EDITORIAL_INDEX_ONLY;NO_START;NO_DIRECTION	NONE	V55_CENTER_PLUS_28>V66_R3_ADDRESS_CATALOGUE
SPATIAL_STATION	f68r1.11	A2:LOC:f68r1.11	3	okoaly	Nach gezeichneter Lage die Ortsadresse f68r1.11 wählen und den angehängten Merker unverändert nachschlagen	DRAWN_2D_LOCUS;NOT_NUMBER	C28_ENUMERATION_ORBIT;SPATIAL_LOCUS_REMAINS_PRIMARY	EDITORIAL_INDEX_ONLY;NO_START;NO_DIRECTION	NONE	V55_CENTER_PLUS_28>V66_R3_ADDRESS_CATALOGUE
SPATIAL_STATION	f68r1.12	A2:LOC:f68r1.12	4	chocfhy	Nach gezeichneter Lage die Ortsadresse f68r1.12 wählen und den angehängten Merker unverändert nachschlagen	DRAWN_2D_LOCUS;NOT_NUMBER	C28_ENUMERATION_ORBIT;SPATIAL_LOCUS_REMAINS_PRIMARY	EDITORIAL_INDEX_ONLY;NO_START;NO_DIRECTION	NONE	V55_CENTER_PLUS_28>V66_R3_ADDRESS_CATALOGUE
SPATIAL_STATION	f68r1.13	A2:LOC:f68r1.13	5	octhey	Nach gezeichneter Lage die Ortsadresse f68r1.13 wählen und den angehängten Merker unverändert nachschlagen	DRAWN_2D_LOCUS;NOT_NUMBER	C28_ENUMERATION_ORBIT;SPATIAL_LOCUS_REMAINS_PRIMARY	EDITORIAL_INDEX_ONLY;NO_START;NO_DIRECTION	NONE	V55_CENTER_PLUS_28>V66_R3_ADDRESS_CATALOGUE
SPATIAL_STATION	f68r1.14	A2:LOC:f68r1.14	6	otshey	Nach gezeichneter Lage die Ortsadresse f68r1.14 wählen und den angehängten Merker unverändert nachschlagen	DRAWN_2D_LOCUS;NOT_NUMBER	C28_ENUMERATION_ORBIT;SPATIAL_LOCUS_REMAINS_PRIMARY	EDITORIAL_INDEX_ONLY;NO_START;NO_DIRECTION	NONE	V55_CENTER_PLUS_28>V66_R3_ADDRESS_CATALOGUE
SPATIAL_STATION	f68r1.15	A2:LOC:f68r1.15	7	otydy	Nach gezeichneter Lage die Ortsadresse f68r1.15 wählen und den angehängten Merker unverändert nachschlagen	DRAWN_2D_LOCUS;NOT_NUMBER	C28_ENUMERATION_ORBIT;SPATIAL_LOCUS_REMAINS_PRIMARY	EDITORIAL_INDEX_ONLY;NO_START;NO_DIRECTION	NONE	V55_CENTER_PLUS_28>V66_R3_ADDRESS_CATALOGUE
SPATIAL_STATION	f68r1.16	A2:LOC:f68r1.16	8	okear	Nach gezeichneter Lage die Ortsadresse f68r1.16 wählen und den angehängten Merker unverändert nachschlagen	DRAWN_2D_LOCUS;NOT_NUMBER	C28_ENUMERATION_ORBIT;SPATIAL_LOCUS_REMAINS_PRIMARY	EDITORIAL_INDEX_ONLY;NO_START;NO_DIRECTION	NONE	V55_CENTER_PLUS_28>V66_R3_ADDRESS_CATALOGUE
SPATIAL_STATION	f68r1.17	A2:LOC:f68r1.17	9	cphocthy	Nach gezeichneter Lage die Ortsadresse f68r1.17 wählen und den angehängten Merker unverändert nachschlagen	DRAWN_2D_LOCUS;NOT_NUMBER	C28_ENUMERATION_ORBIT;SPATIAL_LOCUS_REMAINS_PRIMARY	EDITORIAL_INDEX_ONLY;NO_START;NO_DIRECTION	NONE	V55_CENTER_PLUS_28>V66_R3_ADDRESS_CATALOGUE
