edition	locus	at	left	right	Q_left_material	Q_right_material	Q_carrier	Q_status	N_right_quality	full_line
ZL3b	f103r.2	ZL3b|f103r.2|G009	ar	sal				NO_KNOWN_ADJACENT_CARRIER		dain shek ch{cphh}dy daloky opchedy peshol chep ar otchy sal lkeey sar ain ok?? chedy
ZL3b	f105v.2	ZL3b|f105v.2|G011	or	otor				NO_KNOWN_ADJACENT_CARRIER		ysheod ykeeedy keshed qodaiin oteodair or chkar otaiin chpor or otchy otor
ZL3b	f107r.28	ZL3b|f107r.28|G008	cheey	lkaiin				NO_KNOWN_ADJACENT_CARRIER		kar aiin chl cholor sheees aiin cheey otchy lkaiin ykaiin ykalkal
ZL3b	f107r.51	ZL3b|f107r.51|G009	ol	qoky				NO_KNOWN_ADJACENT_CARRIER		sar ain chol ol cheey otal otal ol otchy qoky otaily
ZL3b	f13v.1	ZL3b|f13v.1|G003	chtoiin	kchod				NO_KNOWN_ADJACENT_CARRIER		koair chtoiin otchy kchod otol otchy octhos
ZL3b	f13v.1	ZL3b|f13v.1|G006	otol	octhos				NO_KNOWN_ADJACENT_CARRIER		koair chtoiin otchy kchod otol otchy octhos
ZL3b	f13v.3	ZL3b|f13v.3|G004	chy	cthody	chy		chy	ADJACENT_ASSUMED_CARRIER		qokchy qokod chy otchy cthody
ZL3b	f13v.8	ZL3b|f13v.8|G001		daiin				NO_KNOWN_ADJACENT_CARRIER		otchy daiin y dain ykol okchy o kald d y taiin
ZL3b	f15v.6	ZL3b|f15v.6|G004	kaiin	r				NO_KNOWN_ADJACENT_CARRIER		qotchey choty kaiin otchy r aiin
ZL3b	f17r.1	ZL3b|f17r.1|G008	chop	dody				NO_KNOWN_ADJACENT_CARRIER		fshody daram ydar chog opydy ypod chop otchy dody oldckhy
ZL3b	f19r.5	ZL3b|f19r.5|G001		tchy				NO_KNOWN_ADJACENT_CARRIER		otchy tchy qoky daiin @243;
ZL3b	f19v.3	ZL3b|f19v.3|G001		chol				NO_KNOWN_ADJACENT_CARRIER	chol	otchy chol daiin qotol ytol daiiin
ZL3b	f21v.7	ZL3b|f21v.7|G006	chaiin	s				NO_KNOWN_ADJACENT_CARRIER		ykcho lchol cho l chaiin otchy s sheaiin
ZL3b	f23r.2	ZL3b|f23r.2|G007	dain	lolchor				NO_KNOWN_ADJACENT_CARRIER		to ar chor daiin chk dain otchy lolchor daiin dam okchol dain g
ZL3b	f47r.10	ZL3b|f47r.10|G006	chey	tchol				NO_KNOWN_ADJACENT_CARRIER		shy otcho keey tor chey otchy tchol dain dam
ZL3b	f5r.3	ZL3b|f5r.3|G007	chocthy	qotchody				NO_KNOWN_ADJACENT_CARRIER		qoaiin otan chy daiin oteeeb chocthy otchy qotchody
ZL3b	f7r.2	ZL3b|f7r.2|G008	kchey	cheody				NO_KNOWN_ADJACENT_CARRIER		dcheey keo r shor dold dchey kchey otchy cheody
ZL3b	f85r1.29	ZL3b|f85r1.29|G012	otar	okam				NO_KNOWN_ADJACENT_CARRIER		oees aiin ol keeody or s cheey qokchdy qotol okar otar otchy okam
ZL3b	f85r1.8	ZL3b|f85r1.8|G006	qokchdy	qodal				NO_KNOWN_ADJACENT_CARRIER		daiin chckhdy qotchdy opchsd qokchdy otchy qodal daiin dal shdar oram
ZL3b	f9v.6	ZL3b|f9v.6|G006	da[in:iin]	cthod				NO_KNOWN_ADJACENT_CARRIER		odol choy ksheody chody da[in:iin] otchy cthod yko
IT2a	f103r.2	IT2a|f103r.2|G009	ar	sal				NO_KNOWN_ADJACENT_CARRIER		dain shek chcphhdy daloky opchedy peshol chep ar otchy sal lkeey sar ain ok?? chedy
IT2a	f105v.2	IT2a|f105v.2|G011	or	otor				NO_KNOWN_ADJACENT_CARRIER		ysheod ykeeedy keshed qodaiin oteodair or chkas otaiin chpor or otchy otor
