model	edition	locus	index	word	hypothesis
N	ZL3b	f103r.2	1	dain	Menge Β
N	ZL3b	f103r.2	2	shek	⟦shek⟧
N	ZL3b	f103r.2	3	ch{cphh}dy	⟦ch{cphh}dy⟧
N	ZL3b	f103r.2	4	daloky	⟦daloky⟧
N	ZL3b	f103r.2	5	opchedy	⟦opchedy⟧
N	ZL3b	f103r.2	6	peshol	⟦peshol⟧
N	ZL3b	f103r.2	7	chep	⟦chep⟧
N	ZL3b	f103r.2	8	ar	Anteil
N	ZL3b	f103r.2	9	otchy	Material T
N	ZL3b	f103r.2	10	sal	⟦sal⟧
N	ZL3b	f103r.2	11	lkeey	⟦lkeey⟧
N	ZL3b	f103r.2	12	sar	⟦sar⟧
N	ZL3b	f103r.2	13	ain	⟦ain⟧
N	ZL3b	f103r.2	14	ok??	⟦ok??⟧
N	ZL3b	f103r.2	15	chedy	⟦chedy⟧
N	ZL3b	f105v.2	1	ysheod	⟦ysheod⟧
N	ZL3b	f105v.2	2	ykeeedy	⟦ykeeedy⟧
N	ZL3b	f105v.2	3	keshed	⟦keshed⟧
N	ZL3b	f105v.2	4	qodaiin	⟦qodaiin⟧
N	ZL3b	f105v.2	5	oteodair	⟦oteodair⟧
N	ZL3b	f105v.2	6	or	⟦or⟧
N	ZL3b	f105v.2	7	chkar	⟦chkar⟧
N	ZL3b	f105v.2	8	otaiin	⟦otaiin⟧
N	ZL3b	f105v.2	9	chpor	⟦chpor⟧
N	ZL3b	f105v.2	10	or	⟦or⟧
N	ZL3b	f105v.2	11	otchy	Material T
N	ZL3b	f105v.2	12	otor	⟦otor⟧
N	ZL3b	f107r.28	1	kar	⟦kar⟧
N	ZL3b	f107r.28	2	aiin	⟦aiin⟧
N	ZL3b	f107r.28	3	chl	⟦chl⟧
N	ZL3b	f107r.28	4	cholor	⟦cholor⟧
N	ZL3b	f107r.28	5	sheees	⟦sheees⟧
N	ZL3b	f107r.28	6	aiin	⟦aiin⟧
N	ZL3b	f107r.28	7	cheey	⟦cheey⟧
N	ZL3b	f107r.28	8	otchy	Material T
N	ZL3b	f107r.28	9	lkaiin	⟦lkaiin⟧
N	ZL3b	f107r.28	10	ykaiin	⟦ykaiin⟧
N	ZL3b	f107r.28	11	ykalkal	⟦ykalkal⟧
N	ZL3b	f107r.51	1	sar	⟦sar⟧
N	ZL3b	f107r.51	2	ain	⟦ain⟧
N	ZL3b	f107r.51	3	chol	getrocknet
N	ZL3b	f107r.51	4	ol	auch
N	ZL3b	f107r.51	5	cheey	⟦cheey⟧
N	ZL3b	f107r.51	6	otal	⟦otal⟧
N	ZL3b	f107r.51	7	otal	⟦otal⟧
N	ZL3b	f107r.51	8	ol	auch
N	ZL3b	f107r.51	9	otchy	Material T
N	ZL3b	f107r.51	10	qoky	⟦qoky⟧
N	ZL3b	f107r.51	11	otaily	⟦otaily⟧
N	ZL3b	f13v.1	1	koair	⟦koair⟧
N	ZL3b	f13v.1	2	chtoiin	⟦chtoiin⟧
N	ZL3b	f13v.1	3	otchy	Material T
N	ZL3b	f13v.1	4	kchod	⟦kchod⟧
N	ZL3b	f13v.1	5	otol	⟦otol⟧
N	ZL3b	f13v.1	6	otchy	Material T
N	ZL3b	f13v.1	7	octhos	⟦octhos⟧
N	ZL3b	f13v.3	1	qokchy	⟦qokchy⟧
N	ZL3b	f13v.3	2	qokod	⟦qokod⟧
N	ZL3b	f13v.3	3	chy	Wasser
N	ZL3b	f13v.3	4	otchy	Material T
N	ZL3b	f13v.3	5	cthody	⟦cthody⟧
N	ZL3b	f13v.8	1	otchy	Material T
N	ZL3b	f13v.8	2	daiin	Menge Γ
N	ZL3b	f13v.8	3	y	⟦y⟧
N	ZL3b	f13v.8	4	dain	Menge Β
N	ZL3b	f13v.8	5	ykol	⟦ykol⟧
N	ZL3b	f13v.8	6	okchy	⟦okchy⟧
N	ZL3b	f13v.8	7	o	⟦o⟧
N	ZL3b	f13v.8	8	kald	⟦kald⟧
N	ZL3b	f13v.8	9	d	⟦d⟧
N	ZL3b	f13v.8	10	y	⟦y⟧
N	ZL3b	f13v.8	11	taiin	⟦taiin⟧
N	ZL3b	f15v.6	1	qotchey	⟦qotchey⟧
N	ZL3b	f15v.6	2	choty	⟦choty⟧
N	ZL3b	f15v.6	3	kaiin	⟦kaiin⟧
N	ZL3b	f15v.6	4	otchy	Material T
N	ZL3b	f15v.6	5	r	⟦r⟧
N	ZL3b	f15v.6	6	aiin	⟦aiin⟧
N	ZL3b	f17r.1	1	fshody	⟦fshody⟧
N	ZL3b	f17r.1	2	daram	⟦daram⟧
N	ZL3b	f17r.1	3	ydar	⟦ydar⟧
N	ZL3b	f17r.1	4	chog	⟦chog⟧
N	ZL3b	f17r.1	5	opydy	⟦opydy⟧
N	ZL3b	f17r.1	6	ypod	⟦ypod⟧
N	ZL3b	f17r.1	7	chop	⟦chop⟧
N	ZL3b	f17r.1	8	otchy	Material T
N	ZL3b	f17r.1	9	dody	⟦dody⟧
N	ZL3b	f17r.1	10	oldckhy	⟦oldckhy⟧
N	ZL3b	f19r.5	1	otchy	Material T
N	ZL3b	f19r.5	2	tchy	⟦tchy⟧
N	ZL3b	f19r.5	3	qoky	⟦qoky⟧
N	ZL3b	f19r.5	4	daiin	Menge Γ
N	ZL3b	f19r.5	5	@243;	⟦@243;⟧
N	ZL3b	f19v.3	1	otchy	Material T
N	ZL3b	f19v.3	2	chol	getrocknet
N	ZL3b	f19v.3	3	daiin	Menge Γ
N	ZL3b	f19v.3	4	qotol	⟦qotol⟧
N	ZL3b	f19v.3	5	ytol	⟦ytol⟧
N	ZL3b	f19v.3	6	daiiin	⟦daiiin⟧
N	ZL3b	f21v.7	1	ykcho	⟦ykcho⟧
N	ZL3b	f21v.7	2	lchol	⟦lchol⟧
N	ZL3b	f21v.7	3	cho	⟦cho⟧
N	ZL3b	f21v.7	4	l	⟦l⟧
N	ZL3b	f21v.7	5	chaiin	⟦chaiin⟧
N	ZL3b	f21v.7	6	otchy	Material T
N	ZL3b	f21v.7	7	s	und
N	ZL3b	f21v.7	8	sheaiin	⟦sheaiin⟧
N	ZL3b	f23r.2	1	to	⟦to⟧
N	ZL3b	f23r.2	2	ar	Anteil
N	ZL3b	f23r.2	3	chor	Blüten
N	ZL3b	f23r.2	4	daiin	Menge Γ
N	ZL3b	f23r.2	5	chk	⟦chk⟧
N	ZL3b	f23r.2	6	dain	Menge Β
N	ZL3b	f23r.2	7	otchy	Material T
N	ZL3b	f23r.2	8	lolchor	⟦lolchor⟧
N	ZL3b	f23r.2	9	daiin	Menge Γ
N	ZL3b	f23r.2	10	dam	⟦dam⟧
N	ZL3b	f23r.2	11	okchol	⟦okchol⟧
N	ZL3b	f23r.2	12	dain	Menge Β
N	ZL3b	f23r.2	13	g	⟦g⟧
N	ZL3b	f47r.10	1	shy	⟦shy⟧
N	ZL3b	f47r.10	2	otcho	⟦otcho⟧
N	ZL3b	f47r.10	3	keey	⟦keey⟧
N	ZL3b	f47r.10	4	tor	⟦tor⟧
N	ZL3b	f47r.10	5	chey	⟦chey⟧
N	ZL3b	f47r.10	6	otchy	Material T
N	ZL3b	f47r.10	7	tchol	⟦tchol⟧
N	ZL3b	f47r.10	8	dain	Menge Β
N	ZL3b	f47r.10	9	dam	⟦dam⟧
N	ZL3b	f5r.3	1	qoaiin	⟦qoaiin⟧
N	ZL3b	f5r.3	2	otan	⟦otan⟧
N	ZL3b	f5r.3	3	chy	Wasser
N	ZL3b	f5r.3	4	daiin	Menge Γ
N	ZL3b	f5r.3	5	oteeeb	⟦oteeeb⟧
N	ZL3b	f5r.3	6	chocthy	⟦chocthy⟧
N	ZL3b	f5r.3	7	otchy	Material T
N	ZL3b	f5r.3	8	qotchody	⟦qotchody⟧
N	ZL3b	f7r.2	1	dcheey	⟦dcheey⟧
N	ZL3b	f7r.2	2	keo	⟦keo⟧
N	ZL3b	f7r.2	3	r	⟦r⟧
N	ZL3b	f7r.2	4	shor	Früchte
N	ZL3b	f7r.2	5	dold	⟦dold⟧
N	ZL3b	f7r.2	6	dchey	⟦dchey⟧
N	ZL3b	f7r.2	7	kchey	⟦kchey⟧
N	ZL3b	f7r.2	8	otchy	Material T
N	ZL3b	f7r.2	9	cheody	⟦cheody⟧
N	ZL3b	f85r1.29	1	oees	⟦oees⟧
N	ZL3b	f85r1.29	2	aiin	⟦aiin⟧
N	ZL3b	f85r1.29	3	ol	auch
N	ZL3b	f85r1.29	4	keeody	⟦keeody⟧
N	ZL3b	f85r1.29	5	or	⟦or⟧
N	ZL3b	f85r1.29	6	s	und
N	ZL3b	f85r1.29	7	cheey	⟦cheey⟧
N	ZL3b	f85r1.29	8	qokchdy	⟦qokchdy⟧
N	ZL3b	f85r1.29	9	qotol	⟦qotol⟧
N	ZL3b	f85r1.29	10	okar	⟦okar⟧
N	ZL3b	f85r1.29	11	otar	⟦otar⟧
N	ZL3b	f85r1.29	12	otchy	Material T
N	ZL3b	f85r1.29	13	okam	⟦okam⟧
N	ZL3b	f85r1.8	1	daiin	Menge Γ
N	ZL3b	f85r1.8	2	chckhdy	⟦chckhdy⟧
N	ZL3b	f85r1.8	3	qotchdy	⟦qotchdy⟧
N	ZL3b	f85r1.8	4	opchsd	⟦opchsd⟧
N	ZL3b	f85r1.8	5	qokchdy	⟦qokchdy⟧
N	ZL3b	f85r1.8	6	otchy	Material T
N	ZL3b	f85r1.8	7	qodal	⟦qodal⟧
N	ZL3b	f85r1.8	8	daiin	Menge Γ
N	ZL3b	f85r1.8	9	dal	⟦dal⟧
N	ZL3b	f85r1.8	10	shdar	⟦shdar⟧
N	ZL3b	f85r1.8	11	oram	⟦oram⟧
N	ZL3b	f9v.6	1	odol	⟦odol⟧
N	ZL3b	f9v.6	2	choy	⟦choy⟧
N	ZL3b	f9v.6	3	ksheody	⟦ksheody⟧
N	ZL3b	f9v.6	4	chody	⟦chody⟧
N	ZL3b	f9v.6	5	da[in:iin]	⟦da[in:iin]⟧
N	ZL3b	f9v.6	6	otchy	Material T
N	ZL3b	f9v.6	7	cthod	⟦cthod⟧
N	ZL3b	f9v.6	8	yko	⟦yko⟧
N	IT2a	f103r.2	1	dain	Menge Β
N	IT2a	f103r.2	2	shek	⟦shek⟧
N	IT2a	f103r.2	3	chcphhdy	⟦chcphhdy⟧
N	IT2a	f103r.2	4	daloky	⟦daloky⟧
N	IT2a	f103r.2	5	opchedy	⟦opchedy⟧
N	IT2a	f103r.2	6	peshol	⟦peshol⟧
N	IT2a	f103r.2	7	chep	⟦chep⟧
N	IT2a	f103r.2	8	ar	Anteil
N	IT2a	f103r.2	9	otchy	Material T
N	IT2a	f103r.2	10	sal	⟦sal⟧
N	IT2a	f103r.2	11	lkeey	⟦lkeey⟧
N	IT2a	f103r.2	12	sar	⟦sar⟧
N	IT2a	f103r.2	13	ain	⟦ain⟧
N	IT2a	f103r.2	14	ok??	⟦ok??⟧
N	IT2a	f103r.2	15	chedy	⟦chedy⟧
N	IT2a	f105v.2	1	ysheod	⟦ysheod⟧
N	IT2a	f105v.2	2	ykeeedy	⟦ykeeedy⟧
N	IT2a	f105v.2	3	keshed	⟦keshed⟧
N	IT2a	f105v.2	4	qodaiin	⟦qodaiin⟧
N	IT2a	f105v.2	5	oteodair	⟦oteodair⟧
N	IT2a	f105v.2	6	or	⟦or⟧
N	IT2a	f105v.2	7	chkas	⟦chkas⟧
N	IT2a	f105v.2	8	otaiin	⟦otaiin⟧
N	IT2a	f105v.2	9	chpor	⟦chpor⟧
N	IT2a	f105v.2	10	or	⟦or⟧
N	IT2a	f105v.2	11	otchy	Material T
N	IT2a	f105v.2	12	otor	⟦otor⟧
N	IT2a	f107r.28	1	kar	⟦kar⟧
N	IT2a	f107r.28	2	aiin	⟦aiin⟧
N	IT2a	f107r.28	3	chl	⟦chl⟧
