statement_id	record_unit_id	page	scribe_copies	distinct_visible_sequences	distinct_tuple_sequences	distinct_minimal_readings	distinct_selected_vocabularies	distinct_controlled_unit_readings	meaning_invariant
B1-S001	B1	f81v	4	1	1	1	1	1	YES
B1-S002	B1	f81v	4	4	1	1	1	1	YES
B1-S003	B1	f81v	4	3	1	1	1	1	YES
B1-S004	B1	f81v	4	2	1	1	1	1	YES
B1-S005	B1	f81v	4	2	1	1	1	1	YES
B1-S006	B1	f81v	4	2	1	1	1	1	YES
B1-S007	B1	f81v	4	1	1	1	1	1	YES
B1-S008	B1	f81v	4	3	1	1	1	1	YES
B1-S009	B1	f81v	4	1	1	1	1	1	YES
B1-S010	B1	f81v	4	1	1	1	1	1	YES
B1-S011	B1	f81v	4	3	1	1	1	1	YES
B1-S012	B1	f81v	4	1	1	1	1	1	YES
B1-S013	B1	f81v	4	1	1	1	1	1	YES
B1-S014	B1	f81v	4	3	1	1	1	1	YES
B1-S015	B1	f81v	4	1	1	1	1	1	YES
B1-S016	B1	f81v	4	4	1	1	1	1	YES
B1-S017	B1	f81v	4	2	1	1	1	1	YES
B1-S018	B1	f81v	4	2	1	1	1	1	YES
B1-S019	B1	f81v	4	2	1	1	1	1	YES
B1-S020	B1	f81v	4	1	1	1	1	1	YES
B1-S021	B1	f81v	4	2	1	1	1	1	YES
B2-S001	B2	f82r	4	2	1	1	1	1	YES
B2-S002	B2	f82r	4	2	1	1	1	1	YES
B2-S003	B2	f82r	4	3	1	1	1	1	YES
B2-S004	B2	f82r	4	2	1	1	1	1	YES
B2-S005	B2	f82r	4	1	1	1	1	1	YES
B2-S006	B2	f82r	4	2	1	1	1	1	YES
B2-S007	B2	f82r	4	1	1	1	1	1	YES
B2-S008	B2	f82r	4	3	1	1	1	1	YES
B2-S009	B2	f82r	4	1	1	1	1	1	YES
B2-S010	B2	f82r	4	4	1	1	1	1	YES
B2-S011	B2	f82r	4	2	1	1	1	1	YES
B2-S012	B2	f82r	4	3	1	1	1	1	YES
B2-S013	B2	f82r	4	1	1	1	1	1	YES
B2-S014	B2	f82r	4	1	1	1	1	1	YES
B2-S015	B2	f82r	4	1	1	1	1	1	YES
B2-S016	B2	f82r	4	3	1	1	1	1	YES
B2-S017	B2	f82r	4	1	1	1	1	1	YES
B2-S018	B2	f82r	4	1	1	1	1	1	YES
B2-S019	B2	f82r	4	1	1	1	1	1	YES
B2-S020	B2	f82r	4	1	1	1	1	1	YES
B2-S021	B2	f82r	4	1	1	1	1	1	YES
B2-S022	B2	f82r	4	1	1	1	1	1	YES
B3-S001	B3	f83r	4	2	1	1	1	1	YES
B3-S002	B3	f83r	4	2	1	1	1	1	YES
B3-S003	B3	f83r	4	3	1	1	1	1	YES
B3-S004	B3	f83r	4	3	1	1	1	1	YES
B3-S005	B3	f83r	4	2	1	1	1	1	YES
B3-S006	B3	f83r	4	1	1	1	1	1	YES
B3-S007	B3	f83r	4	2	1	1	1	1	YES
B3-S008	B3	f83r	4	1	1	1	1	1	YES
B3-S009	B3	f83r	4	2	1	1	1	1	YES
B3-S010	B3	f83r	4	1	1	1	1	1	YES
B3-S011	B3	f83r	4	2	1	1	1	1	YES
B3-S012	B3	f83r	4	3	1	1	1	1	YES
B3-S013	B3	f83r	4	3	1	1	1	1	YES
B3-S014	B3	f83r	4	1	1	1	1	1	YES
B3-S015	B3	f83r	4	1	1	1	1	1	YES
B3-S016	B3	f83r	4	1	1	1	1	1	YES
B3-S017	B3	f83r	4	1	1	1	1	1	YES
B3-S018	B3	f83r	4	2	1	1	1	1	YES
B3-S019	B3	f83r	4	1	1	1	1	1	YES
B3-S020	B3	f83r	4	2	1	1	1	1	YES
B3-S021	B3	f83r	4	4	1	1	1	1	YES
B3-S022	B3	f83r	4	2	1	1	1	1	YES
B3-S023	B3	f83r	4	1	1	1	1	1	YES
B3-S024	B3	f83r	4	2	1	1	1	1	YES
B3-S025	B3	f83r	4	1	1	1	1	1	YES
B3-S026	B3	f83r	4	3	1	1	1	1	YES
B3-S027	B3	f83r	4	1	1	1	1	1	YES
B3-S028	B3	f83r	4	2	1	1	1	1	YES
B3-S029	B3	f83r	4	3	1	1	1	1	YES
B3-S030	B3	f83r	4	2	1	1	1	1	YES
B3-S031	B3	f83r	4	1	1	1	1	1	YES
B3-S032	B3	f83r	4	2	1	1	1	1	YES
B3-S033	B3	f83r	4	1	1	1	1	1	YES
B3-S034	B3	f83r	4	3	1	1	1	1	YES
B4-S001	B4	f83r	4	1	1	1	1	1	YES
B4-S002	B4	f83r	4	1	1	1	1	1	YES
B4-S003	B4	f83r	4	3	1	1	1	1	YES
B4-S004	B4	f83r	4	1	1	1	1	1	YES
B4-S005	B4	f83r	4	1	1	1	1	1	YES
B4-S006	B4	f83r	4	1	1	1	1	1	YES
B4-S007	B4	f83r	4	1	1	1	1	1	YES
B4-S008	B4	f83r	4	2	1	1	1	1	YES
B4-S009	B4	f83r	4	2	1	1	1	1	YES
B4-S010	B4	f83r	4	1	1	1	1	1	YES
B4-S011	B4	f83r	4	3	1	1	1	1	YES
B4-S012	B4	f83r	4	1	1	1	1	1	YES
B4-S013	B4	f83r	4	2	1	1	1	1	YES
B4-S014	B4	f83r	4	3	1	1	1	1	YES
B4-S015	B4	f83r	4	3	1	1	1	1	YES
B4-S016	B4	f83r	4	4	1	1	1	1	YES
B5-S001	B5	f83r	4	1	1	1	1	1	YES
B5-S002	B5	f83r	4	1	1	1	1	1	YES
B5-S003	B5	f83r	4	3	1	1	1	1	YES
B6-S001	B6	f83r	4	3	1	1	1	1	YES
H1-S001	H1	f10r	4	2	1	1	1	1	YES
H1-S002	H1	f10r	4	3	1	1	1	1	YES
H2-S001	H2	f10r	4	3	1	1	1	1	YES
H2-S002	H2	f10r	4	3	1	1	1	1	YES
H2-S003	H2	f10r	4	3	1	1	1	1	YES
H3-S001	H3	f11r	4	2	1	1	1	1	YES
H3-S002	H3	f11r	4	1	1	1	1	1	YES
H3-S003	H3	f11r	4	3	1	1	1	1	YES
H3-S004	H3	f11r	4	3	1	1	1	1	YES
H4-S001	H4	f55v	4	1	1	1	1	1	YES
H4-S002	H4	f55v	4	2	1	1	1	1	YES
H4-S003	H4	f55v	4	1	1	1	1	1	YES
H4-S004	H4	f55v	4	3	1	1	1	1	YES
H5-S001	H5	f56r	4	3	1	1	1	1	YES
H5-S002	H5	f56r	4	3	1	1	1	1	YES
H5-S003	H5	f56r	4	1	1	1	1	1	YES
H5-S004	H5	f56r	4	2	1	1	1	1	YES
H5-S005	H5	f56r	4	3	1	1	1	1	YES
H5-S006	H5	f56r	4	1	1	1	1	1	YES
