statement_id	record_unit_id	page	scribe_id	tuple_sequence	original_surface_sequence	scribe_surface_sequence	line_broken_copy	changed_token_count	current_minimal_card_reading_de	current_owner_reading_de	selected_source_vocabulary_de	current_controlled_unit_reading_de	semantic_policy	surface_change_may_change_meaning	legacy_rich_readback_status
H1-S001	H1	f10r	S1_BARE_MASTER	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	3	Wurzel als aktueller Posten; bereit + Ansatz; Quelle; teilen + Teil; Mischgefäß; Lauf; danach + Teil + weiter; ansetzen + dies; Sollwert; kurz + Teil	Bei der ganzen breitblättrigen gezähnten Bildpflanze: Wurzel als aktueller Posten; bereit + Ansatz; Quelle; teilen + Teil; Mischgefäß; Lauf; danach + Teil + weiter; ansetzen + dies; Sollwert; kurz + Teil.	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	Von der Bildpflanze die Wurzel nehmen. Mit Wasser im Gefäß ansetzen, trennen und den Auszug sammeln. Die örtliche Portion als Endprodukt verwenden; den Rückstand verwahren.	SAME_MINIMAL_CARDS_AND_SELECTED_SOURCE_ACROSS_ALL_HANDS	NO	SUPERSEDED_BY_SELECTED_SOURCE_EDITION
H1-S001	H1	f10r	S2_Q_CELL_SCRIBE	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	3	Wurzel als aktueller Posten; bereit + Ansatz; Quelle; teilen + Teil; Mischgefäß; Lauf; danach + Teil + weiter; ansetzen + dies; Sollwert; kurz + Teil	Bei der ganzen breitblättrigen gezähnten Bildpflanze: Wurzel als aktueller Posten; bereit + Ansatz; Quelle; teilen + Teil; Mischgefäß; Lauf; danach + Teil + weiter; ansetzen + dies; Sollwert; kurz + Teil.	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	Von der Bildpflanze die Wurzel nehmen. Mit Wasser im Gefäß ansetzen, trennen und den Auszug sammeln. Die örtliche Portion als Endprodukt verwenden; den Rückstand verwahren.	SAME_MINIMAL_CARDS_AND_SELECTED_SOURCE_ACROSS_ALL_HANDS	NO	SUPERSEDED_BY_SELECTED_SOURCE_EDITION
H1-S001	H1	f10r	S3_S_LINE_SCRIBE	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	dchey cthoor char / chety os chair / otytchol choky aiin / etyd	3	Wurzel als aktueller Posten; bereit + Ansatz; Quelle; teilen + Teil; Mischgefäß; Lauf; danach + Teil + weiter; ansetzen + dies; Sollwert; kurz + Teil	Bei der ganzen breitblättrigen gezähnten Bildpflanze: Wurzel als aktueller Posten; bereit + Ansatz; Quelle; teilen + Teil; Mischgefäß; Lauf; danach + Teil + weiter; ansetzen + dies; Sollwert; kurz + Teil.	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	Von der Bildpflanze die Wurzel nehmen. Mit Wasser im Gefäß ansetzen, trennen und den Auszug sammeln. Die örtliche Portion als Endprodukt verwenden; den Rückstand verwahren.	SAME_MINIMAL_CARDS_AND_SELECTED_SOURCE_ACROSS_ALL_HANDS	NO	SUPERSEDED_BY_SELECTED_SOURCE_EDITION
H1-S001	H1	f10r	S4_MIXED_COMPACT	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor dar chty os chair otytchol oky saiin etyd	dchey cthoor dar chty / os chair otytchol oky / saiin etyd	2	Wurzel als aktueller Posten; bereit + Ansatz; Quelle; teilen + Teil; Mischgefäß; Lauf; danach + Teil + weiter; ansetzen + dies; Sollwert; kurz + Teil	Bei der ganzen breitblättrigen gezähnten Bildpflanze: Wurzel als aktueller Posten; bereit + Ansatz; Quelle; teilen + Teil; Mischgefäß; Lauf; danach + Teil + weiter; ansetzen + dies; Sollwert; kurz + Teil.	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	Von der Bildpflanze die Wurzel nehmen. Mit Wasser im Gefäß ansetzen, trennen und den Auszug sammeln. Die örtliche Portion als Endprodukt verwenden; den Rückstand verwahren.	SAME_MINIMAL_CARDS_AND_SELECTED_SOURCE_ACROSS_ALL_HANDS	NO	SUPERSEDED_BY_SELECTED_SOURCE_EDITION
H1-S002	H1	f10r	S1_BARE_MASTER	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	qokchy qotchol chol cthy	chokchy qotchol cheol checthy	chokchy qotchol cheol checthy	3	ansetzen + dies; danach + weiter; weiter; bereit + dies	Bei der ganzen breitblättrigen gezähnten Bildpflanze: ansetzen + dies; danach + weiter; weiter; bereit + dies.	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	Von der Bildpflanze die Wurzel nehmen. Mit Wasser im Gefäß ansetzen, trennen und den Auszug sammeln. Die örtliche Portion als Endprodukt verwenden; den Rückstand verwahren.	SAME_MINIMAL_CARDS_AND_SELECTED_SOURCE_ACROSS_ALL_HANDS	NO	SUPERSEDED_BY_SELECTED_SOURCE_EDITION
H1-S002	H1	f10r	S2_Q_CELL_SCRIBE	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	qokchy qotchol chol cthy	chokchy qotchol cheol checthy	chokchy qotchol cheol checthy	3	ansetzen + dies; danach + weiter; weiter; bereit + dies	Bei der ganzen breitblättrigen gezähnten Bildpflanze: ansetzen + dies; danach + weiter; weiter; bereit + dies.	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	Von der Bildpflanze die Wurzel nehmen. Mit Wasser im Gefäß ansetzen, trennen und den Auszug sammeln. Die örtliche Portion als Endprodukt verwenden; den Rückstand verwahren.	SAME_MINIMAL_CARDS_AND_SELECTED_SOURCE_ACROSS_ALL_HANDS	NO	SUPERSEDED_BY_SELECTED_SOURCE_EDITION
H1-S002	H1	f10r	S3_S_LINE_SCRIBE	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	qokchy qotchol chol cthy	chokchy qotchol cheol shcthy	chokchy qotchol cheol / shcthy	3	ansetzen + dies; danach + weiter; weiter; bereit + dies	Bei der ganzen breitblättrigen gezähnten Bildpflanze: ansetzen + dies; danach + weiter; weiter; bereit + dies.	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	Von der Bildpflanze die Wurzel nehmen. Mit Wasser im Gefäß ansetzen, trennen und den Auszug sammeln. Die örtliche Portion als Endprodukt verwenden; den Rückstand verwahren.	SAME_MINIMAL_CARDS_AND_SELECTED_SOURCE_ACROSS_ALL_HANDS	NO	SUPERSEDED_BY_SELECTED_SOURCE_EDITION
H1-S002	H1	f10r	S4_MIXED_COMPACT	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	qokchy qotchol chol cthy	okchy qotchol ol cthy	okchy qotchol ol cthy	2	ansetzen + dies; danach + weiter; weiter; bereit + dies	Bei der ganzen breitblättrigen gezähnten Bildpflanze: ansetzen + dies; danach + weiter; weiter; bereit + dies.	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	Von der Bildpflanze die Wurzel nehmen. Mit Wasser im Gefäß ansetzen, trennen und den Auszug sammeln. Die örtliche Portion als Endprodukt verwenden; den Rückstand verwahren.	SAME_MINIMAL_CARDS_AND_SELECTED_SOURCE_ACROSS_ALL_HANDS	NO	SUPERSEDED_BY_SELECTED_SOURCE_EDITION
H2-S001	H2	f10r	S1_BARE_MASTER	7249edc4df3419c26999 e0b630cb1b5df5e7105b 7a4bb8136330ee4e6e56 f3c23f42baf625639e1e af816c04e65874a0f2fa b921a237be883a820352 b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	5	dies + Auszug + Ansatz; bereit + dies; Ansatz; bereit + Sollwert; bereit + weiter + dies; dies; dies; Sollwert; dies	Bei der ganzen breitblättrigen gezähnten Bildpflanze: dies + Auszug + Ansatz; bereit + dies; Ansatz; bereit + Sollwert; bereit + weiter + dies; dies; dies; Sollwert; dies.	Bildpflanze; junger Spross; Blatt; Tuch; Auszug; örtliche Portion; Träger; Gefäß; Auftrag	Jungen Spross und Blatt der Bildpflanze nehmen, teilen und durch Tuch auswringen. Den Auszug in örtlicher Portion mit dem Träger im Gefäß ansetzen und als Auftrag verwenden.	SAME_MINIMAL_CARDS_AND_SELECTED_SOURCE_ACROSS_ALL_HANDS	NO	SUPERSEDED_BY_SELECTED_SOURCE_EDITION
H2-S001	H2	f10r	S2_Q_CELL_SCRIBE	7249edc4df3419c26999 e0b630cb1b5df5e7105b 7a4bb8136330ee4e6e56 f3c23f42baf625639e1e af816c04e65874a0f2fa b921a237be883a820352 b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	5	dies + Auszug + Ansatz; bereit + dies; Ansatz; bereit + Sollwert; bereit + weiter + dies; dies; dies; Sollwert; dies	Bei der ganzen breitblättrigen gezähnten Bildpflanze: dies + Auszug + Ansatz; bereit + dies; Ansatz; bereit + Sollwert; bereit + weiter + dies; dies; dies; Sollwert; dies.	Bildpflanze; junger Spross; Blatt; Tuch; Auszug; örtliche Portion; Träger; Gefäß; Auftrag	Jungen Spross und Blatt der Bildpflanze nehmen, teilen und durch Tuch auswringen. Den Auszug in örtlicher Portion mit dem Träger im Gefäß ansetzen und als Auftrag verwenden.	SAME_MINIMAL_CARDS_AND_SELECTED_SOURCE_ACROSS_ALL_HANDS	NO	SUPERSEDED_BY_SELECTED_SOURCE_EDITION
