instruction_id	workshop_instruction_de	candidate_card_count	candidate_card_ids	candidate_master_forms	selection_class	selection_rule	prose_event_count
I001	abführen; Schluss	1	MC155	lchedy	UNIQUE_CARD	write the unique master card	8
I002	Abführgut	1	MC008	lchy	UNIQUE_CARD	write the unique master card	1
I003	Abführpassage	1	MC168	lcheckhy	UNIQUE_CARD	write the unique master card	1
I004	Abführung	1	MC127	lched	UNIQUE_CARD	write the unique master card	1
I005	Abführung; Schluss	1	MC167	lochedy	UNIQUE_CARD	write the unique master card	1
I006	abziehen; Schluss	1	MC004	ldy	UNIQUE_CARD	write the unique master card	2
I007	Abzug	1	MC030	lo	UNIQUE_CARD	write the unique master card	1
I008	aktuelle Zutat	1	MC131	choy	UNIQUE_CARD	write the unique master card	1
I009	aktueller Auszugsansatz	1	MC075	ycheor	UNIQUE_CARD	write the unique master card	1
I010	am Ziel absetzen	1	MC113	shedal	UNIQUE_CARD	write the unique master card	2
I011	an der Zielstelle bearbeiten	1	MC077	kchal	UNIQUE_CARD	write the unique master card	1
I012	Ansatz	1	MC080	chor	UNIQUE_CARD	write the unique master card	7
I013	Anschluss	1	MC016	rol	UNIQUE_CARD	write the unique master card	1
I014	Anteil zugeben	1	MC017	okain	UNIQUE_CARD	write the unique master card	7
I015	Anteilstransfer	1	MC145	chedain	UNIQUE_CARD	write the unique master card	1
I016	Arbeitsstufe	1	MC033	oiiin	UNIQUE_CARD	write the unique master card	2
I017	Auffanggefäß	1	MC118	ly	UNIQUE_CARD	write the unique master card	1
I018	AUFNAHMEFELD_ODER_UMSCHLUSS	1	MC159	os	UNIQUE_CARD	write the unique master card	1
I019	auftragen; Schluss	1	MC099	cheeckhody	UNIQUE_CARD	write the unique master card	1
I020	Auslass	1	MC065	ls	UNIQUE_CARD	write the unique master card	1
I021	auswringen	1	MC129	cfhy	UNIQUE_CARD	write the unique master card	1
I022	Auszug aus der Quelle	1	MC085	cheoar	UNIQUE_CARD	write the unique master card	1
