lexicon	shol	paragraph	grammar	chol	timing	target	reference	source_event	execution_index	order	kind	location	form	patient	second	object	second_object	source_object	before	after	assertion	status	debts	state_origin	alias_collision	row_status
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	0	0	3	MATERIAL	f24r.1:4	chor	f24r.1:4		f24r.1:4			{}	{}		EXTERNAL_PORTION			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	1	1	5	ACTION	f24r.1:6	she	f24r.1:4		f24r.1:4			{}	{}		NO_STATE_TRANSITION_MODELLED	UNREAD_BETWEEN:f24r.1:5		False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	2	2	6	MATERIAL	f24r.1:7	cheol	f24r.1:7		f24r.1:7			{}	{}		EXTERNAL_PORTION			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	3	3	10	MATERIAL	f24r.2:2	char	f24r.2:2		f24r.2:2			{}	{}		EXTERNAL_PORTION			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	4	4	13	QUALITY	f24r.2:5	oky	f24r.2:2		f24r.2:2			{}	"{""PHYSICAL:thermal"":""warm""}"	PHYSICAL:thermal=warm	INITIAL_CONSTRAINT	UNREAD_BETWEEN:f24r.2:4		False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	5	5	15	MATERIAL	f24r.3:2	cthal	f24r.3:2		f24r.3:2			{}	{}		EXTERNAL_PORTION			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	6	6	16	MATERIAL	f24r.3:3	okol	f24r.3:3		f24r.3:3			{}	{}		EXTERNAL_PORTION			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	7	7	18	ACTION	f24r.3:5	ckhy	f24r.3:3		f24r.3:3			{}	{}		NO_STATE_TRANSITION_MODELLED			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	8	8	21	MATERIAL	f24r.4:3	cthar	f24r.4:3		f24r.4:3			{}	{}		EXTERNAL_PORTION			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	9	9	29	MATERIAL	f24r.5:5	cthy	f24r.5:5		f24r.5:5			{}	{}		EXTERNAL_PORTION			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	10	10	29	ACTION	f24r.5:4	chey	f24r.5:5		f24r.5:5			{}	{}		NO_STATE_TRANSITION_MODELLED			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	11	11	33	MATERIAL	f24r.6:2	cthor	f24r.6:2		f24r.6:2			{}	{}		EXTERNAL_PORTION			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	12	12	34	MATERIAL	f24r.6:3	otal	f24r.6:3		f24r.6:3			{}	{}		EXTERNAL_PORTION			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	13	13	34	BARE_NOMINAL	f24r.6:3	otal			f24r.6:3			{}	"{""CONSTITUTION:thermal"":""cold""}"	CONSTITUTION:thermal=cold	INITIAL_CONSTRAINT			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	14	14	36	ACTION	f24r.6:5	qoky	f24r.6:3		f24r.6:3			"{""CONSTITUTION:thermal"":""cold""}"	"{""CONSTITUTION:thermal"":""cold"",""PHYSICAL:thermal"":""warm""}"	"{""axis"":""thermal"",""value"":""warm""}"	ASSUMED_EFFECT_APPLIED	UNREAD_BETWEEN:f24r.6:4		False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	15	15	40	MATERIAL	f24r.7:4	cheor	f24r.7:4		f24r.7:4			{}	{}		EXTERNAL_PORTION			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	16	16	41	MATERIAL	f24r.7:5	cthol	f24r.7:5		f24r.7:5			{}	{}		EXTERNAL_PORTION			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	17	17	48	MATERIAL	f24r.8:6	qokeol	f24r.8:6		f24r.8:6			{}	{}		EXTERNAL_PORTION			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	18	18	48	PROCESSED_NOMINAL	f24r.8:6	qokeol			f24r.8:6			{}	"{""PHYSICAL:thermal"":""hot""}"	PHYSICAL:thermal=hot	INITIAL_CONSTRAINT			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	19	19	56	MATERIAL	f24r.10:3	chor	f24r.10:3		f24r.1:4			{}	{}		SAME_FORM_REMENTION	SAME_FORM_IDENTITY_ASSUMED		False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	20	20	64	MATERIAL	f24r.11:4	cheor	f24r.11:4		f24r.7:4			{}	{}		SAME_FORM_REMENTION	SAME_FORM_IDENTITY_ASSUMED		False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	21	21	65	MATERIAL	f24r.11:5	qokain	f24r.11:5		f24r.11:5			{}	{}		EXTERNAL_PORTION			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	22	22	65	PROCESSED_NOMINAL	f24r.11:5	qokain			f24r.11:5			{}	"{""PHYSICAL:thermal"":""warm""}"	PHYSICAL:thermal=warm	INITIAL_CONSTRAINT			False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	23	23	66	ACTION	f24r.12:1	qokchy	f24r.11:5		f24r.11:5			"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"		NO_STATE_TRANSITION_MODELLED	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		False	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	24	24	68	MATERIAL	f24r.12:3	tol	f24r.12:3		f24r.12:3			{}	{}		EXTERNAL_PORTION			False	recorded
