lexicon	shol	paragraph	grammar	chol	timing	target	reference	events	conflicts	unequal	missing	incomplete	row_status
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	R	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	I	f24r.11:5	E	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	I	f24r.11:5	R	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	B	H	O	f24r.11:5	E	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	B	H	O	f24r.11:5	R	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	B	H	I	f24r.11:5	E	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	B	H	I	f24r.11:5	R	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	J	D	O	f24r.11:5	E	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	J	D	O	f24r.11:5	R	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	J	D	I	f24r.11:5	E	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	J	D	I	f24r.11:5	R	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	J	H	O	f24r.11:5	E	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	J	H	O	f24r.11:5	R	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	J	H	I	f24r.11:5	E	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	J	H	I	f24r.11:5	R	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	M	D	O	f24r.11:5	E	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	M	D	O	f24r.11:5	R	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	M	D	I	f24r.11:5	E	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	M	D	I	f24r.11:5	R	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	M	H	O	f24r.11:5	E	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	M	H	O	f24r.11:5	R	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	M	H	I	f24r.11:5	E	43	0	0	0	0	recorded
C	Q	f24r|f24r.1-f24r.20	M	H	I	f24r.11:5	R	43	0	0	0	0	recorded
C	Q	f86v5|f86v5.18-f86v5.25	B	D	O	f86v5.23:7	E	32	0	0	0	0	recorded
C	Q	f86v5|f86v5.18-f86v5.25	B	D	O	f86v5.23:7	R	32	0	0	0	0	recorded
C	Q	f86v5|f86v5.18-f86v5.25	B	D	I	f86v5.23:7	E	32	0	0	0	0	recorded
