lexicon	shol	paragraph	grammar	chol	timing	target	event	location	kind	form	written_before_target	E_object	R_object	E_before	R_before	E_after	R_after	E_status	R_status	constraint_discriminator	debts	row_status
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	22	f24r.11:5	PROCESSED_NOMINAL	qokain	False	f24r.11:5	f24r.7:4	{}	{}	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	INITIAL_CONSTRAINT	INITIAL_CONSTRAINT	False		recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	23	f24r.12:1	ACTION	qokchy	False	f24r.11:5	f24r.7:4	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	False	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	I	f24r.11:5	22	f24r.11:5	PROCESSED_NOMINAL	qokain	False	f24r.11:5	f24r.7:4	{}	{}	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	INITIAL_CONSTRAINT	INITIAL_CONSTRAINT	False		recorded
C	Q	f24r|f24r.1-f24r.20	B	D	I	f24r.11:5	23	f24r.12:1	ACTION	qokchy	False	f24r.11:5	f24r.7:4	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	False	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
C	Q	f24r|f24r.1-f24r.20	B	H	O	f24r.11:5	22	f24r.11:5	PROCESSED_NOMINAL	qokain	False	f24r.11:5	f24r.7:4	{}	{}	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	INITIAL_CONSTRAINT	INITIAL_CONSTRAINT	False		recorded
C	Q	f24r|f24r.1-f24r.20	B	H	O	f24r.11:5	23	f24r.12:1	ACTION	qokchy	False	f24r.11:5	f24r.7:4	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	False	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
C	Q	f24r|f24r.1-f24r.20	B	H	I	f24r.11:5	22	f24r.11:5	PROCESSED_NOMINAL	qokain	False	f24r.11:5	f24r.7:4	{}	{}	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	INITIAL_CONSTRAINT	INITIAL_CONSTRAINT	False		recorded
C	Q	f24r|f24r.1-f24r.20	B	H	I	f24r.11:5	23	f24r.12:1	ACTION	qokchy	False	f24r.11:5	f24r.7:4	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	False	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
C	Q	f24r|f24r.1-f24r.20	J	D	O	f24r.11:5	22	f24r.11:5	PROCESSED_NOMINAL	qokain	False	f24r.11:5	f24r.7:4	{}	{}	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	INITIAL_CONSTRAINT	INITIAL_CONSTRAINT	False		recorded
C	Q	f24r|f24r.1-f24r.20	J	D	I	f24r.11:5	22	f24r.11:5	PROCESSED_NOMINAL	qokain	False	f24r.11:5	f24r.7:4	{}	{}	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	INITIAL_CONSTRAINT	INITIAL_CONSTRAINT	False		recorded
C	Q	f24r|f24r.1-f24r.20	J	H	O	f24r.11:5	22	f24r.11:5	PROCESSED_NOMINAL	qokain	False	f24r.11:5	f24r.7:4	{}	{}	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	INITIAL_CONSTRAINT	INITIAL_CONSTRAINT	False		recorded
C	Q	f24r|f24r.1-f24r.20	J	H	I	f24r.11:5	22	f24r.11:5	PROCESSED_NOMINAL	qokain	False	f24r.11:5	f24r.7:4	{}	{}	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	INITIAL_CONSTRAINT	INITIAL_CONSTRAINT	False		recorded
