lexicon	shol	paragraph	grammar	chol	timing	target	reference	take	patient	patient_form	object	rule	debts	row_status
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	E	f24r.8:1	f24r.8:6	qokeol	f24r.8:6	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	O	f24r.11:5	R	f24r.8:1	f24r.8:6	qokeol	f24r.8:6	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	I	f24r.11:5	E	f24r.8:1	f24r.8:6	qokeol	f24r.8:6	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
C	Q	f24r|f24r.1-f24r.20	B	D	I	f24r.11:5	R	f24r.8:1	f24r.8:6	qokeol	f24r.8:6	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
C	Q	f24r|f24r.1-f24r.20	B	H	O	f24r.11:5	E	f24r.8:1	f24r.8:6	qokeol	f24r.8:6	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
C	Q	f24r|f24r.1-f24r.20	B	H	O	f24r.11:5	R	f24r.8:1	f24r.8:6	qokeol	f24r.8:6	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
C	Q	f24r|f24r.1-f24r.20	B	H	I	f24r.11:5	E	f24r.8:1	f24r.8:6	qokeol	f24r.8:6	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
C	Q	f24r|f24r.1-f24r.20	B	H	I	f24r.11:5	R	f24r.8:1	f24r.8:6	qokeol	f24r.8:6	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
C	Q	f24r|f24r.1-f24r.20	J	D	O	f24r.11:5	E	f24r.8:1	f24r.8:6	qokeol	f24r.8:6	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
C	Q	f24r|f24r.1-f24r.20	J	D	O	f24r.11:5	R	f24r.8:1	f24r.8:6	qokeol	f24r.8:6	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
C	Q	f24r|f24r.1-f24r.20	J	D	I	f24r.11:5	E	f24r.8:1	f24r.8:6	qokeol	f24r.8:6	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
C	Q	f24r|f24r.1-f24r.20	J	D	I	f24r.11:5	R	f24r.8:1	f24r.8:6	qokeol	f24r.8:6	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
C	Q	f24r|f24r.1-f24r.20	J	H	O	f24r.11:5	E	f24r.8:1	f24r.8:6	qokeol	f24r.8:6	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
C	Q	f24r|f24r.1-f24r.20	J	H	O	f24r.11:5	R	f24r.8:1	f24r.8:6	qokeol	f24r.8:6	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
C	Q	f24r|f24r.1-f24r.20	J	H	I	f24r.11:5	E	f24r.8:1	f24r.8:6	qokeol	f24r.8:6	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
C	Q	f24r|f24r.1-f24r.20	J	H	I	f24r.11:5	R	f24r.8:1	f24r.8:6	qokeol	f24r.8:6	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
