observation_id	source_id	locator	record_mode	headword_or_rubric	observed_slots	descriptive_slots	prescriptive_slots	layout_relation	evidence_summary	caveat	relation_credit
HEO001	HSR007	Clm667 scans 161-169	DESCRIPTIVE_CODEBOOK	Balsamum; Bdellium	DRUG_NAME|HOT_COLD|DRY_MOIST|DEGREE	DRUG_NAME|HOT_COLD|DRY_MOIST|DEGREE	NONE	WHOLE_NAME_PLUS_SAME_LINE_CODE	Learned drug names are followed by compact temperament and degree codes.	Later witness and no sign mapping.	0
HEO002	HSR008	f1r	DESCRIPTIVE_RUBRIC	Calide in primo gradu; Calide in 2o gradu	HOT_COLD|DEGREE	HOT_COLD|DEGREE	NONE	QUALITY_DEGREE_HEADER_SCOPES_LIST	A quality-degree rubric classifies following simples.	Written-out rubric rather than target-like abbreviation.	0
HEO003	HSR008	f1v	DESCRIPTIVE_RUBRIC	Frigida; Humida	HOT_COLD|DRY_MOIST|DEGREE	HOT_COLD|DRY_MOIST|DEGREE	NONE	QUALITY_DEGREE_HEADER_SCOPES_LIST	Cold and moist categories recur with numbered degrees.	No orientation transfer to Voynich.	0
HEO004	HSR008	f3r-f3v	DESCRIPTIVE_RUBRIC	De seminibus; De floribus; De frondibus; De fructibus; De radicibus; De lignis; De gummis	PLANT_PART|MATERIAL_CLASS	PLANT_PART|MATERIAL_CLASS	NONE	NESTED_PART_HEADERS	Named part classes organize learned simples inside the quality system.	Establishes available historical fields, not initial-letter values.	0
HEO005	HSR010	f118r	DESCRIPTIVE_ENTRY	Aloes lignum	DRUG_NAME|LIGNUM|HOT|DRY|DEGREE_II	DRUG_NAME|LIGNUM|HOT|DRY|DEGREE_II	NONE	WHOLE_NAME_PLUS_QUALITY_AND_DEGREE	Aloes lignum is described as hot and dry in degree II.	One entry cannot select l=lignum.	0
HEO006	HSR010	f119v	DESCRIPTIVE_ENTRY	Eleborus radix	DRUG_NAME|RADIX|HOT|DRY|DEGREE_III	DRUG_NAME|RADIX|HOT|DRY|DEGREE_III	NONE	WHOLE_NAME_PLUS_QUALITY_AND_DEGREE	Eleborus root is linked to hot and dry degree III.	One entry cannot select r=radix.	0
HEO007	HSR010	f79v	PRESCRIPTIVE_RECIPE	R. iii vel iiii guttas	RECIPE_COMMAND|NUMBER|DROP_UNIT	NONE	RECIPE_COMMAND|NUMBER|DROP_UNIT	COMMAND_PLUS_QUANTITY	A terse command selects three or four drops.	Final-j spelling is optional and no target numeral is identified.	0
HEO008	HSR012	f44r-f45v	PRESCRIPTIVE_RECIPE	ana	INGREDIENT|EQUAL_AMOUNT|UNIT|NUMBER	NONE	INGREDIENT|EQUAL_AMOUNT|UNIT|NUMBER	INGREDIENT_LIST_PLUS_DOSE	Ana is invariant and followed by unit and number.	OCR-independent targeted observation, not a complete recipe census.	0
HEO009	HSR013	catalogued recipe example	PRESCRIPTIVE_RECIPE	ana grani .ij.	EQUAL_AMOUNT|GRAIN_UNIT|NUMBER	NONE	EQUAL_AMOUNT|GRAIN_UNIT|NUMBER	MARKER_PLUS_UNIT_PLUS_VALUE	Equal-amount marker, grain unit and Roman value occupy distinct slots.	Catalogue comparator does not determine attachment direction.	0
HEO010	HSR014	f5v	PRESCRIPTIVE_RECIPE	.iij. raw eyren; .iiij. sedys	INGREDIENT|NUMBER|SEED	NONE	INGREDIENT|NUMBER|SEED	NUMBER_PRECEDES_INGREDIENT	Medical recipe uses additive final-j values through four.	No palaeographic identity with EVA minim strings.	0
