seed_id	surface_or_class	role_family	primary_role_seed	licensed_rivals	portable_default_policy	action_policy	minimum_support_for_role	falsifier	literal_lexeme_status	claim_ceiling	historical_field_analogy	component_export_credit	note_de
S01	H_EVA_P	PART_OR_SUBSTANCE_FORM	OPAQUE_EVA_P_DISTRIBUTIONAL_HEAD	POWDER_OR_DRY_PREPARATION_HEAD|PASTE|PREPARATION|OPAQUE_BOUND_MARKER	Nur in exakten H_EVA_P-Ganzformen einen Pulver-/Trockenformrivalen prüfen; das EVA-Label selbst hat keinen Buchstabenwert.	NOMINAL_DEFAULT; Aktion nur durch unabhängig lizenzierten Ganzwortkopf	Drei unabhängige learned heads mit parallelem H_EVA_P/non-H_EVA_P-Kontrast	Die opake Klasse korreliert nicht cross-head mit Stoffform oder verlangt widersprüchliche Patienten	UNRESOLVED_EVA_LABEL_ZERO_LETTER_PHONETIC_LATIN_INITIAL_CREDIT	Gebundener distributionaler Formrollenprior; kein EVA p=Pulver	SUBSTANCE_FORM_PULVERIZED	0	H_EVA_P bezeichnet nur eine moderne EVA-Verteilungsklasse; Alphita und Circa instans liefern eine Feldanalogie, keine Initiale.
S02	H_EVA_S	PART_OR_MATERIA_HEAD	OPAQUE_EVA_S_DISTRIBUTIONAL_HEAD	SEED_OR_REPRODUCTIVE_MATERIAL|SPECIES_MARKER|BATCH|OPAQUE_NAME_FRAGMENT	Samen/Saat nur als Rivalen in exakt gestützten H_EVA_S-Familien; keine freie Buchstabenbedeutung.	NOMINAL_DEFAULT	Drei unabhängige Köpfe oder ganze H_EVA_S-Formen mit reproduktivem Kontrast	Die opake Klasse verhält sich als bloßer Index, Name oder Strukturmarker in mehreren starken Familien	UNRESOLVED_EVA_LABEL_ZERO_LETTER_PHONETIC_LATIN_INITIAL_CREDIT	Gebundener distributionaler Materia-Rollenprior; kein EVA s=Samen	PLANT_PART_SEED	0	H_EVA_S bezeichnet nur eine moderne EVA-Verteilungsklasse; semen/species liefern keinen Initialkredit.
S03	H_EVA_R	PART_OR_MATERIA_HEAD	OPAQUE_EVA_R_DISTRIBUTIONAL_HEAD	ROOT_OR_SOURCE_PART|PORTION|REFERENCE|OPAQUE_NAME_FRAGMENT	Wurzel nur als whole- oder familiengebundener Rivale; standalone H_EVA_R bleibt polysem und spanabhängig.	NOMINAL_DEFAULT	Mindestens drei unabhängige Köpfe mit wiederholtem H_EVA_R-Kontrast	Standalone- und gebundene Fälle verlangen unvereinbare Rollen ohne sichtbare Spanregel	UNRESOLVED_EVA_LABEL_ZERO_LETTER_PHONETIC_LATIN_INITIAL_CREDIT	Kein globales EVA r=Wurzel	PLANT_PART_ROOT	0	H_EVA_R bezeichnet nur eine moderne EVA-Verteilungsklasse; radix liefert keinen Initial- oder Lautwert.
S04	H_EVA_L	PART_OR_SUBSTANCE_FORM	OPAQUE_EVA_L_DISTRIBUTIONAL_HEAD	BOUND_WOODY_PART|LIQUOR|EXTRACT|LIQUID_CARRIER|WEIGHT|OPAQUE_BINDER	Nur im exakten gebundenen Ganzwort; holziger Pflanzenteil ist ein distributionaler Rivale, keine EVA-Buchstabenlesung.	NOMINAL_DEFAULT; exakte qok-H_EVA_L-Ganzformen dürfen eigene Aktionslizenz tragen	Drei unabhängige H_EVA_L-Köpfe und Sieg gegen neutral BOUND_L im M08-Vergleich	Rollenwechsel Holz/Flüssigkeit/Gewicht ohne formale Unterklasse oder nur Holzfamiliengewinn	UNRESOLVED_EVA_LABEL_ZERO_LETTER_PHONETIC_LATIN_INITIAL_CREDIT	Kein globales EVA l=Holz, liquor, Öl, Wasser oder Pfund	PART_OR_PREPARATION_FORM	0	H_EVA_L bezeichnet nur eine moderne EVA-Verteilungsklasse; M08 vergleicht Rollenrivalen ohne Initialkredit.
S05	k	QUALITY_OR_PROCESS	HEAT_OR_WARM_STATE	TEMPERAMENT_HOT|PROCESS_HEAT|OPAQUE_QUALITY	Nominal heiß/erwärmt nur in gestützten Ganzwortfamilien; exakte Temperatur offen.	NOMINAL_DEFAULT; Imperativ braucht q-/Ganzwortlizenz	Drei unabhängige Köpfe mit konsistentem k-Kontrast	K ist häufiger Menge, Name oder Position als Qualitäts-/Prozessfeld	UNRESOLVED	Gebundener Hitze-/Qualitätsprior; kein k=heiß	SECONDARY_QUALITY_OR_PROCESS	0	Circa instans und Pseudo-Mesue trennen Qualität von Operation.
S06	t	QUALITY_OR_PROCESS	COLD_OR_COOL_STATE	TEMPERAMENT_COLD|PROCESS_COOL|OPAQUE_QUALITY	Nominal kalt/abgekühlt als engster Familienrivale; Stufe und Medium offen.	NOMINAL_DEFAULT; Kühlbefehl nur whole-lizenziert	Drei unabhängige Köpfe mit konsistentem t-Kontrast	T liefert keine stabile Opposition zu k oder verhält sich überwiegend als Index	UNRESOLVED	Gebundener Kälte-/Qualitätsprior; kein t=kalt	SECONDARY_QUALITY_OR_PROCESS	0	Temperamentfelder sind historisch plausibel, ihre Voynich-Lautwerte nicht.
S07	ch	QUALITY_OR_PROCESS	DRY_STATE_OR_DRYING	PLANT_HEAD|OPAQUE_BOUND_MARKER	Nominal trocken/getrocknet bevorzugen; Patient und Grad bleiben lokal.	NOMINAL_DEFAULT; Imperativ nur exact-whole/action-lizenziert	Drei unabhängige Köpfe mit paralleler Zustandsreihe	Ch erzwingt gegensätzliche Zustände oder gewinnt nur durch importierte Materialpatienten	UNRESOLVED	Gebundener Trockenrollenprior; kein ch=trocknen	SUBSTANCE_QUALITY_DRY	0	Historische Einträge unterscheiden Stoffform und Qualität; ein Adjektiv ist nicht automatisch ein Befehl.
S08	sh	QUALITY_OR_PROCESS	MOIST_SOAKED_STATE	PROCESS_SOAK|FRESH_STATE|OPAQUE_BOUND_MARKER	Nominal feucht/eingeweicht bevorzugen; konkretes Medium offen.	NOMINAL_DEFAULT; Einweichbefehl nur whole-lizenziert	Drei unabhängige Köpfe mit paralleler Feuchtreihe	Sh ist nur bei einem Kopf lesbar oder braucht erfundene Flüssigkeit/Patienten	UNRESOLVED	Gebundener Feuchteprior; kein sh=einweichen	SUBSTANCE_QUALITY_MOIST	0	Keine historische Quelle setzt Feuchte automatisch mit Wasser als Träger gleich.
S09	aiin	VALUE_OR_INDEX	VALUE_III	QUANTITY_III|GRADE_III|FORM_III|BATCH_III|OPAQUE_INDEX	Portabler Default Wert III; Dimension kommt ausschließlich vom gebundenen Kopf.	NO_ACTION	Drei vollständige Leitern mit stabiler Ordnung	Rang III kehrt sich in zwei unabhängigen Familien um oder ist nur durch Mengenannahme lesbar	UNRESOLVED	Ordinaler Rollenprior; kein aiin=drei oder Dosis	NUMERIC_OR_LOCATION_INDEX	0	Antidotarien trennen Zahl, Gewicht, Dosis und Qualitätsgrad.
S10	ain	VALUE_OR_INDEX	VALUE_II	QUANTITY_II|GRADE_II|FORM_II|BATCH_II|OPAQUE_INDEX	Portabler Default Wert II; keine Mengen- oder Gradbezeichnung ohne Kopf.	NO_ACTION	Drei vollständige Leitern mit stabiler Ordnung	Rang II kehrt sich in zwei unabhängigen Familien um	UNRESOLVED	Ordinaler Rollenprior; kein ain=zwei	NUMERIC_OR_LOCATION_INDEX	0	Der Wert kann Index, Form, Charge, Grad oder Menge sein.
