family	word	syntax_values	world_values	world_exclusions	complete	independent_meaning_capacity
FUNCTIONAL	chedy	C,FIRST_CARGO,G,OTHER_CARGO,W	C,FIRST_CARGO,G,W	UNKNOWN	False	0
FUNCTIONAL	lchedy	C,G,W	C,G,W	UNKNOWN	False	0
FUNCTIONAL	otaiin	THERE	THERE	UNKNOWN	False	0
FUNCTIONAL	otedy	RETURN	RETURN	UNKNOWN	False	0
FUNCTIONAL	otor	COLOC	COLOC	UNKNOWN	False	0
FUNCTIONAL	qokedy	C,G,W	C,G	UNKNOWN	False	0
FUNCTIONAL	qoteedy	B	B	UNKNOWN	False	0
FUNCTIONAL	sar	UNSAFE	UNSAFE	UNKNOWN	False	0
FUNCTIONAL	shedy	M	M	UNKNOWN	False	0
FUNCTIONAL	sol	THEN	THEN	UNKNOWN	False	0
FUNCTIONAL	solkeedy	WITH_TRIP	WITH_TRIP	UNKNOWN	False	0
BIJECTIVE	chedy	C,FIRST_CARGO,G,OTHER_CARGO,W	C,FIRST_CARGO,G,W	OTHER_CARGO	True	0
BIJECTIVE	lchedy	C,G,W	C,G,W		True	0
BIJECTIVE	otaiin	THERE	THERE		True	0
BIJECTIVE	otedy	RETURN	RETURN		True	0
BIJECTIVE	otor	COLOC	COLOC		True	0
BIJECTIVE	qokedy	C,G,W	C,G,W		True	0
BIJECTIVE	qoteedy	B	B		True	0
BIJECTIVE	sar	UNSAFE	UNSAFE		True	0
BIJECTIVE	shedy	M	M		True	0
BIJECTIVE	sol	THEN	THEN		True	0
BIJECTIVE	solkeedy	WITH_TRIP	WITH_TRIP		True	0
