family	tuple	attempt	chedy	lchedy	otaiin	otedy	otor	qokedy	qoteedy	sar	shedy	sol	solkeedy	variant_index	exclude	first	other	there	copy	independent_meaning_capacity
FUNCTIONAL	0	340	W	W	THERE	RETURN	COLOC	G	B	UNSAFE	M	THEN	WITH_TRIP	0	EXCLUDING	FIRST	OTHER	GOAL	FIRST	0
FUNCTIONAL	1	340	W	W	THERE	RETURN	COLOC	G	B	UNSAFE	M	THEN	WITH_TRIP	2	EXCLUDING	FIRST	OTHER	CURRENT	FIRST	0
FUNCTIONAL	2	340	W	W	THERE	RETURN	COLOC	G	B	UNSAFE	M	THEN	WITH_TRIP	8	EXCLUDING	RECENT	OTHER	GOAL	FIRST	0
FUNCTIONAL	3	340	W	W	THERE	RETURN	COLOC	G	B	UNSAFE	M	THEN	WITH_TRIP	10	EXCLUDING	RECENT	OTHER	CURRENT	FIRST	0
FUNCTIONAL	4	346	C	W	THERE	RETURN	COLOC	G	B	UNSAFE	M	THEN	WITH_TRIP	0	EXCLUDING	FIRST	OTHER	GOAL	FIRST	0
FUNCTIONAL	5	346	C	W	THERE	RETURN	COLOC	G	B	UNSAFE	M	THEN	WITH_TRIP	2	EXCLUDING	FIRST	OTHER	CURRENT	FIRST	0
FUNCTIONAL	6	346	C	W	THERE	RETURN	COLOC	G	B	UNSAFE	M	THEN	WITH_TRIP	4	EXCLUDING	FIRST	FIRST	GOAL	FIRST	0
FUNCTIONAL	7	346	C	W	THERE	RETURN	COLOC	G	B	UNSAFE	M	THEN	WITH_TRIP	6	EXCLUDING	FIRST	FIRST	CURRENT	FIRST	0
FUNCTIONAL	8	347	C	W	THERE	RETURN	COLOC	G	B	UNSAFE	M	THEN	WITH_TRIP	8	EXCLUDING	RECENT	OTHER	GOAL	FIRST	0
FUNCTIONAL	9	347	C	W	THERE	RETURN	COLOC	G	B	UNSAFE	M	THEN	WITH_TRIP	10	EXCLUDING	RECENT	OTHER	CURRENT	FIRST	0
