order	event_id	locus	field_id	statement_id	surface	selected_small_value_de	register_action
1	E001	f10r.2	F001	H1-S001	dchey	Wurzelteil	CONTINUE_LOCAL_SEQUENCE
2	E002	f10r.2	F001	H1-S001	cthoor	säubern	CONTINUE_LOCAL_SEQUENCE
3	E003	f10r.2	F001	H1-S001	char	aus demselben Vorrat	CONTINUE_LOCAL_SEQUENCE
4	E004	f10r.2	F001	H1-S001	chty	bearbeiten	CONTINUE_LOCAL_SEQUENCE
5	E005	f10r.2	F001	H1-S001	os	Topf	CONTINUE_LOCAL_SEQUENCE
6	E006	f10r.2	F001	H1-S001	chair	Wasserzulauf	CONTINUE_LOCAL_SEQUENCE
7	E007	f10r.2	F001	H1-S001	otytchol	Auszug	CONTINUE_LOCAL_SEQUENCE
8	E008	f10r.2	F001	H1-S001	oky	Posten ansetzen	CONTINUE_LOCAL_SEQUENCE
9	E009	f10r.2	F001	H1-S001	daiin	Sollmaß	CONTINUE_LOCAL_SEQUENCE
10	E010	f10r.2	F001	H1-S001	etyd	Gabe	CREATE_NEXT_ACTIVE_ITEM
11	E011	f10r.5	F002	H1-S002	qokchy	Posten ansetzen	REACTIVATE_CARRIED_ITEM
12	E012	f10r.5	F002	H1-S002	qotchol	anwärmen	CONTINUE_LOCAL_SEQUENCE
13	E013	f10r.5	F002	H1-S002	chol	fortsetzen	CONTINUE_LOCAL_SEQUENCE
14	E014	f10r.5	F002	H1-S002	cthy	bereit	CONTINUE_LOCAL_SEQUENCE
