compound_id	page	locus	token_index	surface	wrapper	part_root	working_part_de	working_value	working_roman	working_compound_de	unit_status	section	triple_reading_token_stable	surface_line
G626-P0001	f102v1	f102v1.10	4	choraiin	BARE	chor	Blüten-/Pflanzenteil	3	III	Blüten-/Pflanzenteil, Mengen-/Gradstufe III	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	P	1	kochor ol ydaiin choraiin sheey ykeey kor shey qokey dy
G626-P0002	f106r	f106r.19	9	qotchoraiin	qot	chor	Blüten-/Pflanzenteil	3	III	Blüten-/Pflanzenteil, Mengen-/Gradstufe III	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	S	1	otchedy qokeey shosaiin qokaiin okain cholkeeey ltal olcheey qotchoraiin y
G626-P0003	f10r	f10r.6	4	cthaiin	BARE	cth	Blatt-/oberirdisches Drogengut	3	III	Blatt-/oberirdisches Drogengut, Mengen-/Gradstufe III	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	H	1	ycheor cthy chor cthaiin qoctholy dy chy taiin shy
G626-P0004	f112v	f112v.20	1	pchoraiin	p	chor	Blüten-/Pflanzenteil	3	III	Blüten-/Pflanzenteil, Mengen-/Gradstufe III	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	S	1	pchoraiin ar alchedy olkeedy qokedy qotaiin chocthedy saisal
G626-P0005	f113r	f113r.20	1	kshoraiin	k	shor	Blüten-/Fruchtstand	3	III	Blüten-/Fruchtstand, Mengen-/Gradstufe III	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	S	0	kshoraiin qokeeoar shoteol lklcheol qokar chdain cphoy chor aiin ckhydy
G626-P0006	f114v	f114v.13	5	chcthain	ch	cth	Blatt-/oberirdisches Drogengut	2	II	Blatt-/oberirdisches Drogengut, Mengen-/Gradstufe II	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	S	1	sheedy qoteeo s oiiin chcthain
G626-P0007	f116r	f116r.29	1	cthan	BARE	cth	Blatt-/oberirdisches Drogengut	1	I	Blatt-/oberirdisches Drogengut, Mengen-/Gradstufe I	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	S	1	cthan cheey lkeeal lshey chl l lkain chear aiin chl l keedy raraiin ory
G626-P0008	f15r	f15r.9	1	octhain	o	cth	Blatt-/oberirdisches Drogengut	2	II	Blatt-/oberirdisches Drogengut, Mengen-/Gradstufe II	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	H	1	octhain qokaiin chos odaiin cthl s y
G626-P0009	f15r	f15r.12	5	cthaiin	BARE	cth	Blatt-/oberirdisches Drogengut	3	III	Blatt-/oberirdisches Drogengut, Mengen-/Gradstufe III	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	H	1	qotor shor tcheor chy cthaiin shan
G626-P0010	f18r	f18r.5	3	cthaiin	BARE	cth	Blatt-/oberirdisches Drogengut	3	III	Blatt-/oberirdisches Drogengut, Mengen-/Gradstufe III	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	H	1	tchor shor cthaiin cthol chlol chom
G626-P0011	f21r	f21r.4	3	cthain	BARE	cth	Blatt-/oberirdisches Drogengut	2	II	Blatt-/oberirdisches Drogengut, Mengen-/Gradstufe II	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	H	1	pchofychy daiin cthain o tolosheey qocthey tolchory
G626-P0012	f25r	f25r.5	3	cthain	BARE	cth	Blatt-/oberirdisches Drogengut	2	II	Blatt-/oberirdisches Drogengut, Mengen-/Gradstufe II	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	H	1	qotcheaiin dchain cthain daiin daiin cthain qotaiin
G626-P0013	f25r	f25r.5	6	cthain	BARE	cth	Blatt-/oberirdisches Drogengut	2	II	Blatt-/oberirdisches Drogengut, Mengen-/Gradstufe II	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	H	1	qotcheaiin dchain cthain daiin daiin cthain qotaiin
G626-P0014	f30r	f30r.3	7	chorain	BARE	chor	Blüten-/Pflanzenteil	2	II	Blüten-/Pflanzenteil, Mengen-/Gradstufe II	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	H	1	chodaiin cho ry chey doiin sain chorain cheey keem
G626-P0015	f32v	f32v.9	6	cthaiin	BARE	cth	Blatt-/oberirdisches Drogengut	3	III	Blatt-/oberirdisches Drogengut, Mengen-/Gradstufe III	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	H	1	qotchy cfhy skey chocthy daiin cthaiin daiin
G626-P0016	f34v	f34v.8	4	choraiin	BARE	chor	Blüten-/Pflanzenteil	3	III	Blüten-/Pflanzenteil, Mengen-/Gradstufe III	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	H	1	ysheos otar ar choraiin cheky olchdaiin or oldar chdar okam
G626-P0017	f35r	f35r.11	3	cthaiin	BARE	cth	Blatt-/oberirdisches Drogengut	3	III	Blatt-/oberirdisches Drogengut, Mengen-/Gradstufe III	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	H	1	sheaiin chol cthaiin l chaiin lchal dal dair aldy n
G626-P0018	f35v	f35v.6	4	chcthaiin	ch	cth	Blatt-/oberirdisches Drogengut	3	III	Blatt-/oberirdisches Drogengut, Mengen-/Gradstufe III	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	H	1	shol tcheey chkcheeu chcthaiin
G626-P0019	f42r	f42r.4	5	cthaiin	BARE	cth	Blatt-/oberirdisches Drogengut	3	III	Blatt-/oberirdisches Drogengut, Mengen-/Gradstufe III	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	H	1	shor chetar chotais dar cthaiin
G626-P0020	f42r	f42r.18	6	chorain	BARE	chor	Blüten-/Pflanzenteil	2	II	Blüten-/Pflanzenteil, Mengen-/Gradstufe II	OFFEN__MENGE_DOSIS_GRAD_ODER_KLASSE	H	0	qody cthochy otaiin shy kshes chorain
