dimension	dimension_value	occurrences	count_I	count_II	count_III	count_IV	III_share_among_II_III	triple_stable_occurrences
SECTION	B	766	10	405	338	13	0.454913	652
SECTION	C	92	1	17	72	2	0.808989	73
SECTION	H	1666	63	282	1293	28	0.820952	1339
SECTION	P	177	1	33	139	4	0.808140	115
SECTION	S	2144	25	747	1331	41	0.640520	1741
SECTION	T	331	2	81	231	17	0.740385	273
HAND	1	1351	59	203	1068	21	0.840283	1090
HAND	2	1500	15	565	877	43	0.608183	1229
HAND	3	2206	27	765	1374	40	0.642356	1783
HAND	5	59	0	11	48	0	0.813559	43
HAND	@	60	1	21	37	1	0.637931	48
