occurrence_id	page	locus	line_number	token_index	surface	head	written_i_minims	working_value	working_roman	section	language	hand	triple_reading_token_stable	surface_line
G626-M00001	f100r	f100r.7	7	1	chalsain	chalsa	1	2	II	P	A	1	0	chalsain
G626-M00002	f100r	f100r.13	13	5	ykeeodain	ykeeoda	1	2	II	P	A	1	1	dsheor cthey qokeey oteey ykeeodain rorarydaiin daiin deeomchol
G626-M00003	f100r	f100r.13	13	6	rorarydaiin	roraryda	2	3	III	P	A	1	0	dsheor cthey qokeey oteey ykeeodain rorarydaiin daiin deeomchol
G626-M00004	f100r	f100r.13	13	7	daiin	da	2	3	III	P	A	1	0	dsheor cthey qokeey oteey ykeeodain rorarydaiin daiin deeomchol
G626-M00005	f100r	f100r.14	14	8	raiin	ra	2	3	III	P	A	1	1	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo
G626-M00006	f100r	f100r.22	22	2	choldaiin	cholda	2	3	III	P	A	1	0	folshody choldaiin fchod ycheol cphol qotees shey aseso alcfhy
G626-M00007	f100r	f100r.24	24	10	raiin	ra	2	3	III	P	A	1	0	saiichor sheor qockhody odeor yk sheey cholsheody sai cheol raiin
G626-M00008	f100r	f100r.25	25	4	daiin	da	2	3	III	P	A	1	1	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol
G626-M00009	f100r	f100r.26	26	1	yaiin	ya	2	3	III	P	A	1	0	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al
G626-M00010	f100v	f100v.14	14	8	daiin	da	2	3	III	P	A	1	1	deey sheocphy qoteody ckhoor ar chor oteey daiin qokomo
G626-M00011	f100v	f100v.19	19	1	sain	sa	1	2	II	P	A	1	1	sain cheokeos chockhy chocthey keody choor chckhey du
G626-M00012	f100v	f100v.22	22	1	daiin	da	2	3	III	P	A	1	1	daiin cheky chory
G626-M00013	f102r1	f102r1.3	3	1	polaiin	pola	2	3	III	P	A	1	1	polaiin shocthy qoteol loiiin oteeor cpheodar sholdaiin
G626-M00014	f102r1	f102r1.3	3	7	sholdaiin	sholda	2	3	III	P	A	1	1	polaiin shocthy qoteol loiiin oteeor cpheodar sholdaiin
